grid,density
-38828.278639883,0.0
-38789.01755067726,0.0
-38749.756461471516,0.0
-38710.49537226577,0.0
-38671.234283060025,0.0
-38631.97319385428,0.0
-38592.71210464854,0.0
-38553.4510154428,9.752041660531243e-10
-38514.18992623705,3.814118833670579e-09
-38474.92883703131,6.615556079932847e-09
-38435.667747825566,9.37951590484044e-09
-38396.406658619824,1.210599830839336e-08
-38357.14556941408,1.4795003290591569e-08
-38317.88448020833,1.7446530851435616e-08
-38278.62339100259,2.0060580990924488e-08
-38239.36230179685,2.2637153709058687e-08
-38200.10121259111,2.517624900583821e-08
-38160.840123385366,2.7677866881263023e-08
-38121.579034179624,3.014200733533319e-08
-38082.317944973875,3.256867036804913e-08
-38043.05685576813,3.4957855979409914e-08
-38003.79576656239,3.730956416941602e-08
-37964.53467735665,3.962379493806746e-08
-37925.27358815091,4.1900548285364236e-08
-37886.01249894516,4.413982421130674e-08
-37846.751409739416,4.634162271589413e-08
-37807.490320533674,4.850594379912683e-08
-37768.22923132793,5.063278746100488e-08
-37728.96814212219,5.272215370152825e-08
-37689.70705291644,5.477404252069733e-08
-37650.4459637107,5.678845391851132e-08
-37611.18487450496,5.8765387894970656e-08
-37571.923785299216,6.07048444500753e-08
-37532.662696093474,6.260682358382527e-08
-37493.401606887724,6.447132529622089e-08
-37454.14051768198,6.62983495872615e-08
-37414.87942847624,6.808789645694744e-08
-37375.6183392705,6.983996590527869e-08
-37336.35725006476,7.155455793225526e-08
-37297.096160859015,7.323167253787718e-08
-37257.835071653266,7.487130972214467e-08
-37218.573982447524,7.647346948505721e-08
-37179.31289324178,7.803815182661506e-08
-37140.05180403604,7.956535674681825e-08
-37100.7907148303,8.105508424566672e-08
-37061.52962562455,8.250733432316084e-08
-37022.26853641881,8.392210697929998e-08
-36983.007447213065,8.529940221408443e-08
-36943.74635800732,8.899083330527112e-08
-36904.48526880158,9.311397972165815e-08
-36865.22417959583,9.716217129533661e-08
-36825.96309039009,1.0113540802630491e-07
-36786.70200118435,1.0503368991456385e-07
-36747.44091197861,1.0885701696011343e-07
-36708.179822772865,1.1260538916295371e-07
-36668.918733567116,1.1627880652308525e-07
-36629.657644361374,1.1987726904050676e-07
-36590.39655515563,1.2340077671521891e-07
-36551.13546594989,1.2684932954722172e-07
-36511.87437674415,1.3022292753651518e-07
-36472.6132875384,1.3555943474177453e-07
-36433.35219833266,1.4160806703973554e-07
-36394.091109126915,1.4754426707363255e-07
-36354.83001992117,1.5336803484346547e-07
-36315.56893071543,1.5907937034923442e-07
-36276.30784150968,1.646782735909403e-07
-36237.04675230394,1.7016474456858112e-07
-36197.7856630982,1.755387832821579e-07
-36158.52457389246,1.8080038973167067e-07
-36119.263484686715,1.8594956391711942e-07
-36080.00239548097,1.9098630583850407e-07
-36040.741306275224,1.9591061549582563e-07
-36001.48021706948,2.0072249288908226e-07
-35962.21912786374,2.0542193801827485e-07
