upper,effects,lower,ate,ate_l,ate_u
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973279,-5615.921863886084,-8849.385576060475
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973279,-5615.921863886084,-8849.385576060475
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973279,-5615.921863886084,-8849.385576060475
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973279,-5615.921863886084,-8849.385576060475
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973279,-5615.921863886084,-8849.385576060475
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973279,-5615.921863886084,-8849.385576060475
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973279,-5615.921863886084,-8849.385576060475
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973279,-5615.921863886084,-8849.385576060475
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973279,-5615.921863886084,-8849.385576060475
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973279,-5615.921863886084,-8849.385576060475
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973279,-5615.921863886084,-8849.385576060475
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973279,-5615.921863886084,-8849.385576060475
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973279,-5615.921863886084,-8849.385576060475
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973279,-5615.921863886084,-8849.385576060475
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973279,-5615.921863886084,-8849.385576060475
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973279,-5615.921863886084,-8849.385576060475
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973279,-5615.921863886084,-8849.385576060475
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973279,-5615.921863886084,-8849.385576060475
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973279,-5615.921863886084,-8849.385576060475
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973279,-5615.921863886084,-8849.385576060475
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973279,-5615.921863886084,-8849.385576060475
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973279,-5615.921863886084,-8849.385576060475
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973279,-5615.921863886084,-8849.385576060475
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973279,-5615.921863886084,-8849.385576060475
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973279,-5615.921863886084,-8849.385576060475
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973279,-5615.921863886084,-8849.385576060475
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973279,-5615.921863886084,-8849.385576060475
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973279,-5615.921863886084,-8849.385576060475
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973279,-5615.921863886084,-8849.385576060475
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973279,-5615.921863886084,-8849.385576060475
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973279,-5615.921863886084,-8849.385576060475
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973279,-5615.921863886084,-8849.385576060475
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973279,-5615.921863886084,-8849.385576060475
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973279,-5615.921863886084,-8849.385576060475
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973279,-5615.921863886084,-8849.385576060475
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973279,-5615.921863886084,-8849.385576060475
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973279,-5615.921863886084,-8849.385576060475
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973279,-5615.921863886084,-8849.385576060475
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973279,-5615.921863886084,-8849.385576060475
