sal_5_lc2vs0_iate,nation
-28715.249686179264,1.0
-41565.501973125996,1.0
-45772.818142885895,1.0
-38092.49604391926,1.0
-51264.53570445512,1.0
-31427.586397243245,5.0
-36321.626581250726,1.0
-42925.453129004156,1.0
-31801.108059058468,1.0
-48508.64573304874,2.0
-55624.60451616281,1.0
-55007.176340902086,1.0
-54994.699906349895,1.0
-42397.75749511925,1.0
-33971.06470117066,1.0
-57449.96176534514,1.0
-30471.792955020857,4.0
-53774.37312790059,2.0
-34413.43164460671,1.0
-56979.30476848636,4.0
-54862.498398136726,2.0
-32576.349227631345,1.0
-38390.6195125575,4.0
-58376.53989406923,1.0
-54424.272960833405,1.0
-56812.901297699864,1.0
-49155.88018186944,4.0
-31572.91769448224,1.0
-29560.64817528914,1.0
-55984.47487845683,2.0
-40860.47167776924,1.0
-56830.632379196046,1.0
-41598.787718314146,5.0
-48573.57234004096,1.0
-38769.7440509272,1.0
-46115.905968485546,1.0
-47968.37160784687,1.0
-50631.544597811204,1.0
-40771.60620038542,5.0
-47538.03513272312,1.0
-35389.99247527305,1.0
-57539.13597286692,1.0
-42903.002437973424,2.0
-52052.51878129842,2.0
-62298.25660100421,4.0
-47785.32682037818,2.0
-60560.801472904,2.0
-35776.1918749549,1.0
-28610.462477439338,1.0
-55915.250933526826,1.0
-30129.517317308568,4.0
-62057.930504667485,1.0
-36999.93456422009,5.0
-52017.118172786984,1.0
-41302.55900192101,1.0
-38780.59998374518,1.0
-58994.0473697041,1.0
-36280.97437566454,1.0
-41931.338440805936,1.0
-47371.27750761547,1.0
-35760.5629610708,2.0
-30304.7843919838,1.0
-59684.60426132793,1.0
-32283.378069454506,1.0
-37197.107334372784,1.0
-51444.74602776311,1.0
-30302.800736185134,1.0
-32305.166432921542,1.0
-32455.524180789685,1.0
-39599.358166024,1.0
-33856.77366023425,2.0
-57827.23328703434,2.0
-51422.9465144251,2.0
-33738.875444118494,1.0
-54932.46906915153,1.0
-54766.726933848535,1.0
-41413.195456283865,2.0
-34091.34259616437,1.0
-32469.271067910955,4.0
-54927.490690077604,1.0
-57389.92047648161,1.0
-55877.350008633235,2.0
-36792.01156735611,1.0
-55398.932277917804,1.0
-38943.12351971055,1.0
-39864.11067168159,1.0
-28596.413759058592,1.0
-60550.80640833221,1.0
-31374.760551440566,2.0
-50126.200210622774,3.0
-41096.69278549947,1.0
-37432.63442104671,1.0
-52491.99341423507,1.0
-29221.398805773173,2.0
-51986.86123558467,1.0
-50665.76135500006,4.0
-43611.50446925066,1.0
-38960.767030979485,1.0
-30182.191971436994,4.0
-44002.68352953189,3.0
-52296.89761674216,1.0
-56545.45227857237,1.0
-51659.57263205854,1.0
-34912.845481867014,5.0
-30394.991546714224,1.0
-55210.79585532325,5.0
-45314.943382418394,1.0
-45701.52394466547,1.0
-34701.91175948195,1.0
-60672.94457311327,1.0
-37952.1105548299,1.0
-50374.74332741147,1.0
-31704.67228474959,1.0
-42327.19908077008,1.0
-50366.3321242972,2.0
-31251.270175556772,1.0
-42793.2846417296,1.0
-38974.24598413348,2.0
-40406.416708744495,5.0
-59001.31917561738,1.0
-48211.94549755275,3.0
-53256.96902039189,1.0
-55153.56546992407,2.0
-40238.9957043749,5.0
-37624.2904469934,2.0
-42274.67087459547,1.0
-62164.25919405972,1.0
-39667.33855062847,1.0
-52014.77129809444,2.0
-42663.7279547773,2.0
-32640.73627842037,5.0
-43238.18087518902,1.0
-54252.249936752225,1.0
-33334.59829274801,1.0
-31823.39801214051,2.0
-43780.51205337726,1.0
-52248.53102550645,1.0
-55057.42840722151,1.0
-62651.83054914286,4.0
-30761.444930302412,1.0
-51274.14789678805,1.0
-28788.66817941276,1.0
-60119.619066311585,1.0
-41640.102321285536,1.0
-53467.22610338758,1.0
-50730.84308675654,1.0
-60527.72596346497,1.0
-31904.362523116746,1.0
-41503.91135932377,1.0
-32551.883297933127,2.0
-58923.56160052892,5.0
-31215.84115139151,1.0
-34697.748225772535,5.0
-62323.205092380085,2.0
-31216.21464160476,1.0
-39129.47066695505,1.0
-40820.982509502064,2.0
-46323.33266134393,3.0
-32417.74941248364,2.0
-36459.74593653593,1.0
-59821.210136474416,5.0
-52378.09714171653,1.0
-30694.714537425953,1.0
-54697.9185427256,1.0
-41171.57488402021,1.0
-57986.42254048781,1.0
-42980.22223180061,3.0
-59316.621832837845,1.0
-50086.66028685759,1.0
-43659.32483401624,1.0
-52447.27530406219,1.0
-34224.785418814914,1.0
-59490.235588855765,1.0
-54685.619512942794,1.0
-42209.24786724504,2.0
-36439.21384011111,1.0
-38420.18315601151,1.0
-50287.10396309861,1.0
-33538.64605089207,1.0
-54922.14816032328,2.0
-28771.838683319857,1.0
-41566.31556162753,1.0
-41729.36190838968,2.0
-30303.19001635342,3.0
-30971.53527809853,2.0
-61640.082234842936,2.0
-43706.60639052616,1.0
-31312.143512975563,1.0
-58777.99938382319,1.0
-59396.82876592381,3.0
-58605.386121267016,3.0
-54173.93622781098,1.0
-48203.087990308086,3.0
-36706.41293495585,1.0
-41252.97428597145,1.0
-59607.62738141026,1.0
-34228.46577858094,4.0
-36090.85972234757,1.0
-51286.32346384804,1.0
-29133.956072401765,1.0
-35772.792306825184,1.0
-58661.88934686985,1.0
-37835.46915149411,1.0
-28589.38640347129,1.0
-34945.52606602938,1.0
-45919.3743397394,1.0
-36935.29135171294,1.0
-36554.641972582176,2.0
-41802.934438511395,1.0
-35318.39296527913,1.0
-45999.32955195254,1.0
-42435.53097334182,2.0
-59748.96309965047,1.0
-45665.31358212522,1.0
-52460.170736522996,1.0
-51859.328809365135,1.0
-55584.94084572646,2.0
-53132.5203526928,1.0
-56358.439667228195,4.0
-51135.052190049486,3.0
-28482.67798580643,1.0
-50821.59223354857,1.0
-35380.60770382152,4.0
-33013.08221780132,1.0
-50183.74091684386,1.0
