sal_6_lc1vs0_iate,region
4786.872201996116,43.0
4937.874934741649,47.0
4491.1529504964365,61.0
-2632.953400414731,56.0
6295.935285934218,71.0
-2279.5498801757126,68.0
1765.0500781177966,15.0
4688.2744782647505,15.0
-638.9576443182386,12.0
960.9896371314953,38.0
-18236.03144106409,52.0
5589.539260932188,49.0
5523.929928554506,38.0
3044.660019174613,83.0
5738.071236309974,53.0
9723.306466737919,62.0
1567.0815830057522,42.0
-12953.701944487842,77.0
-2652.6528730746454,7.0
-7147.628432542682,60.0
-13012.106493399759,83.0
2818.2069071708634,82.0
-10446.08072625975,24.0
7484.3362878081425,22.0
7563.904390672156,23.0
6552.785888706552,43.0
-10088.094938680852,42.0
-9757.948007938514,4.0
2674.71503644095,85.0
-13536.185591746455,15.0
5272.717361686054,7.0
3624.9324330982417,47.0
-1790.5499210627895,3.0
4450.627062331363,58.0
3305.5147837330796,69.0
-4952.949111954733,51.0
3856.2134153104744,19.0
4582.272173993857,40.0
-13022.853196914615,63.0
3274.938842368805,30.0
6440.2186368125,79.0
6379.1694440535975,67.0
3022.208913924105,77.0
3647.860432091442,67.0
1213.3476412751952,52.0
4472.067582299371,43.0
-625.4468351277974,64.0
5087.5501253890525,18.0
3653.5182546119486,45.0
5794.630189021962,51.0
2954.959111921853,26.0
-3515.2100849879753,14.0
-5258.800008628911,27.0
7920.117367699964,55.0
-16237.205064735477,17.0
-1484.8822309506904,17.0
-17442.095032407662,75.0
2721.4020784109853,60.0
4197.474641707155,62.0
6680.9684430676425,22.0
-4404.343353272665,47.0
-100.26183126314459,16.0
8645.319146987422,38.0
5775.252323229994,5.0
-7801.850264728623,80.0
3311.4756508859937,21.0
-5269.406740862253,33.0
-2103.465159099962,51.0
1423.408359394517,17.0
4441.066818808057,77.0
-12212.603364041406,78.0
-14710.221032450838,33.0
5124.652344713599,9.0
-5095.864270302011,42.0
6891.059756759707,35.0
5808.817652304402,64.0
4665.370645478131,62.0
-1910.6901316000233,67.0
-2736.7668394826387,33.0
-16919.385068870564,79.0
6132.771242077291,83.0
4588.3405217631735,61.0
-151.8382505368927,31.0
4569.512182941551,66.0
1688.386174043886,36.0
3296.7419693332304,28.0
3392.7007231362218,54.0
-2851.7181784269014,39.0
-11597.630430945095,70.0
-768.0156106042305,26.0
-12207.421863217567,74.0
-1153.9752578158336,2.0
6904.169317361218,50.0
4069.2872177568606,19.0
3090.1067243680372,49.0
