sal_6_lc1vs0_iate,unem_x0
4786.872201996116,23.0
4937.874934741649,16.0
4491.1529504964365,4.0
-2632.953400414731,8.0
6295.935285934218,22.0
-2279.5498801757126,20.0
1765.0500781177966,2.0
4688.2744782647505,20.0
-638.9576443182386,22.0
960.9896371314953,13.0
-18236.03144106409,11.0
5589.539260932188,21.0
5523.929928554506,7.0
3044.660019174613,15.0
5738.071236309974,23.0
9723.306466737919,14.0
1567.0815830057522,7.0
-12953.701944487842,19.0
-2652.6528730746454,14.0
-7147.628432542682,12.0
-13012.106493399759,22.0
2818.2069071708634,24.0
-10446.08072625975,16.0
7484.3362878081425,22.0
7563.904390672156,13.0
6552.785888706552,23.0
-10088.094938680852,2.0
-9757.948007938514,23.0
2674.71503644095,21.0
-13536.185591746455,2.0
5272.717361686054,3.0
3624.9324330982417,12.0
-1790.5499210627895,23.0
4450.627062331363,10.0
3305.5147837330796,23.0
-4952.949111954733,9.0
3856.2134153104744,2.0
4582.272173993857,5.0
-13022.853196914615,7.0
3274.938842368805,23.0
6440.2186368125,7.0
6379.1694440535975,10.0
3022.208913924105,19.0
3647.860432091442,12.0
1213.3476412751952,19.0
4472.067582299371,3.0
-625.4468351277974,12.0
5087.5501253890525,4.0
3653.5182546119486,16.0
5794.630189021962,10.0
2954.959111921853,13.0
-3515.2100849879753,21.0
-5258.800008628911,18.0
7920.117367699964,2.0
-16237.205064735477,3.0
-1484.8822309506904,20.0
-17442.095032407662,24.0
2721.4020784109853,20.0
4197.474641707155,1.0
6680.9684430676425,21.0
-4404.343353272665,13.0
-100.26183126314459,19.0
8645.319146987422,14.0
5775.252323229994,17.0
-7801.850264728623,1.0
3311.4756508859937,22.0
-5269.406740862253,8.0
-2103.465159099962,8.0
1423.408359394517,4.0
4441.066818808057,10.0
-12212.603364041406,6.0
-14710.221032450838,23.0
5124.652344713599,1.0
-5095.864270302011,18.0
6891.059756759707,14.0
5808.817652304402,8.0
4665.370645478131,19.0
-1910.6901316000233,16.0
-2736.7668394826387,19.0
-16919.385068870564,2.0
6132.771242077291,10.0
4588.3405217631735,0.0
-151.8382505368927,16.0
4569.512182941551,2.0
1688.386174043886,23.0
3296.7419693332304,12.0
3392.7007231362218,20.0
-2851.7181784269014,5.0
-11597.630430945095,14.0
-768.0156106042305,2.0
-12207.421863217567,14.0
-1153.9752578158336,12.0
6904.169317361218,11.0
4069.2872177568606,20.0
3090.1067243680372,10.0
-19985.985395021125,13.0
3112.800600554565,17.0
-8072.731749132865,7.0
656.5945063531723,10.0
-1372.943665715262,2.0
1792.73632958477,17.0
6065.6464192528765,2.0
-2464.685386153289,9.0
3195.0308217386373,12.0
-665.6062343062113,12.0
6736.237288929911,13.0
-11077.76233821836,12.0
3716.3082070790533,13.0
-6644.117470081756,12.0
-5866.20075913652,22.0
-7181.167611531336,11.0
-2199.7969671853807,18.0
-8887.181049766528,9.0
-9770.4546985524,19.0
-6294.066371884856,17.0
159.15938019624286,11.0
-363.8276380789266,12.0
5281.933527274859,10.0
2420.6234099556304,23.0
6051.087569260875,10.0
3188.0270365525084,21.0
1827.904080350465,14.0
-17381.645628536415,10.0
-8371.247620275928,11.0
-12521.679696084033,2.0
1436.7539807482954,23.0
-7563.259859603859,10.0
4426.744283714175,20.0
4197.543312816202,4.0
2291.8686581650527,18.0
