sal_7_lc2vs0_iate,sex
-14966.329336529683,2.0
-22973.602023819152,2.0
-31733.93188014781,2.0
-23784.020122548165,1.0
-29944.32396814643,2.0
-20681.80668888066,1.0
-23681.351490448036,2.0
-28546.654518830932,2.0
-20567.674996668597,1.0
-29338.501468503535,2.0
-37211.55080423473,1.0
-35369.195541491725,2.0
-34309.532825619885,2.0
-27423.338946637326,2.0
-18961.885957543196,2.0
-39463.14024115179,2.0
-20679.679856243343,2.0
-36166.90878704943,1.0
-22080.32337065613,1.0
-39338.87674069799,1.0
-29044.748833477326,1.0
-19700.84510706944,2.0
-24795.94758937326,1.0
-34194.25163903,2.0
-28948.97805112872,2.0
-33628.75533818538,2.0
-33294.852698752,1.0
-20025.783157884176,1.0
-17856.080709183225,2.0
-38585.88319015798,1.0
-22370.934548846297,2.0
-32039.2368437174,2.0
-24069.211810925477,2.0
-29842.934248331112,2.0
-22161.382840033668,2.0
-33219.19196148271,1.0
-27760.28955646064,2.0
-31177.093761748212,2.0
-27350.894723285004,1.0
-28034.107661718932,2.0
-20359.972304553197,2.0
-34541.64112295194,2.0
-26754.036650084316,2.0
-30874.663846205203,2.0
-34585.75660814258,1.0
-26927.58953247995,2.0
-36652.213425502196,1.0
-18285.372275478203,2.0
-17442.544103720596,2.0
-30463.191571068164,2.0
-16657.90181681644,2.0
-32040.6074986109,1.0
-21197.90645089332,1.0
-32588.122773595063,2.0
-26578.006107730056,1.0
-23218.005625506295,2.0
-39704.433482925,1.0
-21271.170734353345,2.0
-25465.912919121565,2.0
-28596.26025118721,2.0
-22665.931379249843,1.0
-21066.55732084836,2.0
-35013.121792810496,2.0
-20064.88736712063,2.0
-20857.614476816023,1.0
-33108.926922255145,2.0
-20517.031086452855,1.0
-19197.080460761736,2.0
-20729.7660609866,2.0
-23107.12160189483,2.0
-19453.21552995719,1.0
-38084.04054120039,1.0
-29529.329986213503,2.0
-22484.351455840544,1.0
-30675.55461081333,2.0
-33363.28145670936,2.0
-25448.749172298063,2.0
-22894.35949529268,1.0
-22553.38728101235,1.0
-37491.15928986398,1.0
-36149.867270031405,2.0
-34209.304842846796,2.0
-19436.212252643218,2.0
-32619.86597012952,2.0
-21750.97084995175,2.0
-25916.046887157143,2.0
-17426.60891168377,2.0
-40688.684498072354,1.0
-18648.703599400906,1.0
-25881.03599099156,2.0
-27806.112891375404,1.0
-24455.246137663096,1.0
-33500.4284907447,2.0
-16460.58965374005,2.0
-32954.136652416535,2.0
-33500.045306037784,1.0
-24841.555114345305,2.0
-21723.17705283657,1.0
-19175.07905338329,2.0
-23429.35912283482,2.0
-32975.936669674076,2.0
-35549.58043522652,2.0
-27275.276467468335,1.0
-16713.97226740796,2.0
-21442.54551592349,2.0
-35493.14957629332,2.0
-28361.471609547003,1.0
-27977.76197152158,2.0
-22310.867776206764,1.0
-41703.021956636316,1.0
-18115.556212351963,1.0
-30520.841696688767,1.0
-22383.30489932528,1.0
-27391.038716012386,1.0
-30482.184444501094,1.0
-16140.944506896283,2.0
-24948.25791868456,2.0
-22170.734026822098,2.0
-24077.454657327566,2.0
-35865.34185290223,2.0
-29533.165375587152,2.0
-32106.904963597204,2.0
-40909.76090863926,1.0
-27685.895276604446,1.0
-23729.4557662354,1.0
-23408.018002277036,2.0
-40090.45493256462,1.0
-22923.627666203443,2.0
-30238.988034120244,2.0
-23214.08718343938,2.0
-20489.144207420122,2.0
-29595.85554923718,1.0
-34370.52345497784,2.0
-18714.107478368234,2.0
-20530.438727294222,2.0
-25291.195962350273,2.0
-32740.912321432403,2.0
-37066.47654072732,1.0
-44567.8969345635,1.0
-18244.624484849424,1.0
-29991.896742142584,2.0
-20591.640044699838,2.0
-38885.27217075933,1.0
-24391.6873963069,2.0
-29050.044092376233,2.0
-27389.279705702298,2.0
-38279.43432731289,1.0
-16973.613515319856,1.0
-25230.462323912758,1.0
-17530.980417495946,2.0
-34167.0660636239,1.0
-16334.838565505765,1.0
-18837.1337218309,2.0
-40116.30681955657,1.0
-15598.965284308353,1.0
-24033.74170325663,2.0
-23473.727984680623,2.0
-30610.176604277578,2.0
-21040.861329422532,1.0
-22128.023700334743,2.0
-38094.18123398469,2.0
-31359.66012065794,2.0
-16062.319616247729,2.0
-33346.167313692495,1.0
-24345.79314254358,2.0
-36546.22577570549,2.0
-23489.561316862848,2.0
-34146.69431385973,1.0
-28027.23536893401,2.0
-28387.90810188125,2.0
-30684.367610828733,2.0
-23672.386630141278,2.0
-37790.0012301261,2.0
-35955.089558193125,2.0
-19818.894868938405,2.0
-21708.130395705604,2.0
-23657.493000771174,1.0
-30543.46394771427,2.0
-22027.350877081444,1.0
-34491.71800575495,1.0
-15977.254627848164,2.0
-26320.37182235696,1.0
-25758.480335442582,2.0
-17049.729777952667,2.0
-17197.949674858442,2.0
-32433.418269739577,1.0
-30123.16606438526,2.0
-18377.977678973097,2.0
-36408.464273278245,2.0
-35138.081173569444,1.0
-34227.562858182355,1.0
-33918.138071682784,2.0
-32775.055709836364,1.0
-25051.71961719871,1.0
-23304.815759382454,2.0
-39404.44282792874,2.0
-22146.53933430703,1.0
-23183.31493016401,2.0
-29617.39671786852,2.0
-17096.97843066672,2.0
-23235.066145616423,1.0
-33141.430498449845,1.0
-22556.92128365537,1.0
-16322.550066771451,2.0
-21963.315217973937,1.0
-28790.523851664588,1.0
-21963.729193889165,1.0
-26094.915729027547,1.0
-25293.419623874175,2.0
-21506.78740651257,1.0
-29781.669050599114,1.0
-25262.80063509631,1.0
-39743.64801121347,1.0
-27212.47592479506,2.0
-31674.276623735586,2.0
-35205.116235506954,2.0
-34397.76876360676,2.0
-31220.76316882113,2.0
-33027.15997923037,2.0
-34945.86802995137,1.0
-19049.10719081107,2.0
-32117.350889936635,2.0
-19170.92622978521,2.0
-21912.70523440684,1.0
-27374.22816647769,2.0
-27200.462110929973,1.0
-18544.909525667128,1.0
-32189.163145898376,1.0
-22852.096577941003,2.0
-18586.87030423103,2.0
-21853.413883297297,2.0
-26627.664764552654,2.0
-31251.308222061547,2.0
-31707.909991192242,2.0
-16111.16207917891,2.0
-35098.933224852975,2.0
-28672.802309139544,2.0
-23907.205164017494,2.0
-34174.71085250409,1.0
-27478.168880064797,1.0
-37087.208792923106,1.0
-40119.717426913536,1.0
-36310.6802324155,2.0
-22688.83606429539,2.0
-29385.63746481293,2.0
-24219.93453420772,2.0
-32460.519085166234,1.0
-33719.992470388956,2.0
-18601.688751474445,1.0
-43210.30053668612,1.0
-17418.518548837383,2.0
-28312.91474340868,2.0
-20520.934576178606,2.0
-34497.30473056112,2.0
-32789.97645578809,1.0
-33027.232555069655,1.0
-37312.986059461095,1.0
-19092.58172848977,2.0
-41855.05878547112,1.0
-33080.814736741326,1.0
-41288.3358313195,1.0
-38585.9631231281,1.0
-34891.82015516868,1.0
-30761.58394581513,2.0
-35673.780965748214,1.0
-34314.1600338887,2.0
-29010.546645038004,2.0
-19538.752094545373,2.0
-16518.55647387504,2.0
-30366.202618470412,1.0
-39845.92515439755,1.0
-20429.758555593566,2.0
-22337.52235834931,2.0
-33193.199432078305,2.0
-19944.49690637345,1.0
-22415.35349382604,1.0
-28429.440151478826,2.0
-20420.393076669512,1.0
-35361.00834401361,2.0
-22985.301212907332,2.0
-24755.05611721064,2.0
-22938.448214792494,1.0
-20821.7828589516,2.0
-20922.429027485225,1.0
-29600.988427159173,2.0
-32725.912776140103,2.0
-35854.99006848158,1.0
-24849.592267440526,1.0
-23014.682616106496,2.0
-24736.45398943279,2.0
-33377.99003725634,2.0
-21056.858248332155,1.0
-37217.67345443621,2.0
-23364.425410032352,2.0
-25517.117066900544,1.0
-26748.39414199869,1.0
-19241.087531425026,2.0
-32238.22271276477,2.0
-14308.750972699832,2.0
-28302.341954084513,2.0
-18201.52135580851,1.0
-25185.059339686737,2.0
-29843.096461820576,1.0
-38916.09488771549,2.0
-23824.77876696828,2.0
-23573.75677544472,1.0
-23674.75770540879,1.0
-33185.00722268616,2.0
-25406.92874492565,2.0
-29764.54654320642,2.0
-22264.169813524626,2.0
-15733.526644033147,2.0
-35755.53790813802,1.0
-25129.599122249896,2.0
-20766.179807690987,2.0
-36142.045333201146,1.0
-29912.544905878844,1.0
-18474.64126786749,2.0
-34706.346732933314,2.0
-20636.12709860918,2.0
-32174.55370758875,2.0
-16807.090467617756,2.0
-34334.591792438,1.0
-16460.039348402384,2.0
-26259.49815138069,2.0
-28388.48061238396,1.0
-23125.162550012992,2.0
-18912.00889953045,1.0
-25264.737460633172,1.0
-21016.427534975235,2.0
-13587.053561526754,2.0
-23780.65813542845,1.0
-33253.51166626959,1.0
-32377.251823537696,1.0
-27813.26740709714,2.0
-22468.175202161055,2.0
-21669.97981333943,1.0
-18570.484570661793,2.0
-17716.547959865813,2.0
-31060.443721531577,1.0
-26666.959856248657,1.0
-18594.048260465745,1.0
-36450.07891979673,1.0
-35582.96692004384,2.0
-32234.01422443743,2.0
-29579.237811696454,2.0
-25875.163250614398,1.0
-30206.238384943077,2.0
-26672.88500778748,1.0
-22487.144786505436,2.0
-36086.93675149597,2.0
-17851.492007493256,2.0
-16674.662953389627,2.0
-31831.77268402717,2.0
-24315.727819737127,1.0
-26122.59563367352,2.0
-21972.357411644476,1.0
-25827.541898636966,1.0
-19341.74586744696,2.0
-27998.502097761815,2.0
-23945.446870388318,2.0
-38918.447515421794,1.0
-28725.780503152408,2.0
-35231.08039788735,2.0
-18714.799160641534,2.0
-23589.19945586585,2.0
-26846.719244336102,1.0
-33929.633604563176,2.0
-37960.17700684813,2.0
-24689.189943565998,2.0
-22472.7176115165,1.0
-18517.447831585814,1.0
-33520.58326123476,1.0
-39806.77538724188,2.0
-22353.53843757757,2.0
-22158.690831010572,1.0
-29584.55218182592,1.0
-39063.83909785835,2.0
-35439.68523245733,1.0
-27351.032780067326,2.0
-19615.46718254123,2.0
-27358.507494983518,2.0
-20030.89461749265,2.0
-16034.10788945816,2.0
-27060.15362053965,1.0
-33636.39332063638,1.0
-31464.215367253506,2.0
-25805.54711436808,2.0
-35688.332816031354,2.0
-16449.67144017542,1.0
-41340.26750641409,1.0
-37534.51643878337,2.0
-39061.10615306524,1.0
-31768.81431176426,1.0
-26384.865831551255,2.0
-17245.590032262997,1.0
-23342.276221499393,2.0
-22541.980452396838,2.0
-29964.324328467785,1.0
-19174.80758001285,2.0
-34085.300865824465,2.0
-26796.220817668072,2.0
-17715.594993607134,2.0
-35349.46993473236,2.0
-32019.298625633695,2.0
-21470.309482101293,2.0
-22255.922618132925,2.0
-14258.950498515176,2.0
-24601.465160109852,2.0
-19543.815455706837,2.0
-31229.826296532272,1.0
-37037.55373737779,1.0
-33056.687430735146,1.0
-23810.69105444682,2.0
-16020.143353267187,1.0
-25994.31309535484,2.0
-30979.548024857802,1.0
-29858.10142763806,2.0
-23864.724120963936,2.0
-34977.2265946245,2.0
-28127.243409800325,2.0
-38458.81022024299,1.0
-26086.00522036598,2.0
-16933.584153788153,2.0
-21751.214534720173,2.0
-23416.041687985737,2.0
-38705.74350990009,2.0
-19880.649920465283,2.0
-18211.26667699797,2.0
-26719.36203617422,2.0
-21732.25218532958,2.0
-30265.947897368133,2.0
-19654.746675973834,1.0
-25771.97401823208,2.0
-24856.036177272596,1.0
-22203.83991967448,2.0
-33223.43329182685,2.0
-31673.44740708755,1.0
-29174.98979323158,1.0
-21750.21923886985,1.0
-32915.01797131067,2.0
-30323.451453397312,2.0
-30634.29744845094,2.0
-16995.45209718398,1.0
-33537.671494688526,2.0
-21700.22146265833,2.0
-34585.32285194192,2.0
-29456.324896088823,2.0
-44531.933782456195,1.0
-28552.44157993971,2.0
-24631.857615258778,2.0
-22845.86385117903,2.0
-17817.345678988102,2.0
-22030.04614154851,2.0
-18497.25344272124,2.0
-21089.69875515514,2.0
-22312.233183692828,1.0
-21841.459621736496,2.0
-39508.85244289324,1.0
-23083.82863542852,1.0
-21742.54158326307,1.0
-27863.074502130774,1.0
-17221.046999353177,2.0
-34607.320984860846,2.0
-28841.331082482535,2.0
-25637.480618148165,2.0
-19168.86576681306,2.0
-29200.76793548576,1.0
-18916.289441592686,2.0
-36787.51934541271,1.0
-16646.216397412227,1.0
-32689.01179960995,2.0
-15999.210662219142,2.0
-27750.91275625091,2.0
-25981.878123408347,1.0
-26728.80036659502,1.0
-30154.364169578028,1.0
-35116.96639144739,2.0
-34737.936904525544,2.0
-35510.7994496623,2.0
-23580.87977095394,2.0
-29468.892015499554,1.0
-17668.1228167075,2.0
-22619.985597535055,2.0
-24549.027119936487,1.0
-31935.237195757247,1.0
-27786.31306748544,1.0
-37145.05148173139,2.0
-37237.491844167394,2.0
-25499.916566161493,1.0
-30556.43604681929,2.0
-28464.073876083297,2.0
-29516.56008441626,2.0
-22822.695488244375,2.0
-18569.621915899632,2.0
-18829.08343783649,2.0
-21830.06503370396,1.0
-29930.92589572414,2.0
-16936.316722404263,2.0
-34502.447930496586,1.0
-30022.802690656255,2.0
-18036.520178699287,2.0
-33605.743821166005,2.0
-32115.957431100684,1.0
-16996.183692510287,2.0
-25459.866023733488,2.0
-29896.185791076052,2.0
-16899.273308131305,2.0
-33043.793388847196,2.0
-35528.718388502355,1.0
-24803.521031462908,1.0
-20217.895979802674,2.0
-13120.928548929991,2.0
-19087.74189545209,2.0
-23199.757610382505,2.0
-37064.952127071774,2.0
-35253.43987452451,1.0
-17073.12254998118,1.0
-40511.53201090817,2.0
-30093.830047644653,1.0
-38445.759005085405,1.0
-29315.989324253183,1.0
-19544.036002583787,2.0
-15756.60212830366,2.0
-26606.761716108584,1.0
-28558.211327935394,1.0
-28207.93617057978,1.0
-28070.07173630986,2.0
-22465.97934476871,1.0
-41780.23126364168,1.0
-22685.48017147062,1.0
-39957.96850655146,1.0
-16294.158961582478,2.0
-36930.47184791532,2.0
-33199.3659573583,2.0
-22444.267682281905,2.0
-18254.243991757747,2.0
-37968.89954535086,1.0
-29269.426863460656,1.0
