sal_8_lc2vs0_iate,empl_x0
-5247.61237191162,41.0
-5936.081268004897,19.0
-18919.441037239645,65.0
-14707.782499432617,58.0
-16469.15064708127,60.0
-12774.949402169917,72.0
-12053.51819014192,35.0
-14026.353314398892,48.0
-13983.383125352026,86.0
-13134.478561131986,68.0
-29884.652334278322,95.0
-17681.150924771908,28.0
-16609.6116737232,72.0
-11969.49722271879,54.0
-5950.023047619556,35.0
-21467.992990178907,89.0
-11945.720340139294,46.0
-23984.303139984087,100.0
-14270.983694386445,90.0
-31714.984435430924,77.0
-16666.270956639855,44.0
-9190.945167600374,56.0
-16119.659878602992,98.0
-17563.439508625903,42.0
-12709.421738549398,63.0
-17881.349442808172,50.0
-21270.396143409,92.0
-10635.591001845489,38.0
-6349.551233765739,36.0
-25672.877520447033,103.0
-6822.170593997486,58.0
-15317.612865724008,70.0
-7312.44221386747,65.0
-16567.308543593586,53.0
-10771.937303749975,70.0
-23206.795175427615,78.0
-11427.513352134136,61.0
-16042.078033573871,94.0
-17658.06812471561,71.0
-11169.2081233098,79.0
-11499.894941943663,45.0
-13532.379106039434,80.0
-10474.096448959794,60.0
-7399.015417263921,78.0
-21831.30318425617,64.0
-12068.484378545407,91.0
-16817.388918640914,106.0
-8416.273475017142,41.0
-9300.107912582045,71.0
-12865.209168249243,70.0
-7081.880304338444,32.0
-15828.94892623536,62.0
-10728.199476209445,68.0
-13929.317983234097,47.0
-13986.61467723364,105.0
-8806.614629841293,25.0
-31091.26887296683,47.0
-12631.794461756976,67.0
-10562.048830745494,62.0
-19426.966405927375,28.0
-13447.30051696412,53.0
-12487.276177898975,66.0
-16920.067990057403,97.0
-12532.962823379246,79.0
-9913.747962433376,105.0
-13732.531740885568,17.0
-13666.649579562234,65.0
-8937.991690188243,81.0
-11118.370337633278,78.0
-9831.196112755113,66.0
-10573.756448907981,91.0
-28880.51804557306,71.0
-10686.25073508826,56.0
-13103.616710817836,61.0
-17959.01024925051,37.0
-10071.496266680999,57.0
-13782.46557292678,72.0
-16474.894839209068,97.0
-15764.240231078948,98.0
-28745.982583084147,109.0
-17947.466423922444,48.0
-21472.93628477188,82.0
-6541.960065761237,50.0
-11658.795107039548,49.0
-7148.046106287589,92.0
-10323.714508672372,54.0
-9269.578573458639,51.0
-29115.644692828868,87.0
-9615.11726571023,77.0
-8861.114745064175,85.0
-17716.60192563,71.0
-16340.10306184767,51.0
-14684.070456690177,84.0
-7644.129012913625,53.0
-17645.626288756564,46.0
-21284.617047466774,93.0
-13330.575371410054,37.0
-12540.192397054574,89.0
-9402.807187600747,47.0
-9795.936310623623,61.0
-15211.710614927828,83.0
-18920.787376180397,61.0
-14363.490183207621,63.0
-3632.2607362219514,54.0
-11975.5970092164,49.0
-20815.780510225693,36.0
-14272.336117167273,50.0
-10667.303216113622,42.0
-14295.430723840464,70.0
-30380.561068380193,84.0
-7401.089893542667,62.0
-16763.298111027994,64.0
-16441.26604018639,97.0
-18094.53069026472,73.0
-16122.99698257296,85.0
-8268.885028056282,40.0
-10978.461832212246,51.0
-9573.332851260826,35.0
-9182.378284501126,56.0
-16127.620849373467,28.0
-9191.211403168272,65.0
-14354.187389724199,79.0
-31812.54720474514,95.0
-19965.426218763736,75.0
-13745.607386248455,61.0
-9055.757976269148,39.0
-29427.236427341744,65.0
-8861.75391695425,72.0
-11431.90073405658,41.0
-6804.923687760395,59.0
