sal_9_lc1vs0_iate,age
13616.941949582555,40.0
14561.636348288506,36.0
2612.784853292573,43.0
1995.4200494509923,43.0
19047.129579976954,50.0
13967.332616799922,49.0
8929.994170390752,34.0
19788.292614293332,46.0
14301.752857796055,49.0
15584.990089997635,50.0
11490.44332534962,40.0
8091.321827212738,32.0
-6546.59054743239,31.0
15777.387834350324,45.0
10888.679181173531,36.0
16086.903103419907,49.0
13992.419154180177,33.0
12041.260923857491,38.0
17435.53834667283,44.0
16736.48143870632,40.0
16384.470219926454,46.0
6898.459366938971,33.0
14465.21384341352,44.0
-8871.274722749533,31.0
10733.760550851219,33.0
14583.05557328072,49.0
4426.55053044283,41.0
12122.325832532544,48.0
13537.452226946512,44.0
3959.8844539221905,40.0
12048.876577309296,49.0
3914.9416574317,44.0
3925.525457980086,38.0
16144.00447104589,47.0
6571.044688796559,47.0
9483.059543947784,33.0
15461.23480130708,38.0
5264.703744474601,50.0
11376.070717435485,38.0
13969.988481105249,47.0
10730.59600958038,34.0
14046.73810062982,44.0
11992.39593475417,40.0
-3098.0258535708076,36.0
14864.158381082278,34.0
4135.930583493321,41.0
12598.981422288934,49.0
12836.451800619394,45.0
4582.153952174714,33.0
11230.477534117119,47.0
5815.134298443156,47.0
5798.5057803683485,50.0
11320.10369915316,39.0
7742.5643132719615,30.0
7115.804916140647,32.0
8948.285733730143,30.0
15315.535291025466,34.0
-5939.284914559379,35.0
11685.329194369138,44.0
8462.869840033749,35.0
14238.434453861655,37.0
13917.985781218777,45.0
2998.826575074746,44.0
1499.17982908614,48.0
11306.99822741522,40.0
7459.066496079418,43.0
7344.49989731111,30.0
8545.827722205288,34.0
13246.786460610689,45.0
14240.520196341316,47.0
6610.844393678556,32.0
14093.342263612312,47.0
3616.3766052894216,44.0
-505.2644426811871,38.0
-717.0291062804331,45.0
7940.476318410712,34.0
-12.168793221941314,41.0
10247.744681233846,45.0
12737.601298251153,37.0
14907.08242093292,31.0
8676.790640309297,36.0
14531.988030536764,34.0
7536.650370788451,35.0
14452.530052057038,30.0
11205.607263936578,31.0
12779.908367605982,45.0
569.352747604858,47.0
10018.021199847259,35.0
16990.16861442631,30.0
-2938.2743928436807,36.0
19167.036519000663,42.0
9568.292924365505,38.0
-844.3157610722874,33.0
14660.752466299868,37.0
17641.80057320682,50.0
-4645.971594969394,33.0
8810.451559253619,33.0
3082.6984641762274,42.0
-7164.724164226943,32.0
4176.283064255036,30.0
8655.267210750542,45.0
15214.385747346172,34.0
8071.241097093477,32.0
6520.306137574858,32.0
