sal_9_lc1vs0_iate,olf_x0
14604.222855989388,56.0
16079.616100807285,85.0
14825.567995479241,51.0
5201.377158654619,54.0
21034.787789041566,38.0
6678.253010518829,28.0
10124.594205404672,83.0
14547.579720849662,52.0
7621.925125727808,12.0
10938.560990733053,39.0
-7626.950328733241,14.0
17834.569626340344,71.0
17021.09852064174,41.0
11501.567155469644,51.0
15927.887500681567,62.0
22472.4762513073,17.0
9170.391222507807,67.0
-1553.7421135216355,1.0
5482.390842011304,16.0
3745.205947594831,31.0
-5959.504952518336,54.0
11381.986633182376,40.0
-3174.720565017204,6.0
21864.91338534279,56.0
21560.33713773788,44.0
21910.031690306587,47.0
-2480.5834245730607,26.0
-6690.461006188957,59.0
10364.222075229838,63.0
-5269.930801498533,15.0
16500.722567894707,59.0
17341.191844798836,38.0
6084.983302038243,32.0
14874.798803847863,57.0
13073.969859904199,27.0
4592.100608854642,33.0
16067.11855303769,57.0
14996.558461278415,21.0
-5493.981369838661,42.0
13282.413706957246,18.0
18679.652262102394,68.0
21383.322865717873,30.0
12793.952524843946,41.0
14240.1236127405,30.0
13597.846100813178,37.0
16536.69453439193,26.0
8765.860425876324,2.0
17302.496039799204,75.0
11936.976773062373,33.0
19125.28505855275,40.0
11743.702278590506,75.0
8077.346425802849,37.0
543.0010636712254,34.0
20579.993573892723,71.0
-9516.81514213516,12.0
7408.780771611771,75.0
-7338.3093391580605,49.0
13779.607264057144,33.0
15025.244693328976,57.0
18797.84837368539,71.0
2816.7265652542665,54.0
6915.251453791094,35.0
22524.368893156032,9.0
17405.56963668079,24.0
-1702.9002181826286,14.0
15350.616403885819,81.0
1693.5251232992878,47.0
5289.6181060459185,31.0
9964.215904891887,38.0
15655.176582056596,44.0
-7976.259704017432,23.0
-6528.332709147726,26.0
18192.43727771492,63.0
3436.9021255559246,41.0
20757.52314291689,69.0
18116.36001170434,55.0
14844.84071811794,29.0
5904.617780932573,7.0
5160.210920379754,3.0
-8393.854103662601,9.0
18103.105807743053,62.0
17688.132435578154,38.0
10115.904345092888,54.0
16175.758331746945,69.0
10655.994556523656,5.0
12734.97963520142,54.0
12396.51564978857,49.0
5239.750802811435,28.0
-7881.8491217575975,29.0
9407.949748130904,33.0
-5894.391762775055,35.0
5505.874120468473,57.0
20680.872550816886,25.0
13322.566466515918,47.0
14094.67541000489,64.0
-11745.96179440396,14.0
14820.127260773983,66.0
-393.3864181938484,24.0
8120.395962662998,63.0
9741.010677434864,57.0
12359.903522189827,20.0
19492.12985465266,57.0
7831.451035368691,48.0
14393.045282322442,54.0
6523.021678814864,59.0
20134.320774194362,71.0
-4547.046019374588,58.0
15430.467885991291,65.0
217.48138053634148,38.0
4895.86643390765,14.0
-3088.2888994067407,47.0
6937.792913531681,38.0
-1617.200011570334,14.0
-333.0088649852901,28.0
1564.2244910077884,18.0
9177.379201005837,69.0
10000.649356652126,57.0
17859.471006864984,75.0
11856.16006270864,41.0
20401.988623925892,82.0
13476.102265517517,34.0
13520.250852951272,27.0
-7155.743841369855,15.0
-380.32507382303515,34.0
-7186.1286668168,57.0
12354.390750096074,58.0
3436.472140502167,45.0
15416.98370923127,28.0
15504.601456559067,75.0
13588.227812376786,43.0
7954.953399667288,67.0
-2510.0155467323693,23.0
15565.850940580774,47.0
13505.081365502609,75.0
11989.101300779817,76.0
17223.716352879354,47.0
15857.874134889145,43.0
821.2684283432677,58.0
16788.71886442788,36.0
7029.394150414842,42.0
15398.21316484258,11.0
14656.340650944065,15.0
-6320.032300310012,26.0
11568.533637963545,5.0
14960.509768587195,30.0
12630.120449230972,23.0
-5103.521394559009,21.0
-9561.344883682483,11.0
-2795.0160819367866,23.0
10669.03689631119,43.0
-86.05854053294524,48.0
-552.652040192268,54.0
5654.107677235041,2.0
15640.997453086518,35.0
1764.4346725733658,29.0
13515.250076518085,45.0
14383.779219622324,21.0
17437.00268311255,26.0
5041.838892400852,12.0
11700.193153213622,83.0
23280.741481889374,65.0
13430.89599477342,62.0
11832.083711536714,72.0
4524.4228892797255,14.0
10711.313993749132,20.0
18907.260084590613,63.0
11059.888286769188,33.0
-9293.566139075821,7.0
18029.69371449177,64.0
13034.27720493322,82.0
19608.598163034967,50.0
7658.1800152591295,22.0
22947.37479850935,65.0
16679.27882929143,46.0
14156.201540232893,15.0
12105.698170827118,53.0
1669.13240865913,34.0
14817.187946731749,40.0
7462.239123847061,57.0
11919.04519335207,6.0
17986.749187151487,63.0
287.0713378908422,46.0
15744.346946659021,75.0
15000.501354259644,70.0
9495.156494258887,64.0
7234.658775924998,23.0
14685.999539185104,43.0
15375.46394154567,76.0
21744.997883367003,9.0
-651.2275741682515,27.0
2333.756382046615,56.0
12944.802667218459,17.0
4297.375265861036,42.0
5222.321113739719,15.0
16098.681259703053,62.0
23233.671647870367,62.0
434.2475134007882,21.0
8243.317933246013,58.0
20685.48964905952,24.0
9409.575063519602,49.0
5229.7298107034785,60.0
13157.524655087867,57.0
-9995.582871078695,13.0
9829.651346115077,38.0
3693.6646697333736,32.0
-2212.9558815609676,31.0
5810.540207288163,46.0
5298.824468442144,22.0
18150.850441509236,42.0
-7753.151738823804,11.0
4105.446993159208,4.0
-249.84036909288739,32.0
-7989.081135572743,22.0
14154.86088077396,27.0
21323.347946572692,44.0
17355.66965447552,22.0
18228.023564446434,34.0
14872.1680255669,4.0
22619.391643294002,69.0
11042.009276307588,60.0
12016.148236801331,23.0
15350.145446961482,20.0
13157.937649826454,16.0
-6274.395046715084,5.0
12244.514072264954,17.0
-9831.828520581015,14.0
-7192.003772597095,35.0
-1414.583175187981,22.0
13059.670754200788,71.0
13346.600972568394,52.0
7828.7780828462,32.0
9166.368837582355,46.0
21407.86767934072,59.0
13247.472479091966,42.0
10560.438427612691,56.0
21072.76107505398,23.0
19962.968091568975,72.0
17981.86144366756,43.0
-360.1479553153349,11.0
7120.1717560162,14.0
8931.438036285343,44.0
12482.04052104363,33.0
17949.616511576805,58.0
17820.443749049435,40.0
16113.887296700592,35.0
5976.9333993792025,39.0
-1656.1505977601764,43.0
22610.023881145942,71.0
-8280.21770225992,19.0
16292.799555809426,54.0
6187.934382936895,74.0
10613.13357147668,37.0
18424.186005865457,79.0
21860.66548994531,33.0
7036.353535324252,19.0
5178.045714980621,54.0
-2853.238837765047,53.0
17563.33165942985,21.0
11451.165579823686,58.0
4533.616341222731,45.0
-11004.797344242757,26.0
1535.9352675184437,21.0
-7850.767524243407,12.0
13736.488513261926,37.0
12133.757539009894,38.0
15464.728625236818,67.0
16763.948225897428,28.0
17262.439939423683,54.0
13860.52578068052,41.0
9868.871516833393,39.0
10627.12126164603,45.0
13133.828270818654,21.0
17262.188332269838,31.0
15768.403513812436,24.0
-414.8151481949626,28.0
-3448.4012194022453,45.0
18869.497137220864,28.0
2300.0370815164056,56.0
17035.826809918144,29.0
10952.634908096059,84.0
8777.416320915272,60.0
-2906.4260462033612,20.0
10789.548058999882,42.0
-10826.100251662054,10.0
20829.69619084507,52.0
15204.564876317427,36.0
2710.5291953133315,11.0
3908.7153545663123,28.0
18104.6730329602,39.0
18328.036234061656,49.0
18311.35920343003,59.0
-510.1527296862396,43.0
22471.285772821288,39.0
10046.514860813124,16.0
1867.2000178677197,19.0
-2216.483250675463,30.0
16210.539587915031,46.0
17142.828301015095,45.0
15962.947609149809,62.0
12283.869034375723,60.0
-10386.782866941263,6.0
9070.78160738401,78.0
2214.977536030008,26.0
22224.796276200592,39.0
16594.967131549412,85.0
5945.75782351264,60.0
-1484.9828857780676,54.0
23408.2805444374,67.0
10912.98518375729,54.0
20068.00835249149,26.0
8500.321458222796,64.0
11062.911109419158,16.0
4942.054662392537,28.0
9557.29906060143,26.0
12621.603246152938,48.0
4842.7108352519,30.0
3795.942105985536,15.0
16887.391816555886,43.0
17166.94861468143,12.0
12048.69795277293,50.0
14597.46323103264,40.0
11347.06707498982,45.0
9628.586464539305,53.0
14304.629155815735,9.0
9355.062236441678,51.0
864.9733622623438,8.0
11430.331398841121,80.0
5256.085649722176,58.0
351.16936780637616,33.0
13738.331569665246,39.0
14021.747523651771,47.0
108.60460272507157,51.0
5281.221926358652,7.0
-990.3489691866953,24.0
8203.748146449341,67.0
5061.621938904593,29.0
-269.1335904494308,27.0
18435.00521760751,40.0
13764.371727412708,23.0
4151.810229951214,41.0
3711.574619119132,5.0
-3371.916686399527,11.0
6423.93139404787,53.0
18355.350004402702,29.0
18223.296207429587,17.0
13314.039721240319,24.0
-2124.7065923295177,3.0
18155.071087201344,53.0
4092.8940672296094,38.0
11502.470292755454,22.0
16899.371372960883,62.0
14284.538843461169,55.0
16990.237801892235,27.0
16148.730819267934,47.0
5504.604182949543,6.0
7131.147390859721,22.0
2724.091148574904,42.0
-8149.9154159893815,57.0
15066.76698532469,25.0
10033.610369052843,26.0
9117.344225163844,60.0
3746.0973859247233,43.0
18314.20765696021,44.0
13647.858809651236,50.0
14968.001438499923,26.0
13738.085987495682,39.0
-5640.877385613993,50.0
21006.041589711942,41.0
23219.280481715334,45.0
12448.759878139246,61.0
7526.261518942709,51.0
5538.440436303084,59.0
2622.253421726855,37.0
16370.982386489586,17.0
9163.72986765081,38.0
-2665.2655212713425,15.0
9796.585701974655,44.0
18682.33337731767,41.0
7710.714504782897,35.0
11796.748558173937,26.0
10578.45527932164,17.0
9550.964266645886,56.0
14473.326273115727,27.0
15422.368349709708,53.0
4474.601283684866,13.0
4050.50780436143,48.0
10693.026897793186,28.0
14828.9738997204,40.0
18455.827435078005,3.0
