sal_avg_lc1vs0_iate,age
-463.513496485008,34.0
-1847.6121512813597,44.0
-3666.724739464621,42.0
-8612.12307443159,47.0
-2932.6937992341063,46.0
-5665.001479048336,48.0
-3441.4558967006274,37.0
-2838.081801430035,44.0
-5190.987333464111,45.0
-6679.015808655396,35.0
-21088.555720797518,34.0
-5050.337640104915,46.0
-4330.400558687103,49.0
-4328.147398870946,49.0
-227.3310448535001,47.0
-3114.3760810520707,46.0
-2435.8406409209138,38.0
-16801.22053844198,41.0
-6820.418310267503,48.0
-13760.996006129913,30.0
-18046.204079078827,35.0
-2321.9146750212035,42.0
-13241.46132851449,40.0
-3071.19154952596,38.0
-3206.1550970958815,46.0
-4154.286240049651,45.0
-15006.888634045421,34.0
-12021.335593992317,34.0
-2070.3202580666493,40.0
-18397.95356272177,37.0
-1889.9598735848053,47.0
-6092.692729795937,33.0
-7701.838036392345,41.0
-4284.474753541315,48.0
-3070.9207159497064,40.0
-10186.839265724966,46.0
-4058.7263050805213,45.0
-4234.555661910751,41.0
-14841.704162924554,37.0
-4721.648946031489,49.0
-146.3326538080487,50.0
-4296.263003798102,38.0
-3968.027247398873,44.0
-5487.076290863111,43.0
-10821.706583671672,48.0
-3549.0933660013325,36.0
-11176.520391528746,37.0
-396.6216945757328,41.0
-1308.7933614894812,45.0
-4321.738163391496,36.0
-1679.3250543333627,46.0
-13825.385441420818,50.0
-9705.903919529803,48.0
-1941.5600032764141,40.0
-17026.261987989732,33.0
-5681.74233304389,31.0
-20707.033050715305,34.0
-2715.2386861927325,39.0
-2681.99010470236,45.0
-2220.630708743636,36.0
-8836.78346681875,38.0
-4080.6812910874987,33.0
-3567.75067401295,50.0
-61.33569109278403,45.0
-11229.120037878332,47.0
-5514.657729756766,45.0
-8119.786103787981,33.0
-5653.523153591791,31.0
-3021.041312560856,47.0
-2202.385252410415,43.0
-13711.86613623781,34.0
-18989.89525567234,35.0
-3881.4391296977374,41.0
-8124.260113193132,40.0
-3051.0709837098966,42.0
-4554.147313564168,42.0
-2590.3474344504575,49.0
-6908.662810779986,46.0
-6718.468603575588,37.0
-20004.117829970786,31.0
-4994.176749152037,48.0
-5496.55923926767,32.0
-4302.962053225012,31.0
-5998.531895427333,41.0
-4408.920118722363,49.0
-3362.96784283539,49.0
-1128.8177198612439,36.0
-12334.234629367968,44.0
-12821.893128497695,33.0
-8054.5514265533075,32.0
-14090.634343899204,30.0
-7617.009346591939,47.0
-2796.7528572068677,48.0
-924.3493473975333,45.0
-6411.868072222465,35.0
-20986.804676169333,32.0
-3079.8646357343596,32.0
-11235.677003808369,46.0
-3300.177699021645,40.0
-6319.144300785712,31.0
-7220.067168747152,36.0
-3752.450922899925,34.0
-10122.392623717966,50.0
-2059.022433649012,41.0
-4420.459952515184,36.0
-3657.864961302712,35.0
-14497.581488513384,45.0
-3280.972619140175,40.0
-10016.712359354979,30.0
-14130.109560966343,47.0
-11526.239612007645,48.0
-9627.575265321331,46.0
-10242.502781571558,31.0
-12375.299110150592,40.0
-12775.022272749107,48.0
-2962.4747961838993,31.0
-5733.944012197649,36.0
-412.16662863333386,39.0
-4173.934912833149,43.0
-4446.523276926742,36.0
-5546.287796963205,43.0
-6644.113947641672,36.0
-20463.510461793707,32.0
-11421.985827900826,30.0
-14588.283114557971,35.0
-4296.9341605022455,34.0
-15308.381580177347,44.0
-1918.6337455126786,49.0
-4904.122555143581,48.0
-3782.712618864375,46.0
-4336.14058556478,37.0
-13019.588975640676,37.0
-4701.720109369653,49.0
-1862.2777478242606,34.0
-1651.7998929613914,43.0
-2245.9113882877136,35.0
-5098.816434561996,45.0
-16139.686901748268,42.0
-7755.282672002699,47.0
-5407.08598283951,43.0
-4648.452389895047,47.0
-520.2555182121823,42.0
-19495.373864824534,37.0
-4733.99346998361,35.0
-5677.709380763718,38.0
-5579.931288879409,39.0
-21197.190502766305,34.0
-14020.929154737749,31.0
-12981.516844003236,45.0
-2648.987215829232,46.0
-16753.22068041909,42.0
-8524.629155095867,41.0
-5975.722087964356,30.0
-9125.532586995547,49.0
-7619.046303009428,50.0
-2855.586163825934,33.0
-3025.8097797928276,48.0
-2497.1665053223387,45.0
-7184.193202091382,46.0
-2807.523195563472,47.0
-3080.209531283679,50.0
-5494.654000863124,36.0
-1819.1616023078786,31.0
-13599.512198976117,43.0
-4661.803029523228,48.0
-4762.071432685161,33.0
-5145.8303435802845,39.0
-21717.09240546481,31.0
-3919.964005010719,46.0
-4024.195172315309,44.0
-2932.832439347376,48.0
-4971.014798354618,35.0
-2767.8809390932056,42.0
-5493.866697337418,45.0
-3395.332213811672,36.0
-2909.1529854074083,50.0
-9920.038541856886,38.0
-4852.356244613504,35.0
-5584.926950041488,38.0
-7964.870549707955,48.0
1188.264489757641,40.0
-10620.14815116794,46.0
-1895.3452563455148,46.0
-797.0658975308497,32.0
-2664.5307177555405,40.0
-14399.804235434925,44.0
-2840.982919313621,40.0
-294.82386166505825,50.0
-3326.16243834518,47.0
