sal_avg_lc1vs0_iate,empl_x0
-463.513496485008,41.0
-1847.6121512813597,19.0
-3666.724739464621,65.0
-8612.12307443159,58.0
-2932.6937992341063,60.0
-5665.001479048336,72.0
-3441.4558967006274,35.0
-2838.081801430035,48.0
-5190.987333464111,86.0
-6679.015808655396,68.0
-21088.555720797518,95.0
-5050.337640104915,28.0
-4330.400558687103,72.0
-4328.147398870946,54.0
-227.3310448535001,35.0
-3114.3760810520707,89.0
-2435.8406409209138,46.0
-16801.22053844198,100.0
-6820.418310267503,90.0
-13760.996006129913,77.0
-18046.204079078827,44.0
-2321.9146750212035,56.0
-13241.46132851449,98.0
-3071.19154952596,42.0
-3206.1550970958815,63.0
-4154.286240049651,50.0
-15006.888634045421,92.0
-12021.335593992317,38.0
-2070.3202580666493,36.0
-18397.95356272177,103.0
-1889.9598735848053,58.0
-6092.692729795937,70.0
-7701.838036392345,65.0
-4284.474753541315,53.0
-3070.9207159497064,70.0
-10186.839265724966,78.0
-4058.7263050805213,61.0
-4234.555661910751,94.0
-14841.704162924554,71.0
-4721.648946031489,79.0
-146.3326538080487,45.0
-4296.263003798102,80.0
-3968.027247398873,60.0
-5487.076290863111,78.0
-10821.706583671672,64.0
-3549.0933660013325,91.0
-11176.520391528746,106.0
-396.6216945757328,41.0
-1308.7933614894812,71.0
-4321.738163391496,70.0
-1679.3250543333627,32.0
-13825.385441420818,62.0
-9705.903919529803,68.0
-1941.5600032764141,47.0
-17026.261987989732,105.0
-5681.74233304389,25.0
-20707.033050715305,47.0
-2715.2386861927325,67.0
-2681.99010470236,62.0
-2220.630708743636,28.0
-8836.78346681875,53.0
-4080.6812910874987,66.0
-3567.75067401295,97.0
-61.33569109278403,79.0
-11229.120037878332,105.0
-5514.657729756766,17.0
-8119.786103787981,65.0
-5653.523153591791,81.0
-3021.041312560856,78.0
-2202.385252410415,66.0
-13711.86613623781,91.0
-18989.89525567234,71.0
-3881.4391296977374,56.0
-8124.260113193132,61.0
-3051.0709837098966,37.0
-4554.147313564168,57.0
-2590.3474344504575,72.0
-6908.662810779986,97.0
-6718.468603575588,98.0
-20004.117829970786,109.0
-4994.176749152037,48.0
-5496.55923926767,82.0
-4302.962053225012,50.0
-5998.531895427333,49.0
-4408.920118722363,92.0
-3362.96784283539,54.0
-1128.8177198612439,51.0
-12334.234629367968,87.0
-12821.893128497695,77.0
-8054.5514265533075,85.0
-14090.634343899204,71.0
-7617.009346591939,51.0
-2796.7528572068677,84.0
-924.3493473975333,53.0
-6411.868072222465,46.0
-20986.804676169333,93.0
-3079.8646357343596,37.0
-11235.677003808369,89.0
-3300.177699021645,47.0
-6319.144300785712,61.0
-7220.067168747152,83.0
-3752.450922899925,61.0
-10122.392623717966,63.0
-2059.022433649012,54.0
-4420.459952515184,49.0
-3657.864961302712,36.0
-14497.581488513384,50.0
-3280.972619140175,42.0
-10016.712359354979,70.0
-14130.109560966343,84.0
-11526.239612007645,62.0
-9627.575265321331,64.0
-10242.502781571558,97.0
-12375.299110150592,73.0
-12775.022272749107,85.0
-2962.4747961838993,40.0
-5733.944012197649,51.0
-412.16662863333386,35.0
-4173.934912833149,56.0
-4446.523276926742,28.0
-5546.287796963205,65.0
-6644.113947641672,79.0
-20463.510461793707,95.0
-11421.985827900826,75.0
-14588.283114557971,61.0
-4296.9341605022455,39.0
-15308.381580177347,65.0
-1918.6337455126786,72.0
-4904.122555143581,41.0
-3782.712618864375,59.0
-4336.14058556478,43.0
-13019.588975640676,76.0
-4701.720109369653,55.0
-1862.2777478242606,34.0
-1651.7998929613914,32.0
-2245.9113882877136,70.0
-5098.816434561996,63.0
-16139.686901748268,42.0
-7755.282672002699,69.0
-5407.08598283951,55.0
-4648.452389895047,92.0
-520.2555182121823,94.0
-19495.373864824534,90.0
-4733.99346998361,91.0
-5677.709380763718,88.0
-5579.931288879409,94.0
-21197.190502766305,76.0
-14020.929154737749,102.0
-12981.516844003236,76.0
-2648.987215829232,76.0
-16753.22068041909,53.0
-8524.629155095867,46.0
-5975.722087964356,99.0
-9125.532586995547,70.0
-7619.046303009428,78.0
-2855.586163825934,61.0
-3025.8097797928276,89.0
-2497.1665053223387,77.0
-7184.193202091382,93.0
-2807.523195563472,15.0
-3080.209531283679,54.0
-5494.654000863124,40.0
-1819.1616023078786,40.0
-13599.512198976117,87.0
-4661.803029523228,80.0
-4762.071432685161,44.0
-5145.8303435802845,81.0
-21717.09240546481,96.0
-3919.964005010719,48.0
-4024.195172315309,24.0
-2932.832439347376,50.0
-4971.014798354618,91.0
-2767.8809390932056,49.0
-5493.866697337418,56.0
-3395.332213811672,98.0
-2909.1529854074083,53.0
-9920.038541856886,69.0
-4852.356244613504,65.0
-5584.926950041488,42.0
-7964.870549707955,91.0
1188.264489757641,51.0
-10620.14815116794,54.0
-1895.3452563455148,45.0
-797.0658975308497,36.0
-2664.5307177555405,39.0
-14399.804235434925,76.0
-2840.982919313621,62.0
-294.82386166505825,30.0
-3326.16243834518,111.0
-17341.001304706522,74.0
-13342.804826578384,52.0
-6679.770675387857,100.0
-10378.034609233018,55.0
-7586.032266469161,89.0
-2138.3843792674666,58.0
-2962.947797366007,43.0
-9445.061591712045,78.0
-4628.850483957177,38.0
-2371.945529551689,76.0
-2504.6642034590986,70.0
-7650.088853001283,36.0
-10049.364534438411,42.0
-16409.512754677424,91.0
-2227.1544694534746,60.0
-7726.152897312457,65.0
-14604.01587291501,70.0
-6757.192295640221,52.0
-7165.033228111048,75.0
-996.4244833159028,63.0
-13969.073750347066,87.0
-11130.593381398496,116.0
-11059.005339752526,80.0
-20418.00601613143,85.0
-4505.262376376644,73.0
-2650.541807093163,55.0
-4300.2829864926025,81.0
-4476.765153839629,71.0
-5152.243767786587,100.0
-2561.134512646271,44.0
-7682.127741808816,55.0
-1111.2948748196618,80.0
-4978.012447428833,90.0
-2407.823753415889,92.0
-12672.240773153246,110.0
-6232.158946257013,103.0
-18260.908580148935,87.0
-12529.22791783786,79.0
-14267.555802736057,78.0
-3386.4387374681355,46.0
-2321.113462848197,45.0
-6625.325877134188,79.0
-6255.207636035607,63.0
-2312.351440555054,49.0
-4528.12110400387,55.0
-2136.024496009291,44.0
-3797.049319575912,79.0
-2549.244477343338,25.0
-1035.8719310758015,71.0
-16020.440062487536,103.0
-7332.0449117115495,91.0
-12498.667019472758,62.0
-7674.683263877325,65.0
-5373.937467221862,42.0
-686.1375662136179,69.0
-2780.854156387918,61.0
-7917.3120189264855,64.0
-15153.016100497083,61.0
-2322.729195925518,33.0
-13659.446268026304,92.0
-6929.011200109049,65.0
-4178.24318679288,24.0
-6760.580360149945,60.0
129.0258704716989,36.0
-3188.3456954588783,64.0
-9516.46720148789,82.0
-12148.93119437116,48.0
-17467.404146722078,49.0
-99.55215731127976,89.0
-9954.110087712743,58.0
-12340.991839544762,54.0
-22115.340534184277,85.0
-13646.644695816767,86.0
-19331.30150918461,98.0
-5221.6323170013475,64.0
-9035.514445965619,59.0
-5633.825468059045,44.0
-3150.3597379570047,83.0
61.60349985900598,61.0
-809.3600076635769,63.0
-5088.28188985917,66.0
-9845.0089091722,73.0
-2325.1764468510314,80.0
-1401.3863216818309,74.0
-5462.314517675968,91.0
-9208.440692572243,69.0
-12060.361812287852,58.0
-1877.1333062559233,86.0
-7939.821816474209,50.0
-4289.047389677109,86.0
-4329.475988185808,12.0
-6057.285302540814,37.0
-12858.643002236695,85.0
-3233.468108602967,61.0
-15721.164024572408,96.0
-4019.193578120883,61.0
-4551.624874001085,72.0
-12667.710940098934,107.0
-7407.42116595402,74.0
-791.8595690477705,74.0
-516.7286420895107,52.0
-4374.179819366849,50.0
-9612.92341891613,75.0
-3124.1194900100436,68.0
-4393.087762808688,100.0
-9281.123888493767,83.0
-13369.916645841364,82.0
-332.6247287640011,69.0
-4420.848347727806,55.0
843.4764231047986,36.0
-4501.6520178244255,43.0
-14574.756331154886,111.0
-5898.811925904288,22.0
-10915.62995720756,90.0
-3393.5474613805527,66.0
-1790.2938023615297,27.0
-6779.62190486842,42.0
-11186.295105876992,64.0
-2072.3387249033312,48.0
-4728.134292884335,52.0
-2464.544454967063,70.0
-4890.754711351303,47.0
-1975.4436891613843,84.0
-14353.168442913953,69.0
-5248.791732272066,83.0
-3258.65984380615,68.0
-14484.53520635545,73.0
-13719.42061313944,90.0
418.7795160312018,53.0
-5820.403460492718,97.0
-3923.809481553683,67.0
-6012.458123978593,56.0
-1908.310015637578,61.0
-9083.872791494337,52.0
-998.0694382643395,96.0
-6671.742299915236,63.0
-12379.881014613524,100.0
-4216.2192773216475,24.0
-6693.013615916121,47.0
-11071.2085680109,69.0
-2478.543754149246,75.0
-488.413374051133,59.0
-13691.72052806198,58.0
-14128.533776318436,109.0
-15912.337258743926,83.0
-6756.4589075064405,43.0
-8183.009400915584,74.0
-9451.040630731291,87.0
93.47101372796897,59.0
-915.5316926913898,77.0
-13203.22852541862,69.0
-8542.443471992334,114.0
-11755.0004357309,87.0
-10728.017803723185,48.0
-4820.271094648853,69.0
-5014.965581160821,95.0
-5736.63685391739,77.0
-12197.97238310924,105.0
-4411.591303861553,43.0
-8965.257763357766,81.0
-4581.807766112252,87.0
-5883.638922952283,41.0
-1220.4746276351075,55.0
785.5890665439154,76.0
-4930.2394592706505,71.0
-7355.3104714523215,112.0
-6842.912065521707,78.0
-8311.348487358666,71.0
-15470.406179081358,51.0
-1384.8947845838254,78.0
-5625.061268035523,72.0
-5395.67485102924,37.0
-15147.025265905453,75.0
-2822.5401888264714,70.0
-6903.310919547794,55.0
-423.39900864083916,74.0
-3055.2002107567846,69.0
-13555.96118554968,59.0
-3565.720696760329,61.0
-2868.266246380026,61.0
-4596.493203592745,57.0
-6738.5403138022575,55.0
-6028.078368799315,50.0
-14046.276332787986,77.0
-5652.72043934389,85.0
-6392.651848260659,62.0
-11651.224493031139,100.0
-5094.066725552313,55.0
-3774.519378786783,79.0
-11254.285114087923,81.0
