sal_avg_lc1vs0_iate,lmp_cw
-463.513496485008,3.0
-1847.6121512813597,3.0
-3666.724739464621,2.0
-8612.12307443159,4.0
-2932.6937992341063,3.0
-5665.001479048336,4.0
-3441.4558967006274,3.0
-2838.081801430035,3.0
-5190.987333464111,4.0
-6679.015808655396,3.0
-21088.555720797518,2.0
-5050.337640104915,3.0
-4330.400558687103,3.0
-4328.147398870946,4.0
-227.3310448535001,4.0
-3114.3760810520707,3.0
-2435.8406409209138,2.0
-16801.22053844198,3.0
-6820.418310267503,1.0
-13760.996006129913,1.0
-18046.204079078827,1.0
-2321.9146750212035,4.0
-13241.46132851449,4.0
-3071.19154952596,3.0
-3206.1550970958815,4.0
-4154.286240049651,4.0
-15006.888634045421,3.0
-12021.335593992317,1.0
-2070.3202580666493,4.0
-18397.95356272177,3.0
-1889.9598735848053,3.0
-6092.692729795937,1.0
-7701.838036392345,1.0
-4284.474753541315,4.0
-3070.9207159497064,2.0
-10186.839265724966,4.0
-4058.7263050805213,3.0
-4234.555661910751,4.0
-14841.704162924554,2.0
-4721.648946031489,4.0
-146.3326538080487,4.0
-4296.263003798102,4.0
-3968.027247398873,3.0
-5487.076290863111,1.0
-10821.706583671672,3.0
-3549.0933660013325,1.0
-11176.520391528746,1.0
-396.6216945757328,2.0
-1308.7933614894812,4.0
-4321.738163391496,1.0
-1679.3250543333627,4.0
-13825.385441420818,4.0
-9705.903919529803,4.0
-1941.5600032764141,1.0
-17026.261987989732,1.0
-5681.74233304389,1.0
-20707.033050715305,1.0
-2715.2386861927325,3.0
-2681.99010470236,4.0
-2220.630708743636,3.0
-8836.78346681875,1.0
-4080.6812910874987,1.0
-3567.75067401295,4.0
-61.33569109278403,4.0
-11229.120037878332,4.0
-5514.657729756766,1.0
-8119.786103787981,3.0
-5653.523153591791,1.0
-3021.041312560856,4.0
-2202.385252410415,3.0
-13711.86613623781,1.0
-18989.89525567234,4.0
-3881.4391296977374,2.0
-8124.260113193132,4.0
-3051.0709837098966,3.0
-4554.147313564168,1.0
-2590.3474344504575,4.0
-6908.662810779986,4.0
-6718.468603575588,2.0
-20004.117829970786,2.0
-4994.176749152037,2.0
-5496.55923926767,3.0
-4302.962053225012,1.0
-5998.531895427333,1.0
-4408.920118722363,3.0
-3362.96784283539,3.0
-1128.8177198612439,2.0
-12334.234629367968,4.0
-12821.893128497695,3.0
-8054.5514265533075,1.0
-14090.634343899204,1.0
-7617.009346591939,4.0
-2796.7528572068677,4.0
-924.3493473975333,1.0
-6411.868072222465,2.0
-20986.804676169333,1.0
-3079.8646357343596,1.0
-11235.677003808369,4.0
-3300.177699021645,1.0
-6319.144300785712,1.0
-7220.067168747152,1.0
-3752.450922899925,1.0
-10122.392623717966,3.0
-2059.022433649012,3.0
-4420.459952515184,1.0
-3657.864961302712,1.0
-14497.581488513384,2.0
-3280.972619140175,2.0
-10016.712359354979,1.0
-14130.109560966343,3.0
-11526.239612007645,2.0
-9627.575265321331,4.0
-10242.502781571558,2.0
-12375.299110150592,2.0
-12775.022272749107,4.0
-2962.4747961838993,1.0
-5733.944012197649,1.0
-412.16662863333386,4.0
-4173.934912833149,3.0
-4446.523276926742,4.0
-5546.287796963205,2.0
-6644.113947641672,4.0
-20463.510461793707,3.0
-11421.985827900826,1.0
-14588.283114557971,4.0
-4296.9341605022455,1.0
-15308.381580177347,2.0
-1918.6337455126786,2.0
-4904.122555143581,4.0
-3782.712618864375,1.0
-4336.14058556478,3.0
-13019.588975640676,4.0
-4701.720109369653,4.0
-1862.2777478242606,3.0
-1651.7998929613914,4.0
-2245.9113882877136,3.0
-5098.816434561996,3.0
-16139.686901748268,1.0
-7755.282672002699,3.0
-5407.08598283951,3.0
-4648.452389895047,4.0
-520.2555182121823,3.0
-19495.373864824534,2.0
-4733.99346998361,3.0
-5677.709380763718,2.0
-5579.931288879409,3.0
-21197.190502766305,2.0
-14020.929154737749,3.0
-12981.516844003236,4.0
-2648.987215829232,3.0
-16753.22068041909,3.0
-8524.629155095867,4.0
-5975.722087964356,1.0
-9125.532586995547,4.0
-7619.046303009428,4.0
-2855.586163825934,4.0
-3025.8097797928276,4.0
-2497.1665053223387,4.0
-7184.193202091382,3.0
-2807.523195563472,2.0
-3080.209531283679,4.0
-5494.654000863124,2.0
-1819.1616023078786,2.0
-13599.512198976117,4.0
-4661.803029523228,2.0
-4762.071432685161,3.0
-5145.8303435802845,3.0
-21717.09240546481,1.0
-3919.964005010719,4.0
-4024.195172315309,1.0
-2932.832439347376,1.0
-4971.014798354618,3.0
-2767.8809390932056,3.0
-5493.866697337418,4.0
-3395.332213811672,1.0
-2909.1529854074083,4.0
-9920.038541856886,1.0
