upper,effects,lower,ate,ate_upper,ate_lower,z_values
-1.7091706681099939,-2.1933874095080435,-2.677604150906093,-1.8346904599332081,-1.4370303920506096,-2.2323505278158065,30.0
-1.6968330333163566,-2.2440237332955792,-2.791214433274802,-1.8346904599332081,-1.4370303920506096,-2.2323505278158065,31.0
-1.6458989638876194,-2.134767704537801,-2.623636445187983,-1.8346904599332081,-1.4370303920506096,-2.2323505278158065,32.0
-1.607113107432124,-2.1032377768537662,-2.5993624462754084,-1.8346904599332081,-1.4370303920506096,-2.2323505278158065,33.0
-1.614810759922643,-2.0789408363138673,-2.5430709127050917,-1.8346904599332081,-1.4370303920506096,-2.2323505278158065,34.0
-1.6260259291355246,-2.0694775173348665,-2.5129291055342087,-1.8346904599332081,-1.4370303920506096,-2.2323505278158065,35.0
-1.459050187967904,-1.9018229574876648,-2.3445957270074254,-1.8346904599332081,-1.4370303920506096,-2.2323505278158065,36.0
-1.4429428071306767,-1.8775792186860683,-2.31221563024146,-1.8346904599332081,-1.4370303920506096,-2.2323505278158065,37.0
-1.5110382990619664,-1.9450418000722098,-2.3790453010824533,-1.8346904599332081,-1.4370303920506096,-2.2323505278158065,38.0
-1.3675120074364533,-1.7809098893786974,-2.1943077713209416,-1.8346904599332081,-1.4370303920506096,-2.2323505278158065,39.0
-1.4043646837314678,-1.8074619872550302,-2.2105592907785927,-1.8346904599332081,-1.4370303920506096,-2.2323505278158065,40.0
-1.401062601154028,-1.7948937177620359,-2.188724834370044,-1.8346904599332081,-1.4370303920506096,-2.2323505278158065,41.0
-1.3478533110866986,-1.7437512040318135,-2.139649096976928,-1.8346904599332081,-1.4370303920506096,-2.2323505278158065,42.0
-1.352040729328122,-1.7356229349867296,-2.119205140645337,-1.8346904599332081,-1.4370303920506096,-2.2323505278158065,43.0
-1.3520612974020594,-1.7509747243188474,-2.1498881512356354,-1.8346904599332081,-1.4370303920506096,-2.2323505278158065,44.0
-1.3126421689345567,-1.700865224879979,-2.0890882808254014,-1.8346904599332081,-1.4370303920506096,-2.2323505278158065,45.0
-1.2186188168946723,-1.6135447869619604,-2.008470757029248,-1.8346904599332081,-1.4370303920506096,-2.2323505278158065,46.0
-1.2178754931830142,-1.602049913488104,-1.986224333793194,-1.8346904599332081,-1.4370303920506096,-2.2323505278158065,47.0
-1.1598688407584576,-1.545239494178383,-1.9306101475983082,-1.8346904599332081,-1.4370303920506096,-2.2323505278158065,48.0
-1.1892581433998979,-1.5709857802914136,-1.9527134171829292,-1.8346904599332081,-1.4370303920506096,-2.2323505278158065,49.0
-1.210117395143213,-1.5841734133253103,-1.9582294315074076,-1.8346904599332081,-1.4370303920506096,-2.2323505278158065,50.0
