upper,effects,lower,ate,ate_upper,ate_lower,z_values
-7650.4188252497,-9742.717287322075,-11835.01574939445,-7232.653719973279,-5615.921863886084,-8849.385576060475,30.0
-7146.776876225996,-9045.119966827193,-10943.463057428391,-7232.653719973279,-5615.921863886084,-8849.385576060475,31.0
-7124.900397567968,-9181.371502021231,-11237.842606474494,-7232.653719973279,-5615.921863886084,-8849.385576060475,32.0
-7003.0754507497895,-8960.187698324698,-10917.299945899607,-7232.653719973279,-5615.921863886084,-8849.385576060475,33.0
-7477.004249154886,-9602.415333848823,-11727.826418542762,-7232.653719973279,-5615.921863886084,-8849.385576060475,34.0
-7019.901424789969,-8902.930224458958,-10785.959024127947,-7232.653719973279,-5615.921863886084,-8849.385576060475,35.0
-6305.8451616164975,-8071.111760244115,-9836.378358871732,-7232.653719973279,-5615.921863886084,-8849.385576060475,36.0
-5860.387279087869,-7593.79581373738,-9327.204348386891,-7232.653719973279,-5615.921863886084,-8849.385576060475,37.0
-6306.777764544814,-8063.8244032306875,-9820.871041916562,-7232.653719973279,-5615.921863886084,-8849.385576060475,38.0
-5162.249012025883,-6793.496578832162,-8424.744145638442,-7232.653719973279,-5615.921863886084,-8849.385576060475,39.0
-4842.5844382169,-6364.491675691237,-7886.398913165574,-7232.653719973279,-5615.921863886084,-8849.385576060475,40.0
-4780.955121082067,-6400.134777821808,-8019.314434561548,-7232.653719973279,-5615.921863886084,-8849.385576060475,41.0
-5489.553873787478,-7217.77878628108,-8946.003698774683,-7232.653719973279,-5615.921863886084,-8849.385576060475,42.0
-5146.874017793091,-6802.042097066562,-8457.210176340031,-7232.653719973279,-5615.921863886084,-8849.385576060475,43.0
-4656.844916738079,-6157.569420883186,-7658.2939250282925,-7232.653719973279,-5615.921863886084,-8849.385576060475,44.0
-4486.316801730933,-6018.61167417742,-7550.906546623908,-7232.653719973279,-5615.921863886084,-8849.385576060475,45.0
-3731.3444128251854,-5314.492609382066,-6897.640805938947,-7232.653719973279,-5615.921863886084,-8849.385576060475,46.0
-3866.6895487864394,-5649.698424378034,-7432.707299969629,-7232.653719973279,-5615.921863886084,-8849.385576060475,47.0
-4360.757188014351,-6003.570804185867,-7646.384420357383,-7232.653719973279,-5615.921863886084,-8849.385576060475,48.0
-4062.4970116438653,-5721.387857486778,-7380.27870332969,-7232.653719973279,-5615.921863886084,-8849.385576060475,49.0
-4173.991725375975,-5911.132246117935,-7648.2727668598955,-7232.653719973279,-5615.921863886084,-8849.385576060475,50.0
