Covariate      Mean (NaN)     Mean (No NaN)  |Std (NaN)      Std (No NaN)   
---------------------------------------------|------------------------------
AGE            40.2199        40.1888        |6.0517         6.0133         
SEX            1.5873         1.5839         |0.4923         0.4930         
SCHOOL         10.4545        10.4398        |1.3361         1.3408         
VOC_DEG        1.0478         1.0353         |0.6164         0.6206         
NATION         1.6115         1.5904         |1.1354         1.1161         
REGION         42.9577        43.2448        |24.5241        24.2933        
REG_AL         11.5200        11.4909        |4.3428         4.3127         
REG_SER        48.8958        48.9140        |9.5857         9.8028         
REG_PRO        30.7580        30.6218        |7.7343         7.7312         
REG_AGRI       18.3873        18.2939        |11.3641        11.8114        
SECT_AL        11.4127        11.4329        |3.7809         3.7403         
PROF_AL        11.3579        11.4304        |4.3046         4.3058         
UNEM_X0        12.0796        12.0576        |6.9378         6.9698         
OLF_X0         38.6254        38.6913        |20.0433        19.8447        
EMPL_X0        69.2264        69.2512        |21.2826        20.9092        
EARN_X0        3932.2965      3938.8306      |1547.9251      1562.2812      
EMPLX1_1       1.1202         1.1233         |0.4108         0.4179         
EMPLX1_2       1.3034         1.3017         |0.5505         0.5518         
EMPLX1_3       1.4878         1.4861         |0.5861         0.5915         
EMPLX1_4       1.6539         1.6659         |0.5541         0.5544         
EMPLX2_1       1.7907         1.7973         |0.4753         0.4838         
EMPLX2_2       1.8737         1.8767         |0.3842         0.3821         
EMPLX2_3       1.9271         1.9283         |0.3008         0.2919         
EMPLX2_4       1.9665         1.9685         |0.2068         0.2014         
EARNX1         2185.4978      2199.4711      |1493.6966      1497.5452      
EARNX2         455.2936       438.7576       |808.8646       786.8700       
LMP_CW         2.7359         2.7250         |1.1327         1.1288         
