Variable       PTYPE 0             PTYPE 1             PTYPE 2             
---------------------------------------------------------------------------
MEANS:         
PERS           49070.3566          50039.4429          49640.4355          
AGE            40.5678             40.8728             37.9551             
SEX            1.5972              1.5943              1.5264              
SCHOOL         10.5432             10.3201             10.3076             
VOC_DEG        1.1492              0.9491              0.8193              
NATION         1.5817              1.6036              1.5957              
REGION         43.1954             43.0167             43.7021             
REG_AL         11.5545             11.4110             11.4122             
REG_PRG        6.8027              6.8729              6.8536              
REG_SER        49.6440             49.4862             50.4071             
REG_PRO        31.0740             31.2751             31.0983             
REG_AGRI       19.2820             19.2387             18.4946             
SECT_AL        11.3772             11.4398             11.6007             
PROF_AL        11.3192             11.2546             12.0455             
SPECIA_CW      0.0892              0.0645              0.1924              
SHP_CW_1       25.2012             25.9674             26.6595             
SHP_CW_2       25.1032             25.3273             25.5298             
SHP_CW_3       25.0052             24.6873             24.4001             
SHP_CW_4       24.6905             24.0180             23.4105             
UNEM_X0        12.0923             11.9739             12.0801             
OLF_X0         38.7749             39.1067             37.7773             
EMPL_X0        69.1328             68.9194             70.1426             
EARN_X0        3955.3648           3898.8845           3952.6916           
EMPLX1_1       1.1315              1.1160              1.1094              
EMPLX1_2       1.3165              1.2934              1.2676              
EMPLX1_3       1.5021              1.5000              1.4131              
EMPLX1_4       1.6788              1.6799              1.6025              
EMPLX2_1       1.8138              1.7965              1.7471              
EMPLX2_2       1.8938              1.8586              1.8525              
EMPLX2_3       1.9406              1.9175              1.9072              
EMPLX2_4       1.9693              1.9708              1.9619              
EMPLX3_1       2.0000              2.0000              2.0000              
EMPLX3_2       1.8154              2.0000              2.0000              
EMPLX3_3       1.6889              2.0000              2.0000              
EMPLX3_4       1.5934              2.0267              2.0000              
EMPLX4_1       1.5419              2.0850              2.0000              
EMPLX4_2       1.4989              1.9628              2.0000              
EMPLX4_3       1.4720              1.8182              2.0000              
EMPLX4_4       1.4505              1.6303              2.0000              
EMPLX5_1       1.4316              1.4038              2.0000              
EMPLX5_2       1.4293              1.3567              2.0000              
EMPLX5_3       1.4316              1.2965              2.0088              
EMPLX5_4       1.4183              1.2661              2.0107              
EMPLX6_1       1.4123              1.2562              1.9834              
EMPLX6_2       1.4126              1.2277              1.9541              
EMPLX6_3       1.4195              1.2035              1.9082              
EMPLX6_4       1.4211              1.1954              1.8857              
EMPLX7_1       1.4145              1.1867              1.8555              
EMPLX7_2       1.4059              1.1793              1.8203              
EMPLX7_3       1.3984              1.1644              1.7881              
EMPLX7_4       1.3990              1.1725              1.7197              
EMPLX8_1       1.4031              1.1818              1.6846              
EMPLX8_2       1.4066              1.1743              1.6328              
EMPLX8_3       1.4151              1.1700              1.5811              
EMPLX8_4       1.4293              1.1507              1.5312              
EMPLX9_1       1.4012              1.1725              1.4971              
EMPLX9_2       1.4009              1.1663              1.4277              
EMPLX9_3       1.4003              1.1613              1.3623              
EMPLX9_4       1.4154              1.1737              1.3447              
EARNX1_1       2347.1556           2337.7295           2380.5467           
EARNX1_2       2657.5931           2690.9881           2816.9622           
EARNX1_3       2219.4184           2176.7553           2500.3988           
EARNX1_4       1453.8123           1430.5105           1737.6192           
EARNX2_1       839.0940            890.7989            1088.7451           
EARNX2_2       434.7284            536.9495            570.2282            
EARNX2_3       225.6620            296.9890            330.7953            
EARNX2_4       100.5176            103.7568            131.9030            
EARNX3_1       0.0000              0.0000              0.0000              
EARNX3_2       2571.1057           0.0000              0.0000              
EARNX3_3       3598.5236           0.0000              0.0000              
EARNX3_4       4010.2072           104.2961            0.0000              
EARNX4_1       4177.6638           216.4814            0.0000              
EARNX4_2       4240.3739           868.5479            0.0000              
EARNX4_3       4272.7251           1720.7359           0.0000              
EARNX4_4       4283.0177           2496.5201           0.0000              
EARNX5_1       4290.6172           3346.6872           0.0000              
EARNX5_2       4288.5758           3587.7625           0.0000              
EARNX5_3       4288.0874           3843.3657           39.3858             
EARNX5_4       4292.7286           4025.1081           68.0657             
EARNX6_1       4292.5003           4091.1174           300.8423            
EARNX6_2       4287.7644           4247.2668           481.6610            
EARNX6_3       4289.2497           4405.1220           749.5785            
EARNX6_4       4288.4724           4437.9870           890.7373            
EARNX7_1       4288.3691           4560.1624           1173.0177           
EARNX7_2       4285.9541           4609.9366           1358.6631           
EARNX7_3       4289.8822           4708.8795           1640.0258           
EARNX7_4       4286.3036           4753.0510           1966.5706           
EARNX8_1       4291.6882           4773.2473           2274.1351           
EARNX8_2       4289.0212           4899.8818           2597.3394           
EARNX8_3       4287.1413           4935.9667           2934.4753           
EARNX8_4       4289.2518           5061.3429           3307.8752           
EARNX9_1       4290.0973           5054.9215           3601.0258           
EARNX9_2       4284.2022           5134.6355           4061.1753           
EARNX9_3       4287.0272           5195.7356           4483.1493           
EARNX9_4       4291.5666           5173.2342           4769.0924           
LMP_CW         2.8283              2.7922              2.3008              
PTYPE          0.0000              1.0000              2.0000              
DURAT          0.0000              4.5254              18.4678             
PROF_XL        0.0000              5.1732              9.5382              
EARNX1         2169.4949           2158.9958           2358.8817           
EARNX2         400.0005            457.1236            530.4179            

STD DEVIATIONS:
PERS           28832.4235          29082.9485          28924.2818          
AGE            6.0935              5.9014              5.3947              
SEX            0.4905              0.4912              0.4995              
SCHOOL         1.3977              1.3091              1.1749              
VOC_DEG        0.6634              0.6041              0.3849              
NATION         1.1182              1.1219              1.1012              
REGION         24.4050             24.4518             23.6987             
REG_AL         4.3022              4.2530              4.4371              
REG_PRG        1.7156              1.7134              1.7493              
REG_SER        5.9554              5.9919              5.8755              
REG_PRO        5.6801              5.7116              5.5349              
REG_AGRI       8.9156              8.9594              8.8279              
SECT_AL        3.7734              3.7032              3.6945              
PROF_AL        4.3115              4.3622              4.1477              
SPECIA_CW      0.2850              0.2457              0.3944              
SHP_CW_1       8.1803              7.7360              7.2568              
SHP_CW_2       2.3932              2.2632              2.1230              
SHP_CW_3       3.3940              3.2096              3.0108              
SHP_CW_4       7.1796              6.7896              6.3690              
UNEM_X0        6.9817              7.0121              6.8756              
OLF_X0         19.6954             20.3064             19.5546             
EMPL_X0        20.8294             21.3817             20.3992             
EARN_X0        1688.0319           1511.8734           1191.6590           
EMPLX1_1       0.4332              0.4027              0.3927              
EMPLX1_2       0.5607              0.5414              0.5367              
EMPLX1_3       0.5948              0.5912              0.5750              
EMPLX1_4       0.5474              0.5565              0.5673              
EMPLX2_1       0.4723              0.4890              0.5075              
EMPLX2_2       0.3646              0.4046              0.3964              
EMPLX2_3       0.2748              0.3132              0.3066              
EMPLX2_4       0.1932              0.2079              0.2155              
EMPLX3_1       0.0000              0.0000              0.0000              
EMPLX3_2       0.4535              0.0000              0.0000              
EMPLX3_3       0.5651              0.0000              0.0000              
EMPLX3_4       0.6018              0.2728              0.0000              
EMPLX4_1       0.6285              0.4238              0.0000              
EMPLX4_2       0.6429              0.5767              0.0000              
EMPLX4_3       0.6501              0.7098              0.0000              
EMPLX4_4       0.6575              0.7296              0.0000              
EMPLX5_1       0.6573              0.6488              0.0000              
EMPLX5_2       0.6609              0.6322              0.0000              
EMPLX5_3       0.6734              0.5844              0.1561              
EMPLX5_4       0.6724              0.5620              0.1950              
EMPLX6_1       0.6693              0.5477              0.3106              
EMPLX6_2       0.6712              0.5258              0.3604              
EMPLX6_3       0.6763              0.5077              0.4234              
EMPLX6_4       0.6779              0.4853              0.4462              
EMPLX7_1       0.6771              0.4913              0.5067              
EMPLX7_2       0.6736              0.4709              0.5240              
EMPLX7_3       0.6659              0.4522              0.5619              
EMPLX7_4       0.6612              0.4608              0.5684              
EMPLX8_1       0.6675              0.4726              0.5941              
EMPLX8_2       0.6713              0.4805              0.6030              
EMPLX8_3       0.6734              0.4671              0.6105              
EMPLX8_4       0.6797              0.4389              0.6245              
EMPLX9_1       0.6649              0.4675              0.6331              
EMPLX9_2       0.6615              0.4617              0.6320              
EMPLX9_3       0.6585              0.4526              0.6099              
EMPLX9_4       0.6730              0.4670              0.6216              
EARNX1_1       1234.9346           1137.8905           987.2816            
EARNX1_2       2022.1959           1919.9644           1732.2023           
EARNX1_3       2336.7006           2245.0321           2108.1554           
EARNX1_4       2180.5292           2104.4377           2123.4036           
EARNX2_1       1758.5015           1763.5870           1860.1938           
EARNX2_2       1276.1487           1361.9625           1393.9259           
EARNX2_3       917.9336            1015.4003           1071.4128           
EARNX2_4       592.0026            604.6262            657.6458            
EARNX3_1       0.0000              0.0000              0.0000              
EARNX3_2       1021.3504           0.0000              0.0000              
EARNX3_3       1425.1845           0.0000              0.0000              
EARNX3_4       1585.5380           690.5484            0.0000              
EARNX4_1       1652.9464           990.1538            0.0000              
EARNX4_2       1673.7703           1936.1428           0.0000              
EARNX4_3       1684.3886           2480.6504           0.0000              
EARNX4_4       1688.1060           2653.7440           0.0000              
EARNX5_1       1691.8454           2618.6301           0.0000              
EARNX5_2       1696.0393           2581.4048           0.0000              
EARNX5_3       1692.6274           2516.7450           457.6263            
EARNX5_4       1690.0504           2491.1840           605.3669            
EARNX6_1       1696.8011           2508.2600           1259.0636           
EARNX6_2       1691.4925           2452.6571           1580.6822           
EARNX6_3       1693.3327           2408.3852           1913.5469           
EARNX6_4       1693.7554           2430.5103           2073.6290           
EARNX7_1       1691.0067           2404.6541           2327.1706           
EARNX7_2       1693.1591           2429.7660           2469.3810           
EARNX7_3       1694.3870           2414.2494           2666.8575           
EARNX7_4       1694.5046           2472.2267           2825.6551           
EARNX8_1       1692.6017           2526.0721           2983.6529           
EARNX8_2       1694.2263           2482.9628           3082.5062           
EARNX8_3       1693.9905           2508.7439           3159.5973           
EARNX8_4       1695.1918           2486.7407           3209.3252           
EARNX9_1       1691.8479           2596.1481           3237.8057           
EARNX9_2       1689.8893           2594.4961           3186.5174           
EARNX9_3       1691.4556           2625.4013           3125.8454           
EARNX9_4       1690.6131           2679.8213           3125.2722           
LMP_CW         1.1137              1.1034              1.1174              
PTYPE          0.0000              0.0000              0.0000              
DURAT          0.0000              1.1019              5.2286              
PROF_XL        0.0000              2.6798              6.2505              
EARNX1         1554.8444           1461.3730           1357.8026           
EARNX2         759.9262            800.4339            838.1747            
