upper,effects,lower,ate,ate_l,ate_u
-32529.984913681743,-41438.37668105657,-50346.7684484314,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32529.984913681743,-41438.37668105657,-50346.7684484314,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32529.984913681743,-41438.37668105657,-50346.7684484314,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32529.984913681743,-41438.37668105657,-50346.7684484314,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32529.984913681743,-41438.37668105657,-50346.7684484314,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32529.984913681743,-41438.37668105657,-50346.7684484314,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32529.984913681743,-41438.37668105657,-50346.7684484314,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32529.984913681743,-41438.37668105657,-50346.7684484314,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32529.984913681743,-41438.37668105657,-50346.7684484314,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32529.984913681743,-41438.37668105657,-50346.7684484314,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32529.984913681743,-41438.37668105657,-50346.7684484314,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32529.984913681743,-41438.37668105657,-50346.7684484314,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32529.984913681743,-41438.37668105657,-50346.7684484314,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32529.984913681743,-41438.37668105657,-50346.7684484314,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32529.984913681743,-41438.37668105657,-50346.7684484314,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32529.984913681743,-41438.37668105657,-50346.7684484314,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32529.984913681743,-41438.37668105657,-50346.7684484314,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32529.984913681743,-41438.37668105657,-50346.7684484314,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32529.984913681743,-41438.37668105657,-50346.7684484314,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32529.984913681743,-41438.37668105657,-50346.7684484314,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32529.984913681743,-41438.37668105657,-50346.7684484314,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32529.984913681743,-41438.37668105657,-50346.7684484314,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32529.984913681743,-41438.37668105657,-50346.7684484314,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32529.984913681743,-41438.37668105657,-50346.7684484314,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32529.984913681743,-41438.37668105657,-50346.7684484314,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32529.984913681743,-41438.37668105657,-50346.7684484314,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32529.984913681743,-41438.37668105657,-50346.7684484314,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32529.984913681743,-41438.37668105657,-50346.7684484314,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32529.984913681743,-41438.37668105657,-50346.7684484314,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32529.984913681743,-41438.37668105657,-50346.7684484314,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32529.984913681743,-41438.37668105657,-50346.7684484314,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32529.984913681743,-41438.37668105657,-50346.7684484314,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32529.984913681743,-41438.37668105657,-50346.7684484314,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32529.984913681743,-41438.37668105657,-50346.7684484314,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32529.984913681743,-41438.37668105657,-50346.7684484314,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32529.984913681743,-41438.37668105657,-50346.7684484314,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32529.984913681743,-41438.37668105657,-50346.7684484314,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32529.984913681743,-41438.37668105657,-50346.7684484314,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32529.984913681743,-41438.37668105657,-50346.7684484314,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32529.984913681743,-41438.37668105657,-50346.7684484314,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32529.984913681743,-41438.37668105657,-50346.7684484314,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32529.984913681743,-41438.37668105657,-50346.7684484314,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32529.984913681743,-41438.37668105657,-50346.7684484314,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32529.984913681743,-41438.37668105657,-50346.7684484314,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32529.984913681743,-41438.37668105657,-50346.7684484314,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32529.984913681743,-41438.37668105657,-50346.7684484314,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32529.984913681743,-41438.37668105657,-50346.7684484314,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32529.984913681743,-41438.37668105657,-50346.7684484314,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32508.78266359265,-41387.85679765458,-50266.93093171652,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32462.27875020523,-41338.01256251276,-50213.74637482029,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32425.976824109734,-41288.462549693526,-50150.94827527732,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32397.747650453704,-41238.81118649371,-50079.874722533714,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32361.20237329065,-41190.07197945082,-50018.941585610984,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32331.34807683909,-41142.9523477874,-49954.55661873572,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32292.726622660783,-41099.907543236804,-49907.08846381283,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32265.09673748062,-41057.280953575035,-49849.46516966945,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32221.223952259825,-41015.274070308595,-49809.324188357365,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32189.79404526161,-40976.26222436298,-49762.73040346435,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32180.939558952155,-40937.61110378582,-49694.28264861948,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32140.132246255274,-40899.33961066865,-49658.54697508202,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32118.41043797329,-40861.85643783597,-49605.30243769866,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32112.16975336948,-40824.57260461985,-49536.97545587021,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32103.768562692945,-40791.40521313454,-49479.04186357613,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32081.329261469564,-40759.427930911814,-49437.52660035406,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32049.29032070076,-40727.43726886616,-49405.58421703156,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32034.493860346436,-40695.52267904025,-49356.551497734064,-27914.231731401036,-25946.026365519847,-29882.437097282225
