empl_chge_lc2vs0_iate,unem_x0
-1.9376496207548197,23.0
-2.238960356800459,16.0
-1.8585970665202245,4.0
-1.410617367783847,8.0
-1.3836025531647245,22.0
-2.052424475709446,20.0
-2.065700065711724,2.0
-2.0620953962890276,20.0
-1.8259478400722136,22.0
-2.0366692107262065,13.0
-1.1314351738716761,11.0
-2.0293050506635963,21.0
-1.8413723261506325,7.0
-2.0074398579806503,15.0
-2.4153632431323193,23.0
-1.5658822012922855,14.0
-2.4325452666157776,7.0
-1.6502813734014006,19.0
-1.6797697940982528,14.0
-1.0406366745532112,12.0
-1.1145505971045704,22.0
-2.262544255721852,24.0
-1.554666642353807,16.0
-1.376268746056748,22.0
-1.8113572275301342,13.0
-1.581501086672156,23.0
-0.6408259925741845,2.0
-1.3374769793853838,23.0
-2.237900305453701,21.0
-1.2825541338960904,2.0
-2.0348101491532136,3.0
-1.6459665259415144,12.0
-2.121881014624725,23.0
-1.6808991920914487,10.0
-2.061767815162848,23.0
-1.6117188850588486,9.0
-1.8737097584909477,2.0
-1.5959364354087606,5.0
-0.8507978145837756,7.0
-1.9135449977946033,23.0
-1.9129149557318414,7.0
-1.7106883914395463,10.0
-1.8468575616695153,19.0
-1.9945782009518185,12.0
-1.0251735052807986,19.0
-1.7672017184575124,3.0
-1.1519851152125784,12.0
-1.7408799977510574,4.0
-2.253994033450608,16.0
-1.3687491155658338,10.0
-2.277920524900105,13.0
-1.0191933357095952,21.0
-1.450149391332401,18.0
-1.5643637043905876,2.0
-0.8405310189723075,3.0
-2.1706116044989394,20.0
-1.3329324771486222,24.0
-2.204664209712405,20.0
-1.9286433938952237,1.0
-1.5000179160083675,21.0
-1.5308085697942326,13.0
-2.333426190305067,19.0
-1.5782936100076532,14.0
-1.8451354636893933,17.0
-1.605040105173947,1.0
-1.9148739783014328,22.0
-1.2893269968006988,8.0
-2.2047242125017923,8.0
-2.4001684279765207,4.0
-1.6525794664768756,10.0
-1.1502744492133226,6.0
-1.4922317990635463,23.0
-1.7457575394127933,1.0
-1.1128527948353741,18.0
-1.505255386022944,14.0
-1.7344016022005901,8.0
-2.0645279200216593,19.0
-1.7889196800039517,16.0
-1.5461513043231399,19.0
-1.0448444891495237,2.0
-1.6617126529447623,10.0
-1.6259150177996613,0.0
-2.04978471516278,16.0
-2.0047233898024794,2.0
-2.219585469838362,23.0
-2.16420707599502,12.0
-1.742638396890885,20.0
-1.4385835911093787,5.0
-0.7298880763773091,14.0
-1.678977303408725,2.0
-1.089430794211483,14.0
-1.6414300397571653,12.0
-1.5393671461219818,11.0
-2.1803461627265506,20.0
-2.1089497168040863,10.0
-1.2937821012776523,13.0
-1.9707171130389955,17.0
-1.6389660156096832,7.0
-2.441161982225367,10.0
-1.8741834074541075,2.0
-1.7604017152773368,17.0
-1.487061793881637,2.0
-1.315100976504008,9.0
-2.176721304054731,12.0
-2.3541551141476065,12.0
-1.8374290723290063,13.0
-1.3276992324464099,12.0
-1.935837810233064,13.0
-1.308546189569201,12.0
-1.670104198419995,22.0
-1.8172095337994303,11.0
-1.4048415956334352,18.0
-1.2985644387148743,9.0
-1.1254947783305786,19.0
-1.4016071805600592,17.0
-1.6849309972104758,11.0
-2.0461293994498075,12.0
-2.3223642530685984,10.0
-2.2864147775630648,23.0
-1.3198082534957796,10.0
-2.175512309804013,21.0
-1.6855350235815485,14.0
-1.1687730093280762,10.0
-1.600917712233831,11.0
-0.6740999873372097,2.0
-2.1224108430406323,23.0
-1.5950626409736577,10.0
-1.8491707399835717,20.0
-1.8032842748106002,4.0
-1.9606396147999061,18.0
-2.3470247542158513,10.0
-1.0562025527246706,21.0
-1.80833998821999,18.0
-2.0549045387552587,11.0
-2.2058895231927407,12.0
-1.4816375984912267,3.0
-1.8567057105570743,14.0
-1.6426403709889308,20.0
-1.0296501922432753,15.0
-1.7174990119601203,23.0
-1.4757238249945743,17.0
-2.095927679456805,11.0
-0.9356814736135391,4.0
-2.0859558595460315,24.0
-1.559803850116122,2.0
-1.6696151270953825,3.0
-0.9856310988224151,23.0
-0.9148640448776186,7.0
-1.1547727778743195,21.0
-2.29965041896707,1.0
-1.5040194723715539,19.0
-1.7240616956269588,20.0
-2.2090395462215318,19.0
-1.0375135572217302,15.0
-2.0434889759863815,13.0
-2.026511726216121,14.0
-2.118068596382268,10.0
-1.6673339420335545,17.0
-1.7566818500547565,15.0
-2.4311432188337587,22.0
-1.497231338810331,1.0
-1.8870456467195205,18.0
-1.898541245674249,8.0
-1.3664745446854516,19.0
-2.180695770249561,20.0
-1.4420543363720482,13.0
-2.044941096883483,6.0
-0.9710975424192096,17.0
-1.7300564215420606,8.0
-2.399414601819295,14.0
-1.6481971918517442,20.0
-2.1711502292712517,7.0
-1.3851007125475934,6.0
-1.4293665704069922,18.0
-1.9368628890618593,7.0
-2.258396529302789,14.0
-1.6215575419848698,17.0
-1.792991439224768,15.0
-1.133944704924943,21.0
-1.404653641085209,23.0
-1.6888101892215868,6.0
-1.6147213260125803,20.0
-2.197626932236674,0.0
-1.9274823540044317,14.0
-2.4848864318212844,17.0
-1.0681081596743378,21.0
-1.7626438393296842,15.0
-1.8523698177961272,14.0
-1.7575616629497055,0.0
-1.051978477876285,19.0
-1.152170137851724,12.0
-1.7720407785398127,3.0
-1.5384216543876306,23.0
-1.2878816073757784,16.0
-2.2452916738281172,0.0
-1.3416465925525896,15.0
-1.7992142791571561,21.0
-2.208180835016699,24.0
-1.407681047650857,20.0
-2.4388342042703686,1.0
-1.328526163097933,24.0
-1.337915096391378,21.0
-1.0421314650148399,16.0
-1.983178207823149,22.0
-1.41421386150893,23.0
-1.578513004844013,19.0
-1.8300238514574232,22.0
-1.576738185127006,23.0
-1.9691144953897095,15.0
-1.2899237658416867,22.0
-1.317590999692997,0.0
-1.566959766438813,8.0
-0.9455299875648704,13.0
-1.9853835410787348,20.0
-1.5995684347921832,21.0
-1.504506868351506,17.0
-1.9383322910159941,15.0
-1.8140648899219287,16.0
-1.3723136365978523,7.0
-1.125681043080124,5.0
-2.5072364626251837,17.0
-1.8141304412089756,10.0
-2.2155698304198475,12.0
-1.1313372780952025,5.0
-1.8219459360657928,0.0
-0.8743084641580783,19.0
-1.1097844588850756,6.0
-1.4049834785478785,20.0
-2.1357445523958107,3.0
-1.9143059469238488,23.0
-2.2520888305132387,9.0
-2.0582896000044637,11.0
-1.5452550610407552,12.0
-2.084339649262578,23.0
-1.953716148638056,20.0
-1.7208700033337587,18.0
-1.5948379445221654,23.0
-1.823322310846123,6.0
-1.48969323829673,6.0
-1.5593816334911095,15.0
-0.8222725955311995,14.0
-1.5373266942557104,22.0
-1.8117932607767862,20.0
-2.1769113696148743,11.0
-2.0035157558624452,24.0
-1.956279375506804,17.0
-0.8870303872140639,16.0
-1.7182698368269436,16.0
-0.7417703967477062,9.0
-0.8848271808591212,1.0
-2.1681964287747286,22.0
-2.061211155075579,23.0
-1.9180653723408838,5.0
-1.3230586348255433,23.0
-1.0818061223938433,19.0
-1.2448635574441114,18.0
-1.461898997913041,18.0
-2.236557954301725,10.0
-0.8461102562889479,4.0
-1.625992571699166,21.0
-1.2498901563567077,9.0
-1.0543377224028578,13.0
-1.5540798343881348,10.0
-1.8751731572747596,19.0
-1.5076750282245464,23.0
-1.7493270150015245,9.0
-1.798203512319212,9.0
-2.1485629296296356,5.0
-1.9517551419163701,16.0
-1.6803437254927505,15.0
-1.271962102661564,2.0
-1.801455733815789,19.0
-1.9677872063483273,15.0
-1.8286689873193023,5.0
-1.6616829963679711,23.0
-1.5381961268118574,17.0
-1.7702299834849917,6.0
-1.257721743424815,14.0
-1.693611108975392,5.0
-1.7311972017513015,24.0
-2.2854163860647634,23.0
-1.3087740736836317,15.0
-2.288401507186695,17.0
-0.6319547708096833,14.0
-1.5821847443847392,7.0
-1.5997430319143224,12.0
-1.1661948977896084,2.0
-1.4768508195566437,18.0
-1.9606640214322026,7.0
-1.7771561772958875,19.0
-1.8092187072542476,11.0
-1.2504815588118883,2.0
-1.7305969769768703,13.0
-2.2351223988511206,4.0
-1.3997971464737131,18.0
-1.2111266801726537,8.0
-1.6142966456769798,5.0
-1.7972229473999266,20.0
-2.0846321582605016,22.0
-2.0571582672235316,17.0
-1.1214362760649677,3.0
-2.2436502127809783,20.0
-1.3284460590015548,4.0
-1.5262894941172158,15.0
-2.097583526483132,8.0
-1.5272157607440418,18.0
-0.48742176204449367,2.0
-1.6645889429825194,5.0
-2.100027234137924,14.0
-1.8378651213605859,24.0
-1.9392205420336088,9.0
-2.619765730615466,20.0
-1.178160750264434,23.0
-2.281078477939255,11.0
-1.8046709346153145,4.0
-1.2581767351019553,17.0
-1.317675521875963,15.0
-1.8589494748997428,24.0
-1.6614577025112698,11.0
-2.18268580730243,3.0
-2.0140806393532174,24.0
-1.9199304611560661,14.0
-1.1702365136004442,15.0
-2.1371421129021053,15.0
-2.019364000136243,6.0
-1.5549541820003687,12.0
-2.0534931625457755,16.0
-1.3078696362334254,15.0
-1.5787799485070357,18.0
-1.7849112011029604,6.0
-2.0288082808132835,14.0
-1.3386642415910792,11.0
-1.2163452421136833,4.0
-1.110631798307559,13.0
-2.2153102072075983,10.0
-2.335222558878168,17.0
-0.9698231923753136,6.0
-1.9719294928527256,21.0
-2.097880931736635,20.0
-1.4982849449382694,10.0
-1.6196513830723125,1.0
-1.7255416608025438,22.0
-1.4418657511342416,19.0
-1.625156795332189,22.0
-1.7224114157409676,8.0
-1.7026039238917328,19.0
-1.588253838844246,12.0
-1.7049518668052899,24.0
-1.2369931330635486,1.0
-1.812926286177524,11.0
-1.9544865624433572,17.0
-2.0506779387437475,10.0
-2.2456994165136166,17.0
-1.7298993637050004,2.0
-1.141960416190214,2.0
-2.169006477124101,20.0
-1.6104922638923613,7.0
-1.2914673334336686,12.0
-2.1688632315166534,17.0
-1.944114102833927,22.0
-1.8155238502012179,23.0
-1.3965757013329723,2.0
-1.5512448105431091,6.0
-1.6497447422028955,15.0
-2.3017282981386793,20.0
-1.916904434220311,12.0
-1.1660010783104724,11.0
-1.3918848843054326,18.0
-1.6172643429286873,14.0
-1.8788814295049432,2.0
-1.7107181971844871,14.0
-1.556522903647536,11.0
-1.429410371864238,6.0
-1.8185955989993134,18.0
-2.1073803171367826,20.0
-1.3260045235398332,5.0
-1.827342756402849,21.0
-1.6907272518918937,0.0
-1.0430286163754792,4.0
-2.105849601779431,15.0
-2.3110433127198267,12.0
-2.3382832969402303,15.0
-2.0788296610880757,5.0
-1.8860487184886048,7.0
-1.9481187812593415,14.0
-1.4450756383525478,21.0
-1.873006023333561,6.0
-2.0427685911501166,4.0
-1.8622321532167414,20.0
-1.3937163238023282,10.0
-0.8769530624377565,21.0
-1.6051986112037868,9.0
-1.2220023227562984,8.0
-0.95753141876078,7.0
-1.9894828106804738,8.0
-1.2637769197767574,1.0
-2.005527210222023,18.0
-1.9125325530458643,14.0
-0.901488525698528,19.0
-2.217110593689288,17.0
-1.6111171108283953,6.0
-1.8449707128952104,6.0
-2.2905592989061367,8.0
-1.6529813309001975,11.0
-1.6786015847546816,11.0
-2.460534759266828,14.0
-2.1303663808630238,4.0
-1.872507244286413,11.0
-1.8759726651608544,20.0
-2.198214076973768,21.0
-0.9280386423807049,2.0
-1.1709676862237393,1.0
-0.9522786987149987,19.0
-1.999125881982105,5.0
-1.7225649904165536,18.0
-1.9666288194429167,10.0
-1.5419634289918949,22.0
-1.9342082740676763,8.0
-2.182331170183868,10.0
-1.6745154906407085,10.0
-1.8618791003482382,10.0
-1.1990138398751138,1.0
-1.946900866961661,6.0
-1.8566125397772066,2.0
-2.2832719746377763,11.0
-2.302119366926383,2.0
-1.5235024444397418,17.0
-2.0700640620528326,5.0
-1.9232168702236379,5.0
-1.7635652632190235,6.0
-2.2095610395823284,4.0
-2.1083166712884758,14.0
-1.2296853562313346,5.0
-2.0324811572003063,20.0
-0.9938921628410214,18.0
-1.9137974995092635,9.0
-1.4910094760097627,22.0
-1.1738150935598517,15.0
-1.1944152488957447,18.0
-1.467572030244852,7.0
-1.4630332442639167,4.0
-1.4805742102650128,4.0
-1.645248373536307,17.0
-1.580779124192111,4.0
-1.6790205418846988,1.0
-2.322114755500572,21.0
-1.4970598263692054,2.0
-1.772472004057292,2.0
-1.2564364001035475,16.0
-1.7362150422308285,8.0
-1.9962901854421908,5.0
-2.180772553813939,3.0
-2.3684230880223676,16.0
-1.790013528310355,16.0
-2.2566207398555553,3.0
-1.9448013928932584,10.0
