empl_ttl_lc2vs0_iate,emplx2_3
-8.520648196382673,2.0
-9.036513960348046,2.0
-11.027773318354884,2.0
-10.848264449380427,2.0
-9.21650221798034,2.0
-10.240856190244775,2.0
-9.725046360586145,2.0
-9.938630770402966,2.0
-9.913164399056683,2.0
-10.384701992095362,2.0
-12.35703702519145,2.0
-10.206003305037905,2.0
-10.336910455060144,2.0
-10.084121869868143,2.0
-8.57793623589498,2.0
-9.189087976506789,2.0
-10.517601117325048,2.0
-11.851816466179356,2.0
-10.195639754351077,2.0
-11.859182022907174,1.0
-10.81232871119416,2.0
-9.660448430618596,2.0
-11.43371924959742,2.0
-9.931826079819142,2.0
-9.629763409224312,1.0
-9.30756712552746,2.0
-11.09519707280143,2.0
-10.193717574721898,2.0
-9.644149294128837,2.0
-12.197905925355364,2.0
-9.19903107632146,2.0
-9.709522015720562,2.0
-9.14993085073568,2.0
-10.246272495497909,2.0
-9.433105520454761,2.0
-11.694647948666105,2.0
-9.658495738053084,2.0
-11.272177264526704,2.0
-10.997258730813522,2.0
-9.896400354963323,2.0
-9.110285730342847,2.0
-9.195455312792545,2.0
-9.923578455317159,2.0
-10.166569676919792,2.0
-10.221938147931361,2.0
-9.645664771620027,2.0
-10.892739424930184,1.0
-8.889015773942447,2.0
-9.850789041142534,2.0
-9.849731472238828,2.0
-9.473503196280683,2.0
-10.899028343915301,2.0
-10.1746247162341,2.0
-10.200970269729648,2.0
-11.01270215324514,3.0
-8.91894469940708,2.0
-12.568795042857769,2.0
-9.4218358786568,2.0
-9.757775059995858,2.0
-10.1421925883794,2.0
-10.203073547533272,1.0
-10.384217787089623,2.0
-8.769977288930122,2.0
-10.119649571597561,2.0
-9.909160025655645,2.0
-10.252262104664542,2.0
-9.721356317654827,2.0
-9.461787390242426,2.0
-9.840602584946117,2.0
-9.509233593680545,2.0
-9.907832384522505,2.0
-12.035366856823707,2.0
-9.67219695674288,2.0
-9.702311541182748,2.0
-10.157645570391917,2.0
-10.354063568541932,1.0
-9.840356491401145,2.0
-10.789384180048387,2.0
-10.492377888830074,2.0
-12.92503242542784,2.0
-10.736164896877035,2.0
-10.3160545963501,2.0
-8.153613023544457,2.0
-10.055940317757285,2.0
-9.427374998052786,2.0
-10.121700859929309,2.0
-9.629959329284103,2.0
-12.370405682234214,2.0
-9.459626785566492,2.0
-9.753075045881447,2.0
-10.998309657816325,2.0
-10.5236644558253,2.0
-9.621047811319128,2.0
-9.448364762468906,2.0
-10.577199773266319,2.0
-11.960123499908063,2.0
-9.446066246066291,2.0
-10.57145580949983,2.0
-9.996614347794411,2.0
-9.443048800394221,2.0
-11.001752564168724,2.0
-10.668446763813105,2.0
-10.011057218589505,2.0
-8.428429536592514,2.0
-10.438100915285943,2.0
-11.030835377331124,2.0
-10.621612861922124,2.0
-9.728779524226058,2.0
-9.89604588781933,2.0
-12.560974413090882,2.0
-9.588746663009614,1.0
-10.080868281245316,2.0
-10.458322574945484,1.0
-11.760905447335789,2.0
-11.095523206858587,2.0
-9.017471192249786,2.0
-9.61967810906311,2.0
-8.888460249681081,2.0
-9.725023991346584,2.0
-9.223526953560905,2.0
-9.816592033588343,2.0
-10.168953910915132,3.0
-12.777593094882313,2.0
-10.946109751742318,2.0
-9.81864233063424,2.0
-9.20604145695558,2.0
-12.174833274821353,2.0
-8.727100680617012,2.0
-10.13833918351474,2.0
-9.876879346001232,2.0
-10.098750870818735,2.0
-11.482464156191416,2.0
-9.36664555807634,2.0
-8.882778296244648,2.0
-9.491075591425286,2.0
-9.773661529379572,2.0
-10.806979095629483,2.0
-11.502484371212766,2.0
-10.820756766692915,2.0
-9.36303577799761,2.0
-11.090329675143817,2.0
-10.566436276298457,2.0
-12.373428021172355,2.0
-9.828773552568743,2.0
-9.632346997587275,2.0
-9.99944994107756,1.0
-12.471106491651504,2.0
-10.229312508183632,2.0
-10.87864092859638,2.0
-9.02126843339164,1.0
-11.029485251422436,1.0
-9.397521856454375,2.0
-9.155591950998469,2.0
-11.023932103741574,1.0
-9.396471513935985,2.0
-9.205618277247035,2.0
-9.964954190713566,2.0
-10.716810416266659,2.0
-10.123332432491273,1.0
-9.200909757716554,2.0
-9.792386472748367,2.0
-10.269910985776223,2.0
-8.796766366474326,2.0
-10.18980652394047,2.0
-9.707114129850378,2.0
-9.811818881657667,2.0
-9.590029593766667,2.0
-12.163348331632665,2.0
-9.626638301955285,1.0
-10.275839982642612,2.0
-10.584206704675292,2.0
-9.92929785273191,1.0
-9.3801771920225,1.0
-10.792492469547005,2.0
-8.488964044793173,2.0
-9.929976957334661,2.0
-10.245445066130117,2.0
-9.710914159450242,2.0
-10.16837791285629,2.0
-10.846009148558688,1.0
-9.175507122345785,2.0
-11.084580025927547,2.0
-10.393545648955406,2.0
-8.906668990916799,2.0
-9.545397255610915,2.0
-11.350070919132278,2.0
-11.197821078092343,2.0
-9.78297510397784,1.0
-9.544021756433812,2.0
-11.638677212620133,2.0
-11.257170035861432,2.0
-10.916084727332322,1.0
-11.292630191892869,2.0
-10.996237073413829,2.0
-9.699770107359642,2.0
-9.826246106728401,2.0
-10.452878712385223,2.0
-9.708460969490758,2.0
-9.285266191947777,2.0
-9.319065296932298,2.0
-9.551053387718753,2.0
-10.131757011917648,2.0
-10.695010362797136,2.0
-9.29782372688057,2.0
-9.958603238914307,2.0
-10.981752971820377,2.0
