empl_ttl_lc2vs0_iate,lmp_cw
-8.520648196382673,3.0
-9.036513960348046,3.0
-11.027773318354884,2.0
-10.848264449380427,4.0
-9.21650221798034,3.0
-10.240856190244775,4.0
-9.725046360586145,3.0
-9.938630770402966,3.0
-9.913164399056683,4.0
-10.384701992095362,3.0
-12.35703702519145,2.0
-10.206003305037905,3.0
-10.336910455060144,3.0
-10.084121869868143,4.0
-8.57793623589498,4.0
-9.189087976506789,3.0
-10.517601117325048,2.0
-11.851816466179356,3.0
-10.195639754351077,1.0
-11.859182022907174,1.0
-10.81232871119416,1.0
-9.660448430618596,4.0
-11.43371924959742,4.0
-9.931826079819142,3.0
-9.629763409224312,4.0
-9.30756712552746,4.0
-11.09519707280143,3.0
-10.193717574721898,1.0
-9.644149294128837,4.0
-12.197905925355364,3.0
-9.19903107632146,3.0
-9.709522015720562,1.0
-9.14993085073568,1.0
-10.246272495497909,4.0
-9.433105520454761,2.0
-11.694647948666105,4.0
-9.658495738053084,3.0
-11.272177264526704,4.0
-10.997258730813522,2.0
-9.896400354963323,4.0
-9.110285730342847,4.0
-9.195455312792545,4.0
-9.923578455317159,3.0
-10.166569676919792,1.0
-10.221938147931361,3.0
-9.645664771620027,1.0
-10.892739424930184,1.0
-8.889015773942447,2.0
-9.850789041142534,4.0
-9.849731472238828,1.0
-9.473503196280683,4.0
-10.899028343915301,4.0
-10.1746247162341,4.0
-10.200970269729648,1.0
-11.01270215324514,1.0
-8.91894469940708,1.0
-12.568795042857769,1.0
-9.4218358786568,3.0
-9.757775059995858,4.0
-10.1421925883794,3.0
-10.203073547533272,1.0
-10.384217787089623,1.0
-8.769977288930122,4.0
-10.119649571597561,4.0
-9.909160025655645,4.0
-10.252262104664542,1.0
-9.721356317654827,3.0
-9.461787390242426,1.0
-9.840602584946117,4.0
-9.509233593680545,3.0
-9.907832384522505,1.0
-12.035366856823707,4.0
-9.67219695674288,2.0
-9.702311541182748,4.0
-10.157645570391917,3.0
-10.354063568541932,1.0
-9.840356491401145,4.0
-10.789384180048387,4.0
-10.492377888830074,2.0
-12.92503242542784,2.0
-10.736164896877035,2.0
-10.3160545963501,3.0
-8.153613023544457,1.0
-10.055940317757285,1.0
-9.427374998052786,3.0
-10.121700859929309,3.0
-9.629959329284103,2.0
-12.370405682234214,4.0
-9.459626785566492,3.0
-9.753075045881447,1.0
-10.998309657816325,1.0
-10.5236644558253,4.0
-9.621047811319128,4.0
-9.448364762468906,1.0
-10.577199773266319,2.0
-11.960123499908063,1.0
-9.446066246066291,1.0
-10.57145580949983,4.0
-9.996614347794411,1.0
-9.443048800394221,1.0
-11.001752564168724,1.0
-10.668446763813105,1.0
-10.011057218589505,3.0
-8.428429536592514,3.0
-10.438100915285943,1.0
-11.030835377331124,1.0
-10.621612861922124,2.0
-9.728779524226058,2.0
-9.89604588781933,1.0
-12.560974413090882,3.0
-9.588746663009614,2.0
-10.080868281245316,4.0
-10.458322574945484,2.0
-11.760905447335789,2.0
-11.095523206858587,4.0
-9.017471192249786,1.0
-9.61967810906311,1.0
-8.888460249681081,4.0
-9.725023991346584,3.0
-9.223526953560905,4.0
-9.816592033588343,2.0
-10.168953910915132,4.0
-12.777593094882313,3.0
-10.946109751742318,1.0
-9.81864233063424,4.0
-9.20604145695558,1.0
-12.174833274821353,2.0
-8.727100680617012,2.0
-10.13833918351474,4.0
-9.876879346001232,1.0
-10.098750870818735,3.0
-11.482464156191416,4.0
-9.36664555807634,4.0
-8.882778296244648,3.0
-9.491075591425286,4.0
-9.773661529379572,3.0
-10.806979095629483,3.0
-11.502484371212766,1.0
-10.820756766692915,3.0
-9.36303577799761,3.0
-11.090329675143817,4.0
-10.566436276298457,3.0
-12.373428021172355,2.0
-9.828773552568743,3.0
-9.632346997587275,2.0
-9.99944994107756,3.0
-12.471106491651504,2.0
-10.229312508183632,3.0
-10.87864092859638,4.0
-9.02126843339164,3.0
-11.029485251422436,3.0
-9.397521856454375,4.0
-9.155591950998469,1.0
-11.023932103741574,4.0
-9.396471513935985,4.0
-9.205618277247035,4.0
-9.964954190713566,4.0
-10.716810416266659,4.0
-10.123332432491273,3.0
-9.200909757716554,2.0
-9.792386472748367,4.0
-10.269910985776223,2.0
-8.796766366474326,2.0
-10.18980652394047,4.0
-9.707114129850378,2.0
-9.811818881657667,3.0
-9.590029593766667,3.0
-12.163348331632665,1.0
-9.626638301955285,4.0
-10.275839982642612,1.0
-10.584206704675292,1.0
-9.92929785273191,3.0
-9.3801771920225,3.0
-10.792492469547005,4.0
-8.488964044793173,1.0
-9.929976957334661,4.0
-10.245445066130117,1.0
-9.710914159450242,2.0
-10.16837791285629,3.0
-10.846009148558688,4.0
-9.175507122345785,4.0
-11.084580025927547,3.0
-10.393545648955406,4.0
-8.906668990916799,2.0
-9.545397255610915,3.0
-11.350070919132278,4.0
-11.197821078092343,4.0
-9.78297510397784,2.0
-9.544021756433812,4.0
-11.638677212620133,2.0
-11.257170035861432,3.0
-10.916084727332322,1.0
-11.292630191892869,4.0
-10.996237073413829,2.0
-9.699770107359642,3.0
-9.826246106728401,4.0
-10.452878712385223,4.0
-9.708460969490758,1.0
-9.285266191947777,4.0
-9.319065296932298,3.0
-9.551053387718753,3.0
-10.131757011917648,3.0
-10.695010362797136,3.0
-9.29782372688057,1.0
-9.958603238914307,3.0
-10.981752971820377,1.0
-9.785313117857454,2.0
-10.475753736385265,1.0
-9.584577915525891,4.0
-10.370812448110561,1.0
-11.521581612436446,4.0
-10.576285360919034,4.0
-12.921362579643823,1.0
-9.583987832081535,3.0
-9.110697986254165,4.0
-10.101621556293546,1.0
-10.275016041914846,2.0
-10.881973324723234,3.0
-9.786187123820554,4.0
-11.1305212576761,4.0
-9.831910338742563,4.0
-10.882095157604024,3.0
-9.426007077340014,4.0
-10.855950374187795,3.0
-10.100272999496665,2.0
-11.352679805154512,1.0
-10.043606923205123,1.0
-11.416687553915487,2.0
-9.876606690650842,1.0
-8.686414258739367,2.0
-9.387966518471234,1.0
-10.310051634190936,3.0
-10.06756478366998,3.0
-10.283005778805665,2.0
-9.074673250538655,3.0
-10.07619775170983,2.0
-9.25391335757113,2.0
-9.20891361421348,4.0
-11.838007529937185,1.0
-10.355450107862534,3.0
-10.882256156970257,2.0
-11.599134400987776,3.0
-10.956718835123768,2.0
-8.773155838294903,4.0
-10.056960333016852,4.0
-9.569463491992925,1.0
-11.096242117707009,2.0
-10.099588792905472,4.0
-9.969386909641822,1.0
-10.48560540461744,4.0
-9.383035955681795,2.0
-9.602047212601535,2.0
-9.000896078248338,4.0
-9.38432372653106,3.0
-11.16935815399472,1.0
-10.752780069079416,4.0
-11.658271757045926,4.0
-9.380148981545716,4.0
-12.010198658305374,1.0
-10.97520736035304,3.0
-12.875361863067988,1.0
-11.49255142586962,3.0
-11.555401260230365,3.0
-10.266215987776167,3.0
-10.972334192894175,4.0
-11.300578406142892,3.0
-10.225560306254206,3.0
-8.570036123309169,4.0
-8.805702011230718,1.0
-11.184207893574607,4.0
-11.490946867079776,3.0
-9.159233319761839,2.0
-9.030483102331985,4.0
-10.066392859636348,3.0
-9.662861710715175,1.0
-10.263974369552276,3.0
-10.00602403159911,4.0
-10.047472947551896,1.0
-10.984300155282552,4.0
-9.855176776237151,1.0
-9.223798950098052,2.0
-10.909149847575364,3.0
-9.296252148169762,2.0
-10.754268931184154,3.0
-8.374173989707776,4.0
-10.651415283129205,4.0
-11.927398945498098,4.0
-10.312970795507404,2.0
-9.16142907366502,4.0
-9.403886541542555,4.0
-10.603975553321636,4.0
-9.365216324862917,4.0
-9.685096406644199,4.0
-10.189429069633,3.0
-10.449940888824164,1.0
-10.73232463245694,3.0
-9.603151043325155,3.0
-10.816367908488532,2.0
-8.974083782633512,3.0
-10.297773864315223,1.0
-10.124977638371059,1.0
-10.230482290271954,1.0
-11.727102110567095,3.0
-9.685883518030677,3.0
-9.678025175280197,3.0
-9.266551468225027,3.0
-9.653415473304449,1.0
-9.533101300365246,4.0
-9.624801681241884,4.0
-9.543462292050755,4.0
-9.161316154326116,3.0
-9.127475155395926,4.0
-11.820894148831881,2.0
-10.075995638259517,4.0
-8.984769134886065,1.0
-11.577094558939384,3.0
-9.817298591024283,4.0
-9.657397995904484,3.0
-10.012988842608621,3.0
-9.31840585582992,3.0
-10.159907184091107,2.0
-8.979903712333643,3.0
-11.081938854427861,3.0
-9.615384870846443,3.0
-9.823505602331988,1.0
-11.829948646775026,4.0
-9.874296231819658,1.0
-9.814568306080812,2.0
-11.076380615456106,3.0
-9.0791486092597,1.0
-9.344166905102647,4.0
-9.715085392845667,1.0
-11.33275930094336,4.0
-11.529789284680426,2.0
-10.465364928717364,1.0
-9.456197747205504,1.0
-10.297665461817681,1.0
-8.273518621198129,4.0
-9.811562973773784,1.0
-10.052191228730639,3.0
-10.674801794720691,1.0
-10.108863242408463,4.0
-11.230916455384932,3.0
-10.58835332088391,4.0
-10.197142617126035,4.0
-10.349528383718761,3.0
-10.894737731676166,2.0
-9.721295287133062,4.0
-9.699786078483418,3.0
-9.64588850672072,2.0
-10.427468503777519,4.0
-9.210488605514547,3.0
-9.001327924667107,4.0
-10.35768070727471,4.0
-10.930790135244278,3.0
-9.84866041148278,2.0
-9.930269803951779,2.0
-11.075813361485359,3.0
-9.864270264775588,4.0
-10.086825620524202,3.0
-10.118815257890322,1.0
-11.566454577069837,3.0
-10.466689443320014,3.0
-11.136859509915475,1.0
-9.459457648298207,3.0
-9.677788345418977,1.0
-10.861777899516726,2.0
-9.212301915080578,4.0
-10.511420303821069,2.0
-9.71549403771031,3.0
-9.855594802073844,4.0
-9.439896816482854,2.0
-11.29654805822896,3.0
