empl_ttl_lc2vs0_iate,school
-8.520648196382673,10.0
-9.036513960348046,10.0
-11.027773318354884,10.0
-10.848264449380427,10.0
-9.21650221798034,12.0
-10.240856190244775,10.0
-9.725046360586145,8.0
-9.938630770402966,10.0
-9.913164399056683,10.0
-10.384701992095362,9.0
-12.35703702519145,10.0
-10.206003305037905,10.0
-10.336910455060144,9.0
-10.084121869868143,8.0
-8.57793623589498,10.0
-9.189087976506789,12.0
-10.517601117325048,9.0
-11.851816466179356,10.0
-10.195639754351077,10.0
-11.859182022907174,12.0
-10.81232871119416,9.0
-9.660448430618596,9.0
-11.43371924959742,9.0
-9.931826079819142,12.0
-9.629763409224312,12.0
-9.30756712552746,12.0
-11.09519707280143,10.0
-10.193717574721898,9.0
-9.644149294128837,9.0
-12.197905925355364,10.0
-9.19903107632146,10.0
-9.709522015720562,12.0
-9.14993085073568,8.0
-10.246272495497909,9.0
-9.433105520454761,10.0
-11.694647948666105,10.0
-9.658495738053084,10.0
-11.272177264526704,10.0
-10.997258730813522,10.0
-9.896400354963323,8.0
-9.110285730342847,12.0
-9.195455312792545,12.0
-9.923578455317159,9.0
-10.166569676919792,9.0
-10.221938147931361,12.0
-9.645664771620027,12.0
-10.892739424930184,12.0
-8.889015773942447,12.0
-9.850789041142534,9.0
-9.849731472238828,12.0
-9.473503196280683,9.0
-10.899028343915301,10.0
-10.1746247162341,9.0
-10.200970269729648,12.0
-11.01270215324514,9.0
-8.91894469940708,9.0
-12.568795042857769,10.0
-9.4218358786568,10.0
-9.757775059995858,10.0
-10.1421925883794,12.0
-10.203073547533272,10.0
-10.384217787089623,8.0
-8.769977288930122,12.0
-10.119649571597561,12.0
-9.909160025655645,8.0
-10.252262104664542,10.0
-9.721356317654827,10.0
-9.461787390242426,8.0
-9.840602584946117,8.0
-9.509233593680545,10.0
-9.907832384522505,9.0
-12.035366856823707,10.0
-9.67219695674288,10.0
-9.702311541182748,10.0
-10.157645570391917,12.0
-10.354063568541932,10.0
-9.840356491401145,10.0
-10.789384180048387,10.0
-10.492377888830074,12.0
-12.92503242542784,10.0
-10.736164896877035,10.0
-10.3160545963501,12.0
-8.153613023544457,10.0
-10.055940317757285,10.0
-9.427374998052786,8.0
-10.121700859929309,9.0
-9.629959329284103,10.0
-12.370405682234214,10.0
-9.459626785566492,9.0
-9.753075045881447,9.0
-10.998309657816325,10.0
-10.5236644558253,10.0
-9.621047811319128,12.0
-9.448364762468906,10.0
-10.577199773266319,10.0
-11.960123499908063,9.0
-9.446066246066291,12.0
-10.57145580949983,9.0
-9.996614347794411,9.0
-9.443048800394221,10.0
-11.001752564168724,10.0
-10.668446763813105,12.0
-10.011057218589505,10.0
-8.428429536592514,10.0
-10.438100915285943,9.0
-11.030835377331124,12.0
-10.621612861922124,9.0
-9.728779524226058,10.0
-9.89604588781933,10.0
-12.560974413090882,10.0
-9.588746663009614,8.0
-10.080868281245316,10.0
-10.458322574945484,10.0
-11.760905447335789,10.0
-11.095523206858587,9.0
-9.017471192249786,10.0
-9.61967810906311,10.0
-8.888460249681081,10.0
-9.725023991346584,9.0
-9.223526953560905,12.0
-9.816592033588343,9.0
-10.168953910915132,10.0
-12.777593094882313,10.0
-10.946109751742318,10.0
-9.81864233063424,9.0
-9.20604145695558,10.0
-12.174833274821353,10.0
-8.727100680617012,10.0
-10.13833918351474,9.0
-9.876879346001232,10.0
-10.098750870818735,8.0
-11.482464156191416,10.0
-9.36664555807634,9.0
-8.882778296244648,10.0
-9.491075591425286,9.0
-9.773661529379572,12.0
-10.806979095629483,10.0
-11.502484371212766,10.0
-10.820756766692915,12.0
-9.36303577799761,10.0
-11.090329675143817,10.0
-10.566436276298457,10.0
-12.373428021172355,10.0
-9.828773552568743,10.0
-9.632346997587275,10.0
-9.99944994107756,9.0
-12.471106491651504,10.0
-10.229312508183632,8.0
-10.87864092859638,9.0
-9.02126843339164,9.0
-11.029485251422436,9.0
-9.397521856454375,9.0
-9.155591950998469,9.0
-11.023932103741574,12.0
-9.396471513935985,9.0
-9.205618277247035,10.0
-9.964954190713566,10.0
-10.716810416266659,12.0
-10.123332432491273,10.0
-9.200909757716554,9.0
-9.792386472748367,12.0
-10.269910985776223,9.0
-8.796766366474326,10.0
-10.18980652394047,10.0
-9.707114129850378,9.0
-9.811818881657667,12.0
-9.590029593766667,9.0
-12.163348331632665,10.0
-9.626638301955285,10.0
-10.275839982642612,10.0
-10.584206704675292,12.0
-9.92929785273191,9.0
-9.3801771920225,12.0
-10.792492469547005,10.0
-8.488964044793173,12.0
-9.929976957334661,8.0
-10.245445066130117,10.0
-9.710914159450242,10.0
-10.16837791285629,12.0
-10.846009148558688,12.0
-9.175507122345785,12.0
-11.084580025927547,9.0
-10.393545648955406,10.0
-8.906668990916799,12.0
-9.545397255610915,8.0
-11.350070919132278,10.0
-11.197821078092343,10.0
-9.78297510397784,12.0
-9.544021756433812,12.0
-11.638677212620133,10.0
-11.257170035861432,10.0
-10.916084727332322,10.0
-11.292630191892869,10.0
-10.996237073413829,12.0
-9.699770107359642,10.0
-9.826246106728401,12.0
-10.452878712385223,9.0
-9.708460969490758,9.0
-9.285266191947777,12.0
-9.319065296932298,8.0
-9.551053387718753,10.0
-10.131757011917648,12.0
-10.695010362797136,8.0
-9.29782372688057,10.0
-9.958603238914307,10.0
-10.981752971820377,9.0
-9.785313117857454,10.0
-10.475753736385265,12.0
-9.584577915525891,12.0
-10.370812448110561,9.0
-11.521581612436446,10.0
-10.576285360919034,9.0
-12.921362579643823,10.0
-9.583987832081535,10.0
-9.110697986254165,12.0
-10.101621556293546,12.0
-10.275016041914846,10.0
-10.881973324723234,9.0
-9.786187123820554,12.0
-11.1305212576761,12.0
-9.831910338742563,9.0
-10.882095157604024,8.0
-9.426007077340014,10.0
-10.855950374187795,9.0
-10.100272999496665,9.0
-11.352679805154512,9.0
