empl_ttl_lc2vs0_iate,unem_x0
-8.520648196382673,23.0
-9.036513960348046,16.0
-11.027773318354884,4.0
-10.848264449380427,8.0
-9.21650221798034,22.0
-10.240856190244775,20.0
-9.725046360586145,2.0
-9.938630770402966,20.0
-9.913164399056683,22.0
-10.384701992095362,13.0
-12.35703702519145,11.0
-10.206003305037905,21.0
-10.336910455060144,7.0
-10.084121869868143,15.0
-8.57793623589498,23.0
-9.189087976506789,14.0
-10.517601117325048,7.0
-11.851816466179356,19.0
-10.195639754351077,14.0
-11.859182022907174,12.0
-10.81232871119416,22.0
-9.660448430618596,24.0
-11.43371924959742,16.0
-9.931826079819142,22.0
-9.629763409224312,13.0
-9.30756712552746,23.0
-11.09519707280143,2.0
-10.193717574721898,23.0
-9.644149294128837,21.0
-12.197905925355364,2.0
-9.19903107632146,3.0
-9.709522015720562,12.0
-9.14993085073568,23.0
-10.246272495497909,10.0
-9.433105520454761,23.0
-11.694647948666105,9.0
-9.658495738053084,2.0
-11.272177264526704,5.0
-10.997258730813522,7.0
-9.896400354963323,23.0
-9.110285730342847,7.0
-9.195455312792545,10.0
-9.923578455317159,19.0
-10.166569676919792,12.0
-10.221938147931361,19.0
-9.645664771620027,3.0
-10.892739424930184,12.0
-8.889015773942447,4.0
-9.850789041142534,16.0
-9.849731472238828,10.0
-9.473503196280683,13.0
-10.899028343915301,21.0
-10.1746247162341,18.0
-10.200970269729648,2.0
-11.01270215324514,3.0
-8.91894469940708,20.0
-12.568795042857769,24.0
-9.4218358786568,20.0
-9.757775059995858,1.0
-10.1421925883794,21.0
-10.203073547533272,13.0
-10.384217787089623,19.0
-8.769977288930122,14.0
-10.119649571597561,17.0
-9.909160025655645,1.0
-10.252262104664542,22.0
-9.721356317654827,8.0
-9.461787390242426,8.0
-9.840602584946117,4.0
-9.509233593680545,10.0
-9.907832384522505,6.0
-12.035366856823707,23.0
-9.67219695674288,1.0
-9.702311541182748,18.0
-10.157645570391917,14.0
-10.354063568541932,8.0
-9.840356491401145,19.0
-10.789384180048387,16.0
-10.492377888830074,19.0
-12.92503242542784,2.0
-10.736164896877035,10.0
-10.3160545963501,0.0
-8.153613023544457,16.0
-10.055940317757285,2.0
-9.427374998052786,23.0
-10.121700859929309,12.0
-9.629959329284103,20.0
-12.370405682234214,5.0
-9.459626785566492,14.0
-9.753075045881447,2.0
-10.998309657816325,14.0
-10.5236644558253,12.0
-9.621047811319128,11.0
-9.448364762468906,20.0
-10.577199773266319,10.0
-11.960123499908063,13.0
-9.446066246066291,17.0
-10.57145580949983,7.0
-9.996614347794411,10.0
-9.443048800394221,2.0
-11.001752564168724,17.0
-10.668446763813105,2.0
-10.011057218589505,9.0
-8.428429536592514,12.0
-10.438100915285943,12.0
-11.030835377331124,13.0
-10.621612861922124,12.0
-9.728779524226058,13.0
-9.89604588781933,12.0
-12.560974413090882,22.0
-9.588746663009614,11.0
-10.080868281245316,18.0
-10.458322574945484,9.0
-11.760905447335789,19.0
-11.095523206858587,17.0
