sal_3_lc2vs0_iate,empl_x0
-16923.173348648626,41.0
-24425.473765904528,19.0
-26813.287085257885,65.0
-22971.782494882864,58.0
-30434.83555095693,60.0
-19014.31388860634,72.0
-21135.67245243467,35.0
-25064.60173021705,48.0
-18954.104150514177,86.0
-28194.13986779473,68.0
-32883.70415135079,95.0
-33020.416928181774,28.0
-32525.985681458304,72.0
-24633.58062771205,54.0
-20572.52381512164,35.0
-36636.6903340174,89.0
-17555.501491280273,46.0
-31485.7504858642,100.0
-20536.656198922283,90.0
-34848.43624643609,77.0
-33140.767210530285,44.0
-18915.670724752326,56.0
-22444.743926233212,98.0
-34698.07604360116,42.0
-32747.736274908613,63.0
-33888.49367149004,50.0
-29580.82900453663,92.0
-18323.126237372606,38.0
-17354.599964247187,36.0
-33587.9778927639,103.0
-23930.004876421015,58.0
-33918.897065245284,70.0
-24064.91024048072,65.0
-28599.879285158982,53.0
-22617.403866011686,70.0
-26760.31266227669,78.0
-28523.977503210084,61.0
-29689.342175152316,94.0
-24333.95942132083,71.0
-28051.683729842272,79.0
-20966.314051829286,45.0
-35107.403027387605,80.0
-24718.746705674734,60.0
-31007.018614486846,78.0
-38360.34580953767,64.0
-28311.66988401792,91.0
-37669.5838600071,106.0
-21405.66834304331,41.0
-16592.666413531122,71.0
-33450.55204961363,70.0
-17471.262165722364,32.0
-37137.583973092296,62.0
-21923.28151397136,68.0
-30828.706224825466,47.0
-24667.25379337976,105.0
-22678.739160996673,25.0
-35174.5575322707,47.0
-21545.54046553262,67.0
-24649.531248491527,62.0
-28022.864246839476,28.0
-20967.77655245453,53.0
-17746.153195591804,66.0
-36497.637017913316,97.0
-19097.233467196864,79.0
-21976.8759579138,105.0
-30872.56225774072,17.0
-18090.64426215939,65.0
-18841.164299183558,81.0
-19190.06217292416,78.0
-23247.028137769757,66.0
-20057.75509093124,91.0
-34324.00352331811,71.0
-30511.08580526404,56.0
-20522.356083726438,61.0
-32702.98119694244,37.0
-32789.47459294545,57.0
-24186.53680460099,72.0
-20651.164790592382,97.0
-19574.44515829937,98.0
-32075.655113101515,109.0
-34314.58282534281,48.0
-33689.62955848127,82.0
-21713.102529466618,50.0
-33391.29639365125,49.0
-22682.842654112555,92.0
-23359.659945902673,54.0
-17068.21834018603,51.0
-36442.229534095844,87.0
-18486.329863221203,77.0
-29583.80895821537,85.0
-24546.727316241675,71.0
-22186.84832669007,51.0
-31323.29892592713,84.0
-17505.222360101052,53.0
-31281.448169565963,46.0
-30257.350231226086,93.0
-25417.13148371489,37.0
-23066.809739908032,89.0
-17799.084678867166,47.0
-25778.00329100289,61.0
-31088.555894776062,83.0
-33800.56112386,61.0
-30599.72179447142,63.0
-20439.390652365517,54.0
-17926.371327323926,49.0
-32943.38421643246,36.0
-26887.646889859825,50.0
-26564.720933012642,42.0
-20654.138881536433,70.0
-36278.01584106205,84.0
-21975.87834698413,62.0
-30453.115356632705,64.0
-18908.661945263597,97.0
-25756.086927994722,73.0
-30013.166586930267,85.0
-18257.33008407926,40.0
-25420.590041746465,51.0
-22795.421936469542,35.0
-23598.704779673462,56.0
-35458.500697813426,28.0
-28563.965392223887,65.0
-31389.168392071217,79.0
-32726.425778772715,95.0
-23790.595898569143,75.0
-21951.301017329617,61.0
-24760.87626305456,39.0
-37401.671524043486,65.0
-23291.046996115707,72.0
-30701.015848488394,41.0
-24998.339483950564,59.0
-18884.64620914324,43.0
-25854.595764480502,76.0
-31753.981217445173,55.0
-19820.114339558066,34.0
-18714.02159538571,32.0
-25824.891686391114,70.0
-30891.02630385872,63.0
-32517.257835531134,42.0
-39701.48808272249,69.0
-18332.385908992903,55.0
-29960.59051524253,92.0
-17214.417108557693,94.0
-36177.21990484433,90.0
-24064.981167414146,91.0
-31483.82881499405,88.0
-30162.954272328545,94.0
-36096.88669638837,76.0
-18946.930578097265,102.0
-24654.12932456362,76.0
