sal_4_lc1vs0_iate,emplx2_2
-19954.994972657827,2.0
-29146.199747354854,2.0
-31433.024744821378,2.0
-27478.65232829765,2.0
-38631.071400739456,2.0
-22278.891971705772,2.0
-24204.914854959992,2.0
-29354.023810217488,1.0
-22014.83645411035,2.0
-34361.42852146404,2.0
-41092.16190647379,2.0
-41180.24634598078,2.0
-40243.902418876496,2.0
-29150.136101467542,2.0
-24006.898602131638,2.0
-42258.86377414164,2.0
-19358.97379678562,2.0
-39115.205022963004,2.0
-23448.82266885253,1.0
-38909.95974164018,2.0
-39702.48987425571,2.0
-22277.595721019636,3.0
-26288.68630089834,1.0
-40485.49538268829,2.0
-41330.13824445986,2.0
-42695.29142520019,2.0
-35916.118606586126,2.0
-16933.182969041547,2.0
-20584.131695808846,2.0
-39462.244365811326,1.0
-30001.4009387282,2.0
-42731.36462946981,2.0
-28006.185394030104,1.0
-33672.861512510884,2.0
-27860.55729002769,2.0
-30944.37217879592,2.0
-35320.908489962065,2.0
-33430.59998985071,2.0
-24506.14719153816,2.0
-33191.64899169733,2.0
-26019.55571569452,2.0
-43435.71137947413,1.0
-30099.32121515451,2.0
-37092.68920495328,2.0
-48867.95184566086,2.0
-32931.4167978592,2.0
-43936.631134135714,2.0
-25635.340856668423,2.0
-19938.743897824497,2.0
-40215.890883476284,2.0
-20843.122531205165,2.0
-48155.34635905884,2.0
-24846.135873147585,2.0
-36930.58623005346,2.0
-24443.686159512225,3.0
-24851.603308362268,2.0
-42264.1441729595,2.0
-25934.14454512942,1.0
-29381.163982017206,2.0
-33367.1485406172,2.0
-22718.19641481625,1.0
-20476.910250086356,2.0
-42881.4809853933,2.0
-23062.450465256836,2.0
-23895.023253822386,2.0
-37438.47640856294,2.0
-20028.154555522262,2.0
-22282.44828108521,2.0
-21578.085212128935,2.0
-29004.491318529384,2.0
-19161.916179614364,2.0
-42355.31251129725,2.0
-38286.969964331576,1.0
-23219.39934211219,2.0
-40276.06833313756,2.0
-40653.01177477254,2.0
-29277.755578732165,2.0
-24437.166176393195,2.0
-23001.50384066586,2.0
-36828.82184882531,2.0
-43407.956008045185,1.0
-42444.72178561178,2.0
-25456.075792557953,2.0
-41790.7332086244,2.0
-28378.147127596952,2.0
-28610.619256827435,2.0
-20289.072054281078,2.0
-43252.25805043618,2.0
-17994.259043180595,2.0
-37273.63005590277,2.0
-23557.82748938075,1.0
-26805.23855871579,2.0
-38486.70263158987,1.0
-20696.658162808922,2.0
-38700.47776504463,2.0
-32520.88810432009,1.0
-29174.6581131945,2.0
-25847.44037667095,2.0
-20926.3503817867,1.0
-29005.290682213697,1.0
-38540.80501603817,2.0
-40390.8648748322,2.0
-36608.069451455754,2.0
-25266.916958584752,3.0
-20515.473725697644,2.0
-39193.508217323244,2.0
-29125.702428765264,2.0
-30662.350310109232,2.0
-21410.097568917823,2.0
-44401.01780148946,2.0
-23344.749371833754,2.0
-35620.21904822812,2.0
-20487.370193009214,2.0
-24723.575312031935,2.0
-36026.61394059506,1.0
-19669.750622641608,2.0
-26962.687607562715,2.0
-27694.23925830335,2.0
-28120.583065608593,1.0
