sal_5_lc1vs0_iate,nation
-2481.999091826849,1.0
-1430.202684616277,1.0
-4489.066068861717,1.0
-11449.086047238934,1.0
-2621.9158112681944,1.0
-9307.768394496368,5.0
-3663.882554510727,1.0
-2922.2717433481994,1.0
-8681.341162061635,1.0
-6274.984713808686,2.0
-23050.036448475887,1.0
-4468.773777198032,1.0
-1791.544694904027,1.0
-4944.384089321698,1.0
-985.7288185997231,1.0
-332.9000730049702,1.0
-3128.585826701363,4.0
-20174.249270295946,2.0
-9694.514652801749,1.0
-15482.656312535782,4.0
-16864.31697772332,2.0
-3854.660551425213,1.0
-15512.06340435362,4.0
-737.5592811277238,1.0
-3907.206646605362,1.0
-3121.7491029205485,1.0
-15304.32706086959,4.0
-13543.905380875236,1.0
-2648.5947456058148,1.0
-17866.57769455155,2.0
-2403.4516740073113,1.0
-6434.7344828135065,1.0
-8296.69576024561,5.0
-5509.82757071933,1.0
-4641.313601073667,1.0
-11752.237241047436,1.0
-4379.075625140767,1.0
-3376.3762733938984,1.0
-18070.252683228307,5.0
-3868.6695721607866,1.0
-2411.7559709667385,1.0
-2800.2412569148146,1.0
-4610.403673240822,2.0
-3839.2066885664517,2.0
-13850.616232426319,4.0
-3205.912961450713,2.0
-13405.43306422689,2.0
-1393.8747596588855,1.0
-3827.2478162996267,1.0
-3340.8646766977945,1.0
-3220.8614755280178,4.0
-18159.677478107256,1.0
-11768.158366710551,5.0
-601.8838962788832,1.0
-19723.8513584647,1.0
-5725.515170755166,1.0
-20073.777211113367,1.0
-4066.4327409611046,1.0
-3625.4468209149654,1.0
-1856.2438022488514,1.0
-12507.116191895591,2.0
-5499.508275093273,1.0
-2988.3278667493796,1.0
-2417.048462230993,1.0
-13423.154585586633,1.0
-4529.740101638286,1.0
-12385.393034090346,1.0
-7667.12129582375,1.0
-4271.361729465954,1.0
-4112.197615522266,1.0
-15459.894259582992,2.0
-15491.07519632238,2.0
-2381.7882978653433,2.0
-11096.739581289625,1.0
-1727.2109991136676,1.0
