sal_5_lc1vs0_iate,region
-2481.9990918268504,43.0
-1430.202684616277,47.0
-4489.066068861717,61.0
-11449.086047238932,56.0
-2621.9158112681944,71.0
-9307.768394496368,68.0
-3663.882554510728,15.0
-2922.271743348201,15.0
-8681.341162061635,12.0
-6274.98471380869,38.0
-23050.036448475887,52.0
-4468.7737771980355,49.0
-1791.5446949040288,38.0
-4944.384089321699,83.0
-985.728818599725,53.0
-332.9000730049702,62.0
-3128.585826701364,42.0
-20174.249270295946,77.0
-9694.51465280175,7.0
-15482.656312535782,60.0
-16864.316977723323,83.0
-3854.6605514252137,82.0
-15512.06340435362,24.0
-737.5592811277238,22.0
-3907.2066466053675,23.0
-3121.7491029205485,43.0
-15304.327060869588,42.0
-13543.905380875236,4.0
-2648.594745605816,85.0
-17866.57769455155,15.0
-2403.451674007315,7.0
-6434.7344828135065,47.0
-8296.695760245611,3.0
-5509.827570719332,58.0
-4641.313601073667,69.0
-11752.237241047436,51.0
-4379.075625140767,19.0
-3376.3762733938984,40.0
-18070.252683228307,63.0
-3868.6695721607884,30.0
-2411.755970966737,79.0
-2800.2412569148146,67.0
-4610.403673240824,77.0
-3839.2066885664517,67.0
-13850.616232426315,52.0
-3205.9129614507165,43.0
-13405.433064226889,64.0
-1393.8747596588846,18.0
-3827.247816299627,45.0
-3340.864676697798,51.0
-3220.8614755280196,26.0
-18159.677478107253,14.0
-11768.158366710551,27.0
-601.8838962788832,55.0
-19723.8513584647,17.0
-5725.515170755166,17.0
-20073.777211113367,75.0
-4066.4327409611046,60.0
-3625.44682091497,62.0
-1856.2438022488495,22.0
-12507.116191895591,47.0
-5499.508275093274,16.0
-2988.3278667493832,38.0
-2417.0484622309928,5.0
-13423.154585586633,80.0
-4529.740101638286,21.0
-12385.393034090346,33.0
-7667.121295823749,51.0
-4271.361729465954,17.0
-4112.197615522265,77.0
-15459.894259582992,78.0
-15491.075196322372,33.0
-2381.788297865347,9.0
-11096.739581289627,42.0
-1727.210999113664,35.0
-2921.8285901009986,64.0
-3254.8992132057447,62.0
-10556.837650846031,67.0
-10455.722659357672,33.0
-20661.927004180103,79.0
-1423.1313431016351,83.0
-3351.387528416253,61.0
-5120.885342422156,31.0
-5935.030731679892,66.0
-4976.031903531242,36.0
-3968.682633044401,28.0
-3634.4564636564724,54.0
-9066.127307525758,39.0
-15018.688640553493,70.0
-8111.284690909317,26.0
-17642.50484838362,74.0
-10839.494059506756,2.0
-1867.1120927345873,50.0
-3010.58230744502,19.0
-6071.455601997548,49.0
-21320.914805274697,54.0
-1710.1387480342473,74.0
-12414.134823481705,23.0
-3599.0447080056383,76.0
-5926.637928848386,58.0
-5718.414619240622,68.0
-2509.7359093447667,19.0
-13663.177161276699,65.0
-4033.9786864793277,47.0
-5100.974057773645,39.0
-2192.7269067826746,25.0
-15263.631141748427,61.0
-3386.1423112113443,50.0
-12195.480706996037,47.0
-14172.420734003885,78.0
-14439.967598591506,36.0
-9048.159561008595,71.0
-13926.822995011875,55.0
-13700.278418759126,30.0
-12333.052424065012,35.0
-3675.05754506002,54.0
-5367.654395430776,17.0
138.4776854907468,48.0
-4687.764581692626,69.0
-1270.997471406965,65.0
-6269.418312184014,23.0
-4233.0278929305405,19.0
-22212.101919735465,38.0
-13084.675881781342,5.0
-17165.329435814063,45.0
-2912.1706214651786,7.0
-13504.384406074629,17.0
-3268.638595897546,64.0
-3091.9152833653443,19.0
-3990.2589633479092,11.0
-4787.805977663429,20.0
-13083.954220749196,53.0
-1282.459885441489,1.0
-2866.3517518214053,41.0
-3235.381426239119,27.0
-2167.875516107175,70.0
-5316.773746220095,52.0
-19438.058438510867,66.0
-4579.149770817785,9.0
-9358.89058574463,36.0
-5203.8187954329005,84.0
-3787.595076680778,74.0
-18966.87305834111,42.0
-4401.415846031441,45.0
-4131.751212488023,26.0
-4634.8922128043905,32.0
-25827.080229285075,34.0
-16014.76933823419,56.0
-14562.973671890471,8.0
-3461.47985485626,63.0
-16302.535040565574,9.0
-9524.583472066337,34.0
-7341.373915371651,54.0
-7954.488198774543,1.0
-9140.948460039317,43.0
-2648.636981831881,61.0
-3812.0953431614716,66.0
-3109.9271871894052,1.0
-11121.07401745646,70.0
-2995.3584950474988,17.0
1170.13121568102,5.0
-3029.9190650636065,22.0
-2758.081931164009,28.0
-18156.345359036037,24.0
-4643.473547032026,9.0
-1223.8552101226742,4.0
-5688.846360649894,8.0
-23838.634134453823,54.0
-3865.639866280333,72.0
-5035.879839467418,38.0
-2856.2286010098796,68.0
-5936.459152942281,50.0
1549.8746490409649,81.0
-5037.703809441775,68.0
-2457.791259170148,18.0
-3744.413427343114,25.0
-11780.249925911905,37.0
-5208.740962084879,48.0
-8283.285950736947,30.0
-9420.056949572649,50.0
-1351.4954124650158,30.0
-12359.355770980195,78.0
-1921.597270959508,44.0
-3396.3153520985184,52.0
-2523.1013173419956,5.0
