sal_6_lc1vs0_iate,school
4786.872201996116,10.0
4937.874934741649,10.0
4491.152950496435,10.0
-2632.9534004147304,10.0
6295.935285934222,12.0
-2279.549880175713,10.0
1765.0500781177961,8.0
4688.274478264748,10.0
-638.9576443182384,10.0
960.9896371314953,9.0
-18236.03144106409,10.0
5589.539260932188,10.0
5523.929928554506,9.0
3044.6600191746147,8.0
5738.071236309973,10.0
9723.306466737911,12.0
1567.0815830057527,9.0
-12953.701944487842,10.0
-2652.652873074646,10.0
-7147.628432542682,12.0
-13012.106493399759,9.0
2818.206907170864,9.0
-10446.080726259752,9.0
7484.3362878081425,12.0
7563.904390672156,12.0
6552.785888706552,12.0
-10088.094938680853,10.0
-9757.948007938514,9.0
2674.71503644095,9.0
-13536.185591746455,10.0
5272.717361686053,10.0
3624.932433098238,12.0
-1790.5499210627922,8.0
4450.627062331365,9.0
3305.514783733076,10.0
-4952.949111954734,10.0
3856.2134153104726,10.0
4582.272173993859,10.0
-13022.853196914615,10.0
3274.938842368807,8.0
6440.2186368124985,12.0
6379.169444053601,12.0
3022.208913924105,9.0
3647.8604320914437,9.0
1213.347641275188,12.0
4472.067582299367,12.0
-625.446835127801,12.0
5087.55012538905,12.0
3653.518254611949,9.0
5794.630189021966,12.0
2954.959111921853,9.0
-3515.2100849879753,10.0
-5258.800008628911,9.0
7920.117367699966,12.0
-16237.205064735479,9.0
-1484.8822309506922,9.0
-17442.095032407662,10.0
2721.4020784109844,10.0
4197.474641707155,10.0
6680.968443067644,12.0
-4404.343353272665,10.0
-100.26183126314436,8.0
8645.319146987422,12.0
5775.252323229994,12.0
-7801.850264728623,8.0
3311.4756508859973,10.0
-5269.406740862252,10.0
-2103.4651590999624,8.0
1423.4083593945168,8.0
4441.066818808057,10.0
-12212.603364041406,9.0
-14710.22103245084,10.0
5124.652344713599,10.0
-5095.864270302014,10.0
6891.059756759703,12.0
5808.817652304406,10.0
4665.3706454781295,10.0
-1910.6901316000233,10.0
-2736.7668394826405,12.0
-16919.38506887057,10.0
6132.771242077291,10.0
4588.34052176317,12.0
-151.8382505368936,10.0
4569.512182941555,10.0
1688.3861740438851,8.0
3296.7419693332295,9.0
3392.7007231362227,10.0
-2851.7181784269014,10.0
-11597.630430945093,9.0
-768.0156106042305,9.0
-12207.421863217567,10.0
-1153.9752578158332,10.0
6904.16931736122,12.0
4069.2872177568606,10.0
3090.1067243680336,10.0
-19985.985395021125,9.0
3112.800600554565,12.0
-8072.731749132867,9.0
656.5945063531726,9.0
-1372.9436657152637,10.0
1792.73632958477,10.0
6065.6464192528765,12.0
-2464.685386153291,10.0
3195.0308217386355,10.0
-665.6062343062106,9.0
6736.237288929911,12.0
-11077.762338218361,9.0
3716.3082070790533,10.0
-6644.117470081756,10.0
-5866.20075913652,10.0
-7181.167611531337,8.0
-2199.7969671853807,10.0
-8887.181049766526,10.0
-9770.4546985524,10.0
-6294.066371884858,9.0
159.15938019624377,10.0
-363.8276380789266,10.0
5281.933527274858,10.0
2420.6234099556286,9.0
6051.087569260875,12.0
3188.0270365525103,9.0
1827.904080350465,10.0
-17381.64562853641,10.0
-8371.247620275928,10.0
-12521.679696084033,9.0
1436.7539807482954,10.0
-7563.259859603861,10.0
4426.744283714173,10.0
4197.543312816202,9.0
2291.86865816505,10.0
-334.6403208692823,8.0
-9193.829262261135,10.0
3901.6728331919912,9.0
2290.680199678179,10.0
3601.542608847515,9.0
4889.968415061785,12.0
4776.317397319317,10.0
-11383.712730189092,10.0
5345.62554010157,12.0
-369.97094475804306,10.0
5014.716319193916,10.0
4244.8296934992695,10.0
-13335.411666802123,10.0
568.2271462547942,10.0
2873.590565807859,10.0
3744.9667557556386,9.0
-17472.935686990473,10.0
-12522.449827529661,8.0
-9022.09322515455,9.0
1927.0611601503376,9.0
-9927.082041628997,9.0
-5262.839785365225,9.0
-2620.9276462018606,9.0
3004.2085255513157,12.0
-4252.394767611783,9.0
2549.3645043564466,10.0
4224.078236457488,10.0
6065.821833518337,12.0
-3822.3889386733067,10.0
2254.841259492477,9.0
9083.390159588915,12.0
2730.1015356678145,9.0
2522.8744711917234,10.0
-6675.619571720854,10.0
1516.7544096736465,9.0
3678.9038510865357,12.0
1636.3531959820139,9.0
-17603.85478488695,10.0
6151.87160310871,10.0
3326.5239687697267,10.0
6994.55179731755,12.0
-515.1958000604727,9.0
8205.681604173915,12.0
3847.0158588221548,10.0
2880.5922872683877,12.0
2531.6388774215416,8.0
-7029.300356241163,10.0
3739.701345841524,10.0
-591.192071221737,12.0
1107.8634911683366,12.0
7296.11659145723,12.0
-6189.807873404588,9.0
4663.133189528241,10.0
4786.003601693125,12.0
1429.8211195725048,8.0
-5748.666451559577,10.0
5356.535101539683,10.0
4415.268886380888,12.0
8130.494540700656,12.0
-11122.954612065632,10.0
-4241.32823274867,10.0
3187.649546913588,10.0
-4141.795261008747,10.0
-2621.6192655842515,12.0
4365.166947262893,10.0
8698.744827095044,12.0
-5334.406731151375,9.0
