sal_8_lc1vs0_iate,unem_x0
11167.868259257048,23.0
12771.957345204471,16.0
11841.187714049382,4.0
1617.9686061597324,8.0
15376.371816342333,22.0
5270.188628254139,20.0
7810.821964283551,2.0
11454.249122621679,20.0
5223.773363349356,22.0
6858.5613169999115,13.0
-9663.407087839396,11.0
13103.389880014724,21.0
12097.438624185723,7.0
9239.958723800346,15.0
13179.650120999831,23.0
15951.15366467817,14.0
7427.495471244962,7.0
-4119.966476765891,19.0
3457.0319278942675,14.0
149.75301320187646,12.0
-7275.184140058531,22.0
9168.374599985378,24.0
-6527.476172219996,16.0
16253.066304441369,22.0
16422.098656896105,13.0
15321.748210100403,23.0
-3628.3790012153804,2.0
-7685.339147035473,23.0
8542.158590066796,21.0
-7065.184392669893,2.0
13417.309769282516,3.0
12998.666689159658,12.0
2568.7150861865384,23.0
12279.068538371455,10.0
10663.407638331797,23.0
1095.661920499264,9.0
12067.220113124811,2.0
10386.527880966234,5.0
-8197.018251437288,7.0
9743.291037672116,23.0
14279.19116152325,7.0
14794.79095236265,10.0
10036.081758972612,19.0
8987.524484473266,12.0
7326.728430899915,19.0
11604.63237966315,3.0
7237.069809009079,12.0
13521.910460926332,4.0
9899.389649886894,16.0
14346.91029943711,10.0
9607.420887526034,13.0
3960.7541193922425,21.0
-1098.8198283710458,18.0
15695.805463145483,2.0
-10103.924075965264,3.0
4873.9031702528955,20.0
-10119.550203775363,24.0
9930.176085039038,20.0
12117.303287205887,1.0
14307.525232743563,21.0
-849.3356609478009,13.0
5920.908264161411,19.0
16037.71457297708,14.0
13084.792813569362,17.0
-3639.553977265827,1.0
9855.060227088901,22.0
549.9976655498413,8.0
4726.265182714535,8.0
7877.7732617432885,4.0
12524.709497428434,10.0
-8867.378615785192,6.0
-7506.68944205191,23.0
12763.370004946453,1.0
1619.2753376311616,18.0
16952.586810947872,14.0
12985.979106122413,8.0
12139.683843232855,19.0
3837.2376996194225,16.0
4353.628110462143,19.0
-9290.58064887695,2.0
12831.288885232161,10.0
13583.732123190503,0.0
7672.509246332886,16.0
11537.93043993082,2.0
8362.743088578782,23.0
9711.303802441364,12.0
10845.005053034682,20.0
2223.4597978211586,5.0
-7659.024642038419,14.0
7128.872708656227,2.0
-6177.261267735564,14.0
2460.7500052729615,12.0
14837.793943726854,11.0
10900.62606428363,20.0
10242.312911182511,10.0
-13867.613976496887,13.0
10449.270811530763,17.0
-4391.14517254123,7.0
6673.694642479495,10.0
5673.922108543156,2.0
7422.990399709221,17.0
14667.47585925825,2.0
4260.229912227756,9.0
11046.84684582212,12.0
4791.924340922253,12.0
12856.471075525773,13.0
-7114.332520317783,12.0
11741.834691974494,13.0
-3119.6094749634603,12.0
593.8974318770288,22.0
-4595.217101075694,11.0
3435.4916708516866,18.0
-2049.11310328492,9.0
-5906.212465413824,19.0
-1356.5836848097879,17.0
7336.41047859875,11.0
5587.694614556964,12.0
14094.563459363053,10.0
8104.70017772447,23.0
14575.299061197291,10.0
10185.705307368611,21.0
9923.596533601994,14.0
-8782.899481326223,10.0
-4325.231420049802,11.0
-8654.164955134474,2.0
8065.370206955173,23.0
-1427.5687038590286,10.0
12844.42968846703,20.0
11350.731881801208,4.0
8729.534494898195,18.0
5282.089207295205,10.0
-4442.644260204351,21.0
12433.054950437603,18.0
10421.137339640609,11.0
9960.430538200624,12.0
13284.649472183879,3.0
11546.43001320228,14.0
-4703.720901432265,20.0
9707.572709917242,15.0
3226.588897450792,23.0
12025.131736449726,17.0
12202.326491154712,11.0
-7018.512868180425,4.0
8551.34070849262,24.0
10957.824660883196,2.0
9516.564192534079,3.0
-6488.933749894183,23.0
-9986.865752002355,7.0
-5749.706919058153,21.0
8247.90070913826,1.0
-3688.960631743452,19.0
-2940.215648967774,20.0
4769.13662083893,19.0
8045.335866290983,15.0
-594.0959689374376,13.0
11045.410447200038,14.0
11414.206527203969,10.0
13601.044130271095,17.0
3197.019267559413,15.0
9211.498830425742,22.0
15229.525127637138,1.0
10344.825535744467,18.0
9097.148064625791,8.0
1273.507669546454,19.0
7804.071290637474,20.0
14173.91962552975,13.0
7875.220143796381,6.0
-9701.576160289575,17.0
13086.554359029336,8.0
8851.146765047652,14.0
15204.627993703769,20.0
5658.923837875873,7.0
15759.848461156082,6.0
12927.019404676888,18.0
10189.13450917025,7.0
8522.551407044433,14.0
-2634.8564496954295,17.0
11549.217355514033,15.0
4819.1529017772145,21.0
9283.3081225439,23.0
13996.392766927991,6.0
-2503.2197387483097,20.0
12223.45373812094,0.0
11216.74241141875,14.0
7313.239263975229,17.0
3631.991341340452,21.0
11976.332400224295,15.0
12088.619792477382,14.0
15497.16187856039,0.0
-3049.2448910049516,19.0
722.4218696006101,12.0
7794.387402353019,3.0
1561.7424894767505,23.0
4520.369864227845,16.0
12059.67891715074,0.0
15964.01522147964,15.0
-2166.308723415976,21.0
