sal_9_lc1vs0_iate,age
14604.222855989388,34.0
16079.616100807285,44.0
14825.56799547924,42.0
5201.377158654618,47.0
21034.78778904156,46.0
6678.25301051883,48.0
10124.594205404672,37.0
14547.57972084966,44.0
7621.9251257278065,45.0
10938.560990733053,35.0
-7626.950328733242,34.0
17834.56962634034,46.0
17021.09852064174,49.0
11501.567155469644,49.0
15927.887500681565,47.0
22472.476251307304,46.0
9170.391222507807,38.0
-1553.742113521635,41.0
5482.390842011305,48.0
3745.205947594831,30.0
-5959.504952518336,35.0
11381.986633182376,42.0
-3174.7205650172036,40.0
21864.91338534279,38.0
21560.337137737875,46.0
21910.031690306587,45.0
-2480.5834245730616,34.0
-6690.461006188956,34.0
10364.222075229838,40.0
-5269.930801498534,37.0
16500.722567894707,47.0
17341.191844798832,33.0
6084.983302038241,41.0
14874.798803847865,48.0
13073.969859904199,40.0
4592.100608854642,46.0
16067.118553037688,45.0
14996.558461278419,41.0
-5493.981369838662,37.0
13282.413706957246,49.0
18679.652262102394,50.0
21383.322865717877,38.0
12793.952524843946,44.0
14240.123612740497,43.0
13597.846100813178,48.0
16536.69453439193,36.0
8765.860425876324,37.0
17302.496039799204,41.0
11936.976773062373,45.0
19125.28505855275,36.0
11743.702278590508,46.0
8077.346425802847,50.0
543.001063671225,48.0
20579.993573892727,40.0
-9516.815142135154,33.0
7408.780771611771,31.0
-7338.3093391580605,34.0
13779.607264057142,39.0
15025.244693328976,45.0
18797.848373685385,36.0
2816.726565254267,38.0
6915.251453791092,33.0
22524.36889315603,50.0
17405.56963668079,45.0
-1702.9002181826295,47.0
15350.616403885815,45.0
1693.5251232992896,33.0
5289.6181060459185,31.0
9964.215904891887,47.0
15655.176582056596,43.0
-7976.259704017433,34.0
-6528.332709147729,35.0
18192.437277714922,41.0
3436.902125555923,40.0
20757.52314291689,42.0
18116.36001170434,42.0
14844.84071811794,49.0
5904.617780932572,46.0
5160.210920379754,37.0
-8393.854103662597,31.0
18103.105807743053,48.0
17688.13243557815,32.0
10115.904345092884,31.0
16175.758331746945,41.0
10655.994556523656,49.0
12734.979635201418,49.0
12396.515649788567,36.0
5239.750802811435,44.0
-7881.8491217575975,33.0
9407.9497481309,32.0
-5894.391762775055,30.0
5505.874120468472,47.0
20680.872550816886,48.0
13322.566466515917,45.0
14094.675410004887,35.0
-11745.96179440396,32.0
14820.12726077398,32.0
-393.3864181938493,46.0
8120.395962662997,40.0
9741.010677434862,31.0
12359.903522189825,36.0
19492.12985465266,34.0
7831.451035368691,50.0
14393.04528232244,41.0
6523.021678814863,36.0
20134.320774194362,35.0
-4547.046019374586,45.0
15430.467885991291,40.0
217.48138053634239,30.0
4895.866433907652,47.0
-3088.2888994067384,48.0
6937.792913531683,46.0
-1617.200011570334,31.0
-333.00886498528985,40.0
1564.2244910077895,48.0
9177.379201005837,31.0
10000.649356652124,36.0
17859.471006864984,39.0
11856.160062708643,43.0
20401.98862392589,36.0
13476.102265517517,43.0
13520.250852951272,36.0
-7155.743841369855,32.0
-380.3250738230354,30.0
-7186.128666816802,35.0
12354.39075009607,34.0
3436.472140502167,44.0
15416.98370923127,49.0
15504.601456559063,48.0
13588.227812376785,46.0
7954.953399667289,37.0
-2510.0155467323684,37.0
15565.85094058077,49.0
13505.081365502609,34.0
11989.101300779814,43.0
17223.716352879354,35.0
15857.874134889149,45.0
821.2684283432668,42.0
16788.71886442788,47.0
7029.394150414842,43.0
15398.213164842578,47.0
14656.340650944065,42.0
-6320.032300310012,37.0
11568.533637963541,35.0
14960.509768587195,38.0
12630.120449230972,39.0
-5103.52139455901,34.0
-9561.344883682485,31.0
-2795.0160819367866,45.0
10669.036896311192,46.0
-86.05854053294343,42.0
-552.6520401922689,41.0
5654.107677235041,30.0
15640.997453086522,49.0
1764.4346725733667,50.0
13515.250076518085,33.0
14383.77921962232,48.0
17437.00268311255,45.0
5041.838892400851,46.0
11700.193153213624,47.0
23280.74148188937,50.0
13430.89599477342,36.0
11832.08371153671,31.0
4524.4228892797255,43.0
10711.313993749132,48.0
18907.260084590613,33.0
11059.888286769186,39.0
-9293.566139075821,31.0
18029.69371449177,46.0
13034.27720493322,44.0
19608.598163034967,48.0
7658.1800152591295,35.0
22947.37479850935,42.0
16679.278829291427,45.0
14156.201540232893,36.0
12105.698170827116,50.0
1669.1324086591296,38.0
14817.187946731747,35.0
7462.239123847061,38.0
11919.04519335207,48.0
17986.749187151487,40.0
287.07133789084173,46.0
15744.346946659021,46.0
15000.501354259643,32.0
9495.156494258887,40.0
7234.658775924997,44.0
14685.999539185104,40.0
15375.463941545666,50.0
21744.997883367003,47.0
-651.2275741682524,39.0
2333.756382046612,40.0
12944.802667218457,35.0
4297.375265861035,47.0
5222.321113739718,40.0
16098.681259703053,45.0
23233.67164787037,50.0
434.2475134007891,43.0
8243.317933246013,38.0
20685.48964905952,40.0
9409.575063519604,44.0
5229.729810703477,41.0
13157.524655087867,50.0
-9995.582871078695,38.0
9829.651346115079,32.0
3693.6646697333726,44.0
-2212.9558815609666,43.0
5810.540207288164,46.0
5298.824468442144,30.0
18150.850441509232,41.0
-7753.151738823804,36.0
4105.446993159208,48.0
-249.8403690928883,50.0
-7989.081135572743,30.0
14154.860880773958,39.0
21323.347946572692,50.0
17355.66965447552,34.0
18228.02356444643,44.0
14872.168025566896,40.0
22619.391643294002,48.0
11042.009276307588,47.0
12016.148236801331,43.0
15350.145446961484,47.0
13157.93764982645,37.0
-6274.395046715084,34.0
12244.514072264954,42.0
-9831.828520581013,33.0
-7192.003772597094,34.0
-1414.5831751879814,37.0
13059.670754200786,42.0
13346.600972568394,38.0
7828.778082846198,31.0
9166.368837582357,35.0
21407.86767934072,42.0
13247.472479091964,48.0
10560.438427612693,32.0
21072.76107505398,47.0
19962.968091568975,47.0
17981.861443667556,49.0
-360.14795531533446,41.0
7120.1717560162,41.0
8931.43803628534,32.0
12482.04052104363,44.0
17949.61651157681,45.0
17820.443749049435,42.0
16113.887296700592,47.0
5976.9333993792025,34.0
-1656.1505977601778,33.0
22610.023881145946,46.0
-8280.21770225992,30.0
16292.79955580943,50.0
6187.934382936897,32.0
10613.133571476683,34.0
18424.186005865457,48.0
21860.66548994531,42.0
7036.353535324251,39.0
5178.0457149806225,48.0
-2853.2388377650473,37.0
17563.331659429852,44.0
11451.165579823686,38.0
4533.616341222729,47.0
-11004.797344242757,30.0
1535.9352675184427,31.0
-7850.767524243406,37.0
13736.48851326192,43.0
12133.75753900989,48.0
15464.728625236821,35.0
16763.948225897424,39.0
17262.439939423683,49.0
13860.52578068052,33.0
9868.871516833391,50.0
10627.12126164603,43.0
13133.828270818656,39.0
17262.18833226984,40.0
15768.403513812442,41.0
-414.8151481949626,33.0
-3448.4012194022453,42.0
18869.497137220864,47.0
2300.0370815164056,36.0
17035.826809918148,50.0
10952.634908096057,32.0
8777.416320915272,41.0
-2906.426046203361,42.0
10789.548058999882,42.0
-10826.100251662054,31.0
20829.69619084507,44.0
15204.564876317427,38.0
2710.5291953133315,38.0
3908.7153545663114,33.0
18104.6730329602,45.0
18328.03623406166,50.0
18311.35920343003,48.0
-510.1527296862387,45.0
22471.285772821288,41.0
10046.51486081312,40.0
1867.2000178677197,37.0
-2216.483250675461,43.0
16210.539587915027,43.0
17142.828301015095,42.0
15962.947609149807,46.0
12283.869034375723,40.0
-10386.78286694126,32.0
9070.78160738401,39.0
2214.977536030008,39.0
22224.796276200592,49.0
16594.967131549412,45.0
5945.75782351264,43.0
-1484.9828857780685,32.0
23408.28054443739,50.0
10912.98518375729,43.0
20068.00835249149,44.0
8500.321458222796,34.0
11062.911109419154,47.0
4942.054662392536,47.0
9557.299060601428,40.0
12621.603246152936,31.0
4842.710835251901,43.0
3795.942105985538,43.0
16887.391816555883,42.0
17166.94861468143,46.0
12048.697952772929,34.0
14597.463231032641,40.0
11347.06707498982,31.0
9628.586464539301,42.0
14304.629155815734,41.0
9355.062236441676,30.0
864.973362262345,48.0
11430.331398841121,33.0
5256.085649722174,40.0
351.1693678063766,50.0
13738.331569665246,31.0
14021.747523651771,40.0
108.60460272507089,44.0
5281.2219263586485,44.0
-990.3489691866953,35.0
8203.74814644934,33.0
5061.621938904591,32.0
-269.13359044943263,35.0
18435.00521760751,50.0
13764.371727412708,41.0
4151.810229951212,42.0
3711.574619119131,45.0
-3371.916686399526,49.0
6423.931394047871,35.0
18355.350004402706,48.0
18223.296207429587,50.0
13314.039721240319,40.0
-2124.7065923295186,44.0
18155.071087201348,45.0
4092.8940672296085,39.0
11502.470292755452,35.0
16899.37137296088,43.0
14284.538843461169,45.0
16990.23780189223,46.0
16148.730819267932,49.0
5504.604182949544,37.0
7131.14739085972,35.0
2724.0911485749034,34.0
-8149.9154159893815,36.0
15066.76698532469,41.0
10033.610369052843,41.0
9117.344225163844,31.0
3746.097385924724,45.0
18314.207656960207,43.0
13647.858809651236,31.0
14968.001438499923,42.0
13738.085987495682,47.0
-5640.877385613994,32.0
21006.04158971194,40.0
23219.280481715337,41.0
12448.759878139244,36.0
7526.261518942707,46.0
5538.4404363030835,41.0
2622.253421726855,50.0
16370.982386489584,45.0
9163.729867650809,30.0
-2665.2655212713435,39.0
9796.585701974655,49.0
18682.33337731767,45.0
7710.714504782897,50.0
11796.748558173938,43.0
10578.455279321646,42.0
9550.964266645884,39.0
14473.326273115727,43.0
15422.368349709708,44.0
4474.601283684868,46.0
4050.5078043614317,48.0
10693.026897793181,33.0
14828.973899720397,42.0
18455.827435078005,50.0
-9778.502863425321,38.0
8920.784465743802,34.0
18721.600911099293,49.0
-8239.138058718718,36.0
-3486.6796979076444,35.0
16712.05617357998,48.0
-8161.05433786812,35.0
17193.020467875896,45.0
12653.26702935721,31.0
-4048.2066990717303,30.0
6065.303826065416,33.0
17455.675891976673,44.0
14763.711297840186,48.0
8803.982199532915,35.0
17180.519422354435,30.0
17584.743388925264,42.0
6959.86576892719,36.0
16420.413750026855,39.0
16742.281895288143,47.0
12772.073493922495,43.0
12258.61089427582,49.0
-6349.150786883247,31.0
-6716.480227404093,34.0
8451.959292769316,46.0
17707.07192787851,47.0
1.4052440701825617,42.0
9203.291682441522,39.0
5020.103256047441,50.0
10845.304954792293,36.0
12172.472532805143,42.0
16924.587221999587,44.0
9626.550340788206,42.0
13433.590210739654,46.0
8257.937062546727,34.0
15896.166055300962,48.0
16464.0856522119,46.0
7478.644777141371,37.0
16685.040797493428,49.0
16442.10685688202,38.0
14770.293529756495,40.0
13191.279858832437,30.0
11210.603681378094,35.0
15843.507108761241,47.0
-7252.424555737694,33.0
13299.220770280423,35.0
-395.4757882980291,41.0
17364.393888340244,42.0
19926.926065128162,37.0
-4793.856312381765,33.0
-1344.8645845450565,33.0
-3514.340108920481,48.0
16492.8722049081,49.0
19799.982091712292,50.0
20686.12370843895,39.0
-211.81019952675706,41.0
19112.854224736646,45.0
12567.717546392134,42.0
17796.10141979062,32.0
10947.970477447756,32.0
15044.165944043796,42.0
13208.895554935249,39.0
13568.1975755005,50.0
13770.048429340324,42.0
14736.865498717649,47.0
16488.903162352355,49.0
7365.105740608367,35.0
12810.564990750052,30.0
-5471.481966398848,38.0
14668.787288648422,48.0
-7905.069928864985,33.0
-6948.888453280857,40.0
3340.851806461268,38.0
5162.5997141715325,49.0
11083.629183011479,30.0
23068.173373361893,47.0
16670.605566793525,34.0
11943.370449351372,46.0
10221.664497303673,43.0
4346.093334938294,50.0
9603.622216695769,43.0
4048.1443807839814,49.0
-1183.84537040343,45.0
14579.820301924667,33.0
12734.919663904117,43.0
18852.923328937224,31.0
1361.9618044560998,40.0
6571.199563951,50.0
-1265.8970731645722,31.0
17562.1756610942,46.0
12779.602155679826,37.0
17971.915018616408,50.0
15784.577778642115,42.0
4326.876000003202,45.0
14679.284722895667,50.0
11689.086963652366,50.0
9709.112991503413,50.0
-2844.6595360522933,37.0
5437.810923893439,49.0
22758.912204693137,47.0
16870.407352202583,46.0
1034.8348276695242,32.0
18218.235537267145,45.0
14899.140110835324,38.0
19337.38486328113,40.0
15391.736746678964,39.0
13411.426991037282,31.0
14510.87316513815,45.0
8368.30822965591,38.0
15850.683806307943,39.0
16691.750817789427,44.0
646.8647345924951,43.0
15258.026892464688,42.0
11807.560189343192,47.0
15626.777300216798,43.0
4945.498721262855,40.0
10875.732785336646,46.0
7692.708458766414,36.0
16780.449442874356,46.0
