sal_9_lc1vs0_iate,lmp_cw
14604.222855989387,3.0
16079.616100807285,3.0
14825.567995479241,2.0
5201.377158654617,4.0
21034.787789041566,3.0
6678.253010518829,4.0
10124.59420540467,3.0
14547.579720849662,3.0
7621.9251257278065,4.0
10938.560990733053,3.0
-7626.9503287332445,2.0
17834.569626340344,3.0
17021.09852064174,3.0
11501.567155469642,4.0
15927.887500681569,4.0
22472.476251307304,3.0
9170.39122250781,2.0
-1553.7421135216357,3.0
5482.390842011303,1.0
3745.205947594828,1.0
-5959.504952518336,1.0
11381.986633182374,4.0
-3174.720565017204,4.0
21864.91338534279,3.0
21560.33713773788,4.0
21910.031690306587,4.0
-2480.583424573061,3.0
-6690.461006188957,1.0
10364.222075229836,4.0
-5269.9308014985345,3.0
16500.722567894703,3.0
17341.191844798836,1.0
6084.983302038242,1.0
14874.798803847863,4.0
13073.969859904199,2.0
4592.100608854642,4.0
16067.118553037688,3.0
14996.558461278415,4.0
-5493.981369838661,2.0
13282.413706957244,4.0
18679.652262102394,4.0
21383.322865717877,4.0
12793.952524843946,3.0
14240.123612740495,1.0
13597.846100813182,3.0
16536.69453439193,1.0
8765.860425876326,1.0
17302.496039799204,2.0
11936.976773062373,4.0
19125.285058552745,1.0
11743.702278590506,4.0
8077.346425802844,4.0
543.001063671225,4.0
20579.993573892723,1.0
-9516.815142135158,1.0
7408.7807716117695,1.0
-7338.309339158062,1.0
13779.607264057144,3.0
15025.244693328976,4.0
18797.848373685385,3.0
2816.726565254266,1.0
6915.25145379109,1.0
22524.36889315603,4.0
17405.56963668079,4.0
-1702.900218182629,4.0
15350.616403885815,1.0
1693.5251232992887,3.0
5289.618106045916,1.0
9964.215904891887,4.0
15655.176582056598,3.0
-7976.259704017433,1.0
-6528.332709147727,4.0
18192.43727771492,2.0
3436.902125555923,4.0
20757.52314291689,3.0
18116.36001170434,1.0
14844.840718117941,4.0
5904.617780932572,4.0
5160.210920379753,2.0
-8393.854103662597,2.0
18103.105807743053,2.0
17688.13243557815,3.0
10115.904345092884,1.0
16175.758331746943,1.0
10655.994556523654,3.0
12734.979635201416,3.0
12396.515649788565,2.0
5239.7508028114335,4.0
-7881.8491217575975,3.0
9407.949748130903,1.0
-5894.391762775057,1.0
5505.874120468472,4.0
20680.872550816886,4.0
13322.566466515917,1.0
14094.67541000489,2.0
-11745.96179440396,1.0
14820.127260773981,1.0
-393.3864181938493,4.0
8120.395962662996,1.0
9741.010677434864,1.0
12359.903522189827,1.0
19492.12985465266,1.0
7831.45103536869,3.0
14393.045282322444,3.0
6523.021678814862,1.0
20134.320774194362,1.0
-4547.0460193745885,2.0
15430.467885991293,2.0
217.48138053634057,1.0
4895.866433907651,3.0
-3088.2888994067393,2.0
6937.792913531682,4.0
-1617.200011570334,2.0
-333.0088649852901,2.0
1564.2244910077884,4.0
9177.379201005837,1.0
10000.649356652124,1.0
17859.471006864987,4.0
11856.16006270864,3.0
20401.98862392589,4.0
13476.102265517517,2.0
13520.250852951274,4.0
-7155.7438413698555,3.0
-380.32507382303606,1.0
-7186.128666816803,4.0
12354.39075009607,1.0
3436.472140502165,2.0
15416.983709231268,2.0
15504.601456559063,4.0
13588.227812376786,1.0
7954.953399667288,3.0
-2510.0155467323684,4.0
15565.850940580774,4.0
13505.081365502607,3.0
11989.101300779816,4.0
17223.71635287935,3.0
15857.874134889149,3.0
821.2684283432654,1.0
16788.71886442788,3.0
7029.394150414842,3.0
15398.213164842578,4.0
14656.340650944065,3.0
-6320.032300310015,2.0
11568.533637963541,3.0
14960.509768587195,2.0
12630.120449230975,3.0
-5103.521394559011,2.0
-9561.344883682486,3.0
-2795.0160819367866,4.0
10669.036896311194,3.0
-86.05854053294661,3.0
-552.6520401922699,4.0
5654.10767723504,1.0
15640.997453086518,4.0
1764.4346725733649,4.0
13515.250076518085,4.0
14383.77921962232,4.0
17437.00268311255,4.0
5041.838892400852,3.0
11700.193153213622,2.0
23280.741481889374,4.0
13430.89599477342,2.0
11832.08371153671,2.0
4524.422889279723,4.0
10711.313993749132,2.0
18907.260084590613,3.0
11059.888286769186,3.0
-9293.566139075821,1.0
18029.69371449177,4.0
13034.27720493322,1.0
19608.59816303497,1.0
7658.1800152591295,3.0
22947.374798509347,3.0
16679.27882929143,4.0
14156.201540232893,1.0
12105.698170827114,4.0
1669.1324086591305,1.0
14817.187946731747,2.0
7462.23912384706,3.0
11919.04519335207,4.0
17986.749187151483,4.0
287.07133789084173,3.0
15744.346946659021,4.0
15000.50135425964,2.0
9495.156494258888,3.0
7234.658775924992,4.0
14685.999539185103,4.0
15375.463941545666,2.0
21744.997883367,4.0
-651.2275741682533,2.0
2333.756382046612,3.0
12944.802667218459,1.0
4297.375265861034,4.0
5222.321113739718,2.0
16098.681259703053,3.0
23233.671647870367,4.0
434.2475134007891,4.0
8243.31793324601,1.0
20685.48964905952,4.0
9409.5750635196,3.0
5229.729810703478,3.0
13157.524655087867,3.0
-9995.582871078695,3.0
9829.651346115073,1.0
3693.6646697333736,3.0
-2212.955881560969,1.0
5810.540207288163,2.0
5298.824468442144,1.0
18150.850441509232,4.0
-7753.151738823804,1.0
4105.4469931592075,4.0
-249.84036909288966,4.0
-7989.081135572744,1.0
14154.860880773958,3.0
21323.347946572692,4.0
17355.66965447552,1.0
18228.023564446434,2.0
14872.168025566896,3.0
22619.391643294002,4.0
11042.00927630759,4.0
12016.14823680133,4.0
15350.145446961482,3.0
13157.937649826452,4.0
-6274.395046715084,3.0
12244.514072264952,2.0
-9831.828520581015,1.0
-7192.003772597095,1.0
-1414.5831751879814,2.0
13059.670754200786,1.0
13346.600972568394,2.0
7828.778082846199,1.0
9166.368837582357,3.0
21407.867679340725,3.0
13247.472479091964,2.0
10560.43842761269,3.0
21072.76107505398,2.0
19962.968091568975,2.0
17981.861443667556,4.0
-360.1479553153372,1.0
7120.1717560162,3.0
8931.438036285343,2.0
12482.040521043627,3.0
17949.616511576805,2.0
17820.443749049435,4.0
16113.887296700592,4.0
5976.933399379204,1.0
-1656.1505977601778,2.0
22610.023881145946,4.0
-8280.21770225992,1.0
16292.799555809426,4.0
6187.934382936895,2.0
10613.13357147668,2.0
18424.186005865457,4.0
21860.66548994531,3.0
7036.353535324252,1.0
5178.04571498062,4.0
-2853.238837765049,4.0
17563.331659429845,4.0
11451.165579823684,1.0
4533.616341222728,3.0
-11004.797344242757,1.0
1535.9352675184427,3.0
-7850.767524243407,3.0
13736.48851326192,3.0
12133.75753900989,4.0
15464.728625236821,3.0
16763.948225897424,3.0
17262.439939423683,4.0
13860.52578068052,1.0
9868.871516833393,4.0
10627.121261646029,3.0
13133.828270818654,2.0
17262.188332269838,4.0
15768.403513812438,3.0
-414.8151481949644,1.0
-3448.4012194022453,3.0
18869.497137220864,4.0
2300.037081516404,1.0
17035.826809918144,4.0
10952.634908096057,1.0
8777.416320915272,2.0
-2906.4260462033617,3.0
10789.54805899988,2.0
-10826.100251662054,3.0
20829.696190845072,4.0
15204.564876317427,4.0
2710.5291953133305,4.0
3908.7153545663105,2.0
18104.6730329602,4.0
18328.036234061656,4.0
18311.359203430035,4.0
-510.1527296862396,4.0
22471.285772821288,4.0
10046.51486081312,3.0
1867.2000178677183,1.0
-2216.483250675463,3.0
16210.539587915031,3.0
17142.8283010151,2.0
15962.94760914981,3.0
12283.869034375723,1.0
-10386.782866941261,1.0
9070.78160738401,1.0
2214.9775360300077,3.0
22224.796276200592,3.0
16594.96713154941,3.0
5945.757823512638,3.0
-1484.9828857780685,1.0
23408.28054443739,4.0
10912.98518375729,4.0
20068.00835249149,4.0
8500.321458222796,3.0
11062.911109419156,4.0
4942.054662392535,2.0
9557.299060601428,4.0
12621.603246152936,1.0
4842.710835251897,3.0
3795.9421059855335,4.0
16887.391816555883,3.0
17166.948614681423,3.0
12048.697952772927,3.0
14597.46323103264,2.0
11347.067074989824,3.0
9628.586464539305,3.0
14304.629155815728,3.0
9355.062236441676,1.0
864.973362262344,4.0
11430.33139884112,1.0
5256.085649722174,2.0
351.16936780637707,3.0
13738.331569665246,1.0
14021.74752365177,4.0
108.6046027250718,1.0
5281.221926358648,4.0
-990.3489691866953,2.0
8203.74814644934,1.0
5061.621938904591,1.0
-269.13359044943263,1.0
18435.005217607508,4.0
13764.371727412705,1.0
4151.810229951211,3.0
3711.5746191191306,1.0
-3371.9166863995288,4.0
6423.931394047868,3.0
18355.350004402702,4.0
18223.296207429587,4.0
13314.039721240319,3.0
-2124.7065923295177,2.0
18155.071087201348,4.0
4092.8940672296094,3.0
11502.470292755454,2.0
16899.37137296088,4.0
14284.53884346117,3.0
16990.237801892235,4.0
16148.730819267934,4.0
5504.6041829495425,3.0
7131.14739085972,2.0
2724.0911485749034,2.0
-8149.9154159893815,3.0
15066.766985324688,4.0
10033.610369052845,3.0
9117.344225163844,1.0
3746.0973859247215,3.0
18314.207656960214,3.0
13647.858809651236,1.0
14968.00143849992,3.0
13738.085987495682,1.0
-5640.877385613994,2.0
21006.04158971194,4.0
23219.280481715334,2.0
12448.759878139246,3.0
7526.261518942707,4.0
5538.4404363030835,2.0
2622.2534217268526,3.0
16370.982386489582,4.0
9163.729867650809,1.0
-2665.2655212713444,3.0
9796.585701974655,4.0
18682.33337731767,4.0
7710.7145047828935,4.0
11796.748558173935,4.0
10578.455279321643,3.0
9550.964266645884,2.0
14473.326273115723,3.0
15422.368349709704,2.0
4474.601283684866,3.0
4050.507804361429,3.0
10693.026897793185,1.0
14828.9738997204,4.0
18455.827435078005,4.0
-9778.502863425325,1.0
8920.784465743796,2.0
18721.600911099293,4.0
-8239.138058718721,1.0
-3486.6796979076444,1.0
16712.05617357998,4.0
-8161.054337868119,2.0
17193.0204678759,4.0
12653.26702935721,1.0
-4048.2066990717303,1.0
6065.303826065417,1.0
17455.675891976673,4.0
14763.711297840186,3.0
8803.982199532911,4.0
17180.51942235444,1.0
17584.743388925264,4.0
6959.8657689271895,1.0
16420.413750026855,4.0
16742.28189528814,4.0
12772.073493922495,2.0
12258.610894275822,4.0
-6349.150786883246,2.0
-6716.480227404093,3.0
8451.959292769316,2.0
17707.07192787851,4.0
1.4052440701843807,4.0
9203.291682441522,3.0
5020.103256047438,4.0
10845.30495479229,2.0
12172.472532805143,4.0
16924.587221999587,3.0
9626.550340788204,2.0
13433.590210739654,4.0
8257.937062546729,1.0
15896.166055300962,3.0
16464.085652211903,4.0
7478.644777141371,1.0
16685.04079749343,4.0
16442.10685688202,4.0
14770.293529756495,4.0
13191.279858832437,2.0
11210.603681378094,1.0
15843.507108761238,3.0
-7252.424555737698,2.0
13299.220770280423,3.0
-395.4757882980289,3.0
17364.393888340244,4.0
19926.926065128162,3.0
-4793.856312381765,1.0
-1344.8645845450567,1.0
-3514.340108920481,3.0
16492.872204908104,3.0
19799.982091712292,3.0
20686.123708438954,3.0
-211.81019952675797,3.0
19112.854224736646,3.0
12567.717546392134,4.0
17796.101419790615,1.0
10947.970477447758,2.0
15044.165944043789,3.0
13208.89555493525,1.0
13568.1975755005,3.0
13770.048429340324,4.0
14736.865498717645,4.0
16488.903162352355,3.0
7365.1057406083655,3.0
12810.564990750048,3.0
-5471.481966398847,2.0
14668.787288648422,3.0
-7905.069928864987,1.0
-6948.888453280859,4.0
3340.851806461266,2.0
5162.599714171531,3.0
11083.629183011479,2.0
23068.173373361893,4.0
16670.60556679353,2.0
11943.37044935137,4.0
10221.664497303673,4.0
4346.093334938293,4.0
9603.62221669577,3.0
4048.1443807839805,3.0
-1183.8453704034318,4.0
14579.820301924674,1.0
12734.919663904115,1.0
18852.923328937224,2.0
1361.9618044561003,3.0
6571.199563950999,4.0
-1265.897073164574,3.0
17562.1756610942,4.0
12779.602155679828,4.0
17971.915018616408,4.0
15784.577778642117,3.0
4326.876000003198,3.0
14679.284722895663,2.0
11689.086963652368,3.0
9709.112991503413,4.0
-2844.6595360522924,1.0
5437.81092389344,4.0
22758.912204693133,4.0
16870.407352202583,4.0
1034.8348276695242,3.0
18218.23553726715,3.0
14899.140110835322,3.0
19337.384863281135,2.0
15391.736746678966,2.0
13411.42699103728,3.0
14510.873165138148,3.0
8368.30822965591,3.0
15850.683806307947,1.0
16691.750817789427,4.0
646.8647345924928,1.0
15258.026892464688,3.0
11807.56018934319,3.0
15626.777300216794,4.0
4945.498721262851,3.0
10875.732785336644,4.0
7692.708458766412,1.0
16780.44944287436,4.0
11624.341163003708,1.0
15788.583574556462,3.0
-5775.671297142013,1.0
-1754.4856538958315,4.0
11475.13319476664,3.0
14839.586486559401,3.0
16690.347492474477,3.0
13094.835830761938,4.0
19023.69110525845,3.0
5711.606140916982,3.0
4557.254220171865,1.0
24087.57648859032,4.0
-2781.9014394560922,2.0
-10928.281833303201,1.0
446.72945990643757,4.0
12460.126935047432,2.0
15295.767385339652,2.0
2012.3314426900279,1.0
4645.803738866372,3.0
-1690.1245636081344,1.0
11588.310215651089,3.0
6517.481602587627,2.0
-2394.9453725500157,3.0
-2453.0743229571717,3.0
9159.675814980868,1.0
12455.408213317953,3.0
17276.087088431977,4.0
21846.30054036073,3.0
11108.817489727271,3.0
11150.469114938203,2.0
3168.7301027341014,2.0
-6725.144916936873,1.0
-7647.790297806892,3.0
5969.916653087675,1.0
11478.151233939268,2.0
