sal_9_lc2vs0_iate,sex
7870.874531802361,2.0
12888.31944530725,2.0
533.8423601638269,2.0
-1375.4042867302232,1.0
2326.3934122477804,2.0
2189.1032991588672,1.0
6308.470549369706,2.0
7422.200161121675,2.0
2768.0959296571205,1.0
5783.823272553664,2.0
-6503.029360579615,1.0
5259.3681964328125,2.0
4258.426784341282,2.0
7442.142983665519,2.0
11407.064320834665,2.0
-1510.5974733271505,2.0
4786.14573972855,2.0
268.3029150048028,1.0
2812.5133056065756,1.0
-14299.216998691398,1.0
3938.741170963348,1.0
9903.44204291061,2.0
-468.4642055409877,1.0
1014.4725232456653,2.0
3490.8978086337133,2.0
-990.3984104745601,2.0
-3846.847991681564,1.0
485.3361923592802,1.0
10165.330203671287,2.0
-2799.1980315123237,1.0
11917.406228366232,2.0
618.919179521431,2.0
10810.338397599466,2.0
4113.437234271604,2.0
7502.008570958752,2.0
-520.5007288973547,1.0
8497.136296901012,2.0
3131.4967945946537,2.0
-3894.2167515392657,1.0
10345.932455492191,2.0
8109.949834620071,2.0
690.9116503369573,2.0
11306.908387927857,2.0
10928.188097720822,2.0
-7337.379980962282,1.0
3026.6548330390156,2.0
-3217.6829752884596,1.0
4691.455642526188,2.0
9828.21458093688,2.0
4783.484859219516,2.0
10922.347453858445,2.0
5038.277976958487,1.0
5364.634809299792,1.0
3858.4404426667516,2.0
-1887.945701426513,1.0
7727.8570152035845,2.0
-7451.419736903625,1.0
3144.7516062357986,2.0
8544.08065323127,2.0
1473.3046484063975,2.0
286.298469813838,1.0
4298.421442218056,2.0
1449.7054672341164,2.0
2458.021568123583,2.0
5939.140853150056,1.0
8188.651597377381,2.0
-1372.7021021247892,1.0
7066.150737845893,2.0
8803.631433103268,2.0
10679.729853334135,2.0
1758.6255096828063,1.0
-3623.536330502404,1.0
9521.298228434052,2.0
-2659.213659020679,1.0
1967.864350795117,2.0
9877.034288757306,2.0
6898.648807185147,2.0
-1569.7050754635657,1.0
-2376.735042950807,1.0
-8544.735303795649,1.0
7165.6263531346785,2.0
-317.2154252374339,2.0
6737.147800886677,2.0
9612.428422419647,2.0
12191.632820418621,2.0
11340.004034195721,2.0
5728.328925326716,2.0
-2174.638691540855,1.0
