sal_avg_lc1vs0_iate,emplx1_3
-463.5134964850074,1.0
-1847.612151281361,2.0
-3666.72473946462,2.0
-8612.12307443159,3.0
-2932.6937992341045,1.0
-5665.001479048335,1.0
-3441.4558967006283,2.0
-2838.081801430035,2.0
-5190.98733346411,2.0
-6679.015808655396,1.0
-21088.555720797514,1.0
-5050.337640104912,2.0
-4330.400558687103,1.0
-4328.147398870946,2.0
-227.3310448534994,2.0
-3114.376081052067,1.0
-2435.840640920914,1.0
-16801.22053844198,1.0
-6820.418310267502,2.0
-13760.996006129913,1.0
-18046.204079078823,2.0
-2321.914675021203,2.0
-13241.461328514491,1.0
-3071.1915495259636,2.0
-3206.1550970958815,2.0
-4154.286240049651,3.0
-15006.888634045421,2.0
-12021.335593992317,1.0
-2070.3202580666493,2.0
-18397.953562721777,1.0
-1889.9598735848062,1.0
-6092.6927297959355,2.0
-7701.838036392345,2.0
-4284.4747535413135,2.0
-3070.920715949705,2.0
-10186.839265724968,1.0
-4058.7263050805223,2.0
-4234.555661910752,1.0
-14841.704162924552,1.0
-4721.64894603149,2.0
-146.33265380804778,2.0
-4296.263003798098,2.0
-3968.027247398874,2.0
-5487.076290863109,1.0
-10821.70658367167,2.0
-3549.0933660013307,1.0
-11176.520391528751,2.0
-396.6216945757328,1.0
-1308.7933614894814,2.0
-4321.738163391497,2.0
-1679.3250543333627,2.0
-13825.385441420818,2.0
-9705.903919529803,2.0
-1941.5600032764141,1.0
-17026.261987989732,1.0
-5681.7423330438905,1.0
-20707.0330507153,1.0
-2715.2386861927334,3.0
-2681.990104702361,1.0
-2220.630708743636,2.0
-8836.783466818752,2.0
-4080.681291087498,2.0
-3567.7506740129465,1.0
-61.33569109278301,1.0
-11229.120037878332,2.0
-5514.657729756767,1.0
-8119.786103787981,2.0
-5653.523153591789,1.0
-3021.0413125608557,1.0
-2202.3852524104154,1.0
-13711.866136237812,3.0
-18989.895255672345,1.0
-3881.4391296977383,1.0
-8124.260113193133,1.0
-3051.0709837098966,3.0
-4554.147313564168,2.0
-2590.3474344504584,2.0
-6908.662810779986,2.0
-6718.468603575587,3.0
-20004.11782997079,1.0
-4994.176749152037,1.0
-5496.559239267672,3.0
-4302.962053225012,1.0
-5998.53189542733,2.0
-4408.9201187223625,2.0
-3362.9678428353914,2.0
-1128.8177198612436,2.0
-12334.23462936797,1.0
-12821.893128497693,3.0
-8054.551426553307,2.0
-14090.634343899204,1.0
-7617.009346591939,2.0
-2796.7528572068677,1.0
-924.3493473975323,1.0
-6411.8680722224635,2.0
-20986.804676169333,1.0
-3079.864635734356,1.0
-11235.67700380837,1.0
-3300.177699021644,2.0
-6319.144300785712,1.0
-7220.0671687471495,1.0
-3752.450922899925,1.0
-10122.392623717966,2.0
-2059.022433649012,1.0
-4420.459952515184,2.0
-3657.864961302712,1.0
-14497.581488513384,1.0
-3280.9726191401733,2.0
-10016.712359354979,2.0
-14130.109560966339,1.0
-11526.239612007645,2.0
-9627.575265321331,2.0
-10242.502781571555,2.0
-12375.299110150594,1.0
-12775.022272749107,1.0
-2962.4747961838984,1.0
-5733.944012197647,1.0
-412.16662863333113,2.0
-4173.93491283315,1.0
-4446.523276926744,2.0
-5546.2877969632045,2.0
-6644.11394764167,1.0
-20463.510461793707,1.0
-11421.98582790083,1.0
-14588.283114557973,2.0
-4296.934160502245,1.0
-15308.381580177347,1.0
-1918.6337455126777,1.0
-4904.122555143581,1.0
-3782.7126188643747,1.0
-4336.14058556478,3.0
-13019.588975640676,2.0
-4701.7201093696585,1.0
-1862.2777478242601,2.0
-1651.7998929613905,1.0
-2245.9113882877127,1.0
-5098.816434561997,1.0
-16139.686901748266,1.0
-7755.282672002702,1.0
-5407.08598283951,2.0
-4648.452389895051,1.0
-520.2555182121821,1.0
-19495.373864824534,1.0
-4733.99346998361,1.0
-5677.7093807637175,1.0
-5579.93128887941,2.0
-21197.190502766305,1.0
-14020.929154737747,2.0
-12981.516844003234,1.0
-2648.9872158292314,2.0
-16753.22068041909,1.0
-8524.629155095867,1.0
-5975.7220879643555,1.0
-9125.532586995547,1.0
-7619.046303009427,1.0
-2855.586163825934,2.0
-3025.8097797928285,2.0
