sal_avg_lc1vs0_iate,school
-463.5134964850075,10.0
-1847.6121512813606,10.0
-3666.724739464624,10.0
-8612.123074431593,10.0
-2932.6937992341045,12.0
-5665.001479048335,10.0
-3441.455896700628,8.0
-2838.081801430034,10.0
-5190.987333464111,10.0
-6679.015808655394,9.0
-21088.555720797518,10.0
-5050.337640104915,10.0
-4330.400558687103,9.0
-4328.147398870947,8.0
-227.3310448535001,10.0
-3114.376081052069,12.0
-2435.840640920914,9.0
-16801.22053844198,10.0
-6820.418310267503,10.0
-13760.996006129913,12.0
-18046.20407907882,9.0
-2321.9146750212035,9.0
-13241.461328514491,9.0
-3071.1915495259636,12.0
-3206.1550970958815,12.0
-4154.286240049652,12.0
-15006.888634045421,10.0
-12021.335593992317,9.0
-2070.320258066649,9.0
-18397.953562721774,10.0
-1889.9598735848067,10.0
-6092.692729795937,12.0
-7701.838036392345,8.0
-4284.4747535413135,9.0
-3070.9207159497073,10.0
-10186.839265724968,10.0
-4058.7263050805213,10.0
-4234.555661910754,10.0
-14841.704162924552,10.0
-4721.648946031485,8.0
-146.33265380804733,12.0
-4296.2630037981,12.0
-3968.027247398874,9.0
-5487.07629086311,9.0
-10821.706583671672,12.0
-3549.0933660013307,12.0
-11176.52039152875,12.0
-396.6216945757319,12.0
-1308.7933614894814,9.0
-4321.738163391497,12.0
-1679.3250543333627,9.0
-13825.385441420818,10.0
-9705.903919529801,9.0
-1941.5600032764141,12.0
-17026.261987989732,9.0
-5681.7423330438905,9.0
-20707.0330507153,10.0
-2715.2386861927334,10.0
-2681.9901047023614,10.0
-2220.630708743636,12.0
-8836.783466818752,10.0
-4080.681291087498,8.0
-3567.7506740129465,12.0
-61.335691092783236,12.0
-11229.120037878332,8.0
-5514.657729756771,10.0
-8119.786103787983,10.0
-5653.52315359179,8.0
-3021.041312560856,8.0
-2202.385252410416,10.0
-13711.866136237812,9.0
-18989.895255672345,10.0
-3881.4391296977374,10.0
-8124.260113193133,10.0
-3051.0709837098984,12.0
-4554.147313564168,10.0
-2590.3474344504584,10.0
-6908.662810779987,10.0
