sal_avg_lc1vs0_iate,unem_x0
-463.5134964850088,23.0
-1847.6121512813597,16.0
-3666.724739464621,4.0
-8612.123074431589,8.0
-2932.6937992341063,22.0
-5665.001479048335,20.0
-3441.4558967006283,2.0
-2838.081801430033,20.0
-5190.987333464111,22.0
-6679.015808655397,13.0
-21088.555720797514,11.0
-5050.337640104914,21.0
-4330.400558687104,7.0
-4328.147398870947,15.0
-227.33104485349918,23.0
-3114.376081052067,14.0
-2435.8406409209147,7.0
-16801.22053844198,19.0
-6820.4183102675015,14.0
-13760.996006129913,12.0
-18046.204079078823,22.0
-2321.914675021204,24.0
-13241.46132851449,16.0
-3071.19154952596,22.0
-3206.1550970958797,13.0
-4154.286240049654,23.0
-15006.888634045417,2.0
-12021.335593992317,23.0
-2070.320258066651,21.0
-18397.95356272177,2.0
-1889.9598735848076,3.0
-6092.692729795937,12.0
-7701.838036392345,23.0
-4284.474753541316,10.0
-3070.9207159497073,23.0
-10186.839265724966,9.0
-4058.726305080523,2.0
-4234.555661910751,5.0
-14841.704162924554,7.0
-4721.648946031491,23.0
-146.3326538080487,7.0
-4296.263003798102,10.0
-3968.027247398874,19.0
-5487.076290863112,12.0
-10821.706583671672,19.0
-3549.093366001329,3.0
-11176.520391528746,12.0
-396.6216945757337,4.0
-1308.7933614894825,16.0
-4321.738163391496,10.0
-1679.3250543333636,13.0
-13825.385441420818,21.0
-9705.903919529801,18.0
-1941.5600032764123,2.0
-17026.261987989732,3.0
-5681.7423330438905,20.0
-20707.033050715305,24.0
-2715.2386861927334,20.0
-2681.990104702361,1.0
-2220.630708743636,21.0
-8836.78346681875,13.0
-4080.6812910874987,19.0
-3567.7506740129465,14.0
-61.335691092783804,17.0
-11229.120037878332,1.0
-5514.657729756771,22.0
-8119.786103787981,8.0
-5653.52315359179,8.0
-3021.041312560856,4.0
-2202.385252410416,10.0
-13711.866136237812,6.0
-18989.895255672345,23.0
-3881.439129697739,1.0
-8124.260113193132,18.0
-3051.0709837098966,14.0
-4554.147313564172,8.0
-2590.347434450458,19.0
-6908.662810779984,16.0
-6718.468603575586,19.0
-20004.117829970786,2.0
-4994.176749152037,10.0
-5496.559239267674,0.0
-4302.962053225012,16.0
-5998.531895427335,2.0
-4408.9201187223625,23.0
-3362.9678428353914,12.0
-1128.817719861244,20.0
-12334.234629367968,5.0
-12821.893128497693,14.0
-8054.5514265533075,2.0
-14090.634343899204,14.0
-7617.009346591939,12.0
-2796.7528572068677,11.0
-924.3493473975336,20.0
-6411.8680722224635,10.0
-20986.80467616933,13.0
-3079.8646357343596,17.0
-11235.677003808367,7.0
-3300.177699021645,10.0
-6319.144300785714,2.0
-7220.067168747151,17.0
-3752.450922899925,2.0
-10122.392623717966,9.0
-2059.022433649013,12.0
-4420.459952515183,12.0
-3657.8649613027137,13.0
-14497.581488513386,12.0
-3280.9726191401787,13.0
-10016.71235935498,12.0
-14130.109560966343,22.0
-11526.239612007645,11.0
-9627.575265321335,18.0
-10242.502781571557,9.0
-12375.299110150592,19.0
-12775.02227274911,17.0
-2962.4747961838993,11.0
-5733.944012197651,12.0
-412.16662863333204,10.0
-4173.93491283315,23.0
-4446.523276926744,10.0
-5546.2877969632045,21.0
-6644.11394764167,14.0
-20463.510461793707,10.0
-11421.985827900828,11.0
-14588.283114557971,2.0
-4296.9341605022455,23.0
-15308.381580177347,10.0
-1918.6337455126795,20.0
-4904.122555143582,4.0
-3782.712618864375,18.0
-4336.14058556478,10.0
-13019.588975640676,21.0
-4701.720109369657,18.0
-1862.277747824261,11.0
-1651.7998929613916,12.0
-2245.911388287712,3.0
-5098.816434561998,14.0
-16139.68690174827,20.0
-7755.282672002702,15.0
-5407.085982839509,23.0
-4648.452389895047,17.0
-520.2555182121828,11.0
-19495.373864824534,4.0
-4733.99346998361,24.0
