sal_avg_lc2vs0_iate,empl_x0
-15864.205970432164,41.0
-23079.448995073464,19.0
-29980.72853019381,65.0
-24688.088857980358,58.0
-31388.18594660317,60.0
-20256.99488073739,72.0
-22349.181533099723,35.0
-26320.581606197768,48.0
-20451.587675426443,86.0
-29148.247761825245,68.0
-38144.07840543258,95.0
-34420.33433947744,28.0
-34014.21011732534,72.0
-25751.841320138214,54.0
-19017.88039845295,35.0
-37529.31505820887,89.0
-19002.558243310148,46.0
-35221.078551990446,100.0
-22080.24682744238,90.0
-40477.264354066545,77.0
-32631.5652657117,44.0
-19029.63783670187,56.0
-25133.888638097596,98.0
-35685.887295973145,42.0
-32132.181345698245,63.0
-35658.35592889748,50.0
-32906.85495893863,92.0
-20027.126965255997,38.0
-16803.655804456095,36.0
-37532.45800406932,103.0
-22628.976207526175,58.0
-34450.50266845961,70.0
-23602.634960387208,65.0
-30033.768250542795,53.0
-22920.06735976659,70.0
-31118.171474939565,78.0
-28262.53721753386,61.0
-31267.82038430414,94.0
-27346.60755211533,71.0
-27840.617332642338,79.0
-21286.919252975447,45.0
-35554.09421811897,80.0
-25175.513159132886,60.0
-29945.455455607786,78.0
-39743.946746744026,64.0
-28561.971265638414,91.0
-37970.6964729858,106.0
-20797.493768935372,41.0
-16587.56025767616,71.0
-32467.55191772751,70.0
-16797.45793660828,32.0
-36442.701887527655,62.0
-22117.836148699236,68.0
-31444.208516263105,47.0
-26732.55288146377,105.0
-22716.212583011722,25.0
-40530.33554337651,47.0
-22488.57718502459,67.0
-24790.52119555723,62.0
-30140.4015366195,28.0
-22918.0381762497,53.0
-19354.2682377322,66.0
-36142.39037368832,97.0
-20393.140922095776,79.0
-22293.437439738034,105.0
-31295.082571578605,17.0
-20101.57396774244,65.0
-19162.339039629576,81.0
-19787.295356166607,78.0
-22906.174107165858,66.0
-21052.519176178295,91.0
-38808.083536728314,71.0
-29810.166558622735,56.0
-22473.918470213834,61.0
-33507.6777368417,37.0
-31829.88030844733,57.0
-25237.679579268897,72.0
