upper,effects,lower,ate,ate_upper,ate_lower,z_values
-25575.024408792706,-27828.42277416248,-30081.821139532258,-27914.231731401036,-25946.026365519847,-29882.437097282225,30.0
-23483.08583669228,-25887.70317113817,-28292.320505584063,-27914.231731401036,-25946.026365519847,-29882.437097282225,31.0
-25459.779761904763,-27587.174316126402,-29714.56887034804,-27914.231731401036,-25946.026365519847,-29882.437097282225,32.0
-24985.3747005161,-27164.15079474928,-29342.92688898246,-27914.231731401036,-25946.026365519847,-29882.437097282225,33.0
-26883.751970286186,-28960.90772069581,-31038.063471105434,-27914.231731401036,-25946.026365519847,-29882.437097282225,34.0
-26102.17021035324,-28097.950316905422,-30093.730423457604,-27914.231731401036,-25946.026365519847,-29882.437097282225,35.0
-25599.00410174288,-27706.280743029263,-29813.557384315645,-27914.231731401036,-25946.026365519847,-29882.437097282225,36.0
-25343.76708229964,-27458.830316278116,-29573.89355025659,-27914.231731401036,-25946.026365519847,-29882.437097282225,37.0
-25736.600942697052,-27640.23553769725,-29543.870132697444,-27914.231731401036,-25946.026365519847,-29882.437097282225,38.0
-25347.41566871573,-27425.513797589592,-29503.611926463454,-27914.231731401036,-25946.026365519847,-29882.437097282225,39.0
-25201.459361515837,-27228.011916329233,-29254.56447114263,-27914.231731401036,-25946.026365519847,-29882.437097282225,40.0
-25243.29942612604,-27322.290735813072,-29401.282045500106,-27914.231731401036,-25946.026365519847,-29882.437097282225,41.0
-26030.110237734218,-28183.525230912644,-30336.94022409107,-27914.231731401036,-25946.026365519847,-29882.437097282225,42.0
-26041.863169487257,-28267.04300347015,-30492.222837453042,-27914.231731401036,-25946.026365519847,-29882.437097282225,43.0
-25381.011820298383,-27763.710759054247,-30146.40969781011,-27914.231731401036,-25946.026365519847,-29882.437097282225,44.0
-25436.295970517567,-27758.736904485075,-30081.177838452582,-27914.231731401036,-25946.026365519847,-29882.437097282225,45.0
-25433.062816204292,-27976.65134441006,-30520.239872615828,-27914.231731401036,-25946.026365519847,-29882.437097282225,46.0
-25797.69250940471,-28415.97782036469,-31034.263131324667,-27914.231731401036,-25946.026365519847,-29882.437097282225,47.0
-26344.864944970013,-28933.947465814526,-31523.02998665904,-27914.231731401036,-25946.026365519847,-29882.437097282225,48.0
-26482.643977910186,-29159.089743733104,-31835.535509556023,-27914.231731401036,-25946.026365519847,-29882.437097282225,49.0
-26206.24803484366,-28917.222382583426,-31628.196730323194,-27914.231731401036,-25946.026365519847,-29882.437097282225,50.0
