grid,density
-208.45720155756885,0.0
-208.14287052932087,0.0
-207.82853950107287,0.0
-207.5142084728249,0.0
-207.1998774445769,0.0
-206.88554641632894,0.0
-206.57121538808093,0.0
-206.25688435983295,0.0
-205.94255333158497,0.0
-205.628222303337,0.0
-205.313891275089,0.0
-204.999560246841,0.0
-204.68522921859304,0.0
-204.37089819034503,0.0
-204.05656716209705,0.0
-203.74223613384908,0.0
-203.4279051056011,0.0
-203.1135740773531,0.0
-202.79924304910512,0.0
-202.48491202085714,0.0
-202.17058099260916,0.0
-201.85624996436115,0.0
-201.54191893611318,0.0
-201.2275879078652,0.0
-200.9132568796172,0.0
-200.59892585136922,0.0
-200.28459482312124,0.0
-199.97026379487326,0.0
-199.65593276662526,0.0
-199.34160173837728,0.0
-199.0272707101293,0.0
-198.71293968188132,0.0
-198.39860865363332,0.0
-198.08427762538534,0.0
-197.76994659713736,0.0
-197.45561556888936,0.0
-197.14128454064138,0.0
-196.8269535123934,0.0
-196.51262248414542,0.0
-196.19829145589742,0.0
-195.88396042764944,0.0
-195.56962939940146,0.0
-195.25529837115346,0.0
-194.94096734290548,0.0
-194.6266363146575,3.774814990001831e-08
-194.31230528640953,1.3826887017444523e-06
-193.99797425816152,2.6929211103156064e-06
-193.68364322991354,3.968445375613235e-06
-193.36931220166556,5.209261497637452e-06
-193.0549811734176,6.415369476388274e-06
-192.74065014516958,7.586769311865796e-06
-192.4263191169216,8.723461004069799e-06
-192.11198808867363,9.825444553000404e-06
-191.79765706042565,1.0892719958657609e-05
-191.48332603217764,1.1925287221041493e-05
-191.16899500392967,1.2923146340151883e-05
-190.8546639756817,1.3886297315988868e-05
-190.54033294743368,1.4814740148552528e-05
-190.2260019191857,1.5708474837842703e-05
-189.91167089093773,1.6567501383859475e-05
-189.59733986268975,1.7391819786602842e-05
-189.28300883444174,1.818143004607287e-05
-188.96867780619377,1.8936332162269423e-05
-188.6543467779458,1.9656526135192572e-05
-188.34001574969778,2.034201196484239e-05
-188.0256847214498,2.0992789651218723e-05
-187.71135369320183,2.1608859194321657e-05
-187.39702266495385,2.219022059415119e-05
-187.08269163670585,2.2736873850707358e-05
-186.76836060845787,2.3248818963990087e-05
-186.4540295802099,2.3726055933999395e-05
-186.1396985519619,2.416858476073531e-05
-185.8253675237139,2.4576405444197855e-05
-185.51103649546593,2.4949517984386955e-05
-185.19670546721795,2.528792238130265e-05
-184.88237443896998,2.559161863494495e-05
-184.56804341072197,2.586060674531386e-05
-184.253712382474,2.609488671240934e-05
-183.93938135422601,2.6294458536231418e-05
-183.625050325978,2.64593222167801e-05
-183.31071929773003,2.6589477754055368e-05
-182.99638826948205,2.6684925148057237e-05
-182.68205724123408,2.6745664398785692e-05
-182.36772621298607,2.6771695506240747e-05
-182.0533951847381,2.6763018470422397e-05
-181.73906415649012,2.6719633291330644e-05
-181.4247331282421,2.664153996896547e-05
-181.11040209999413,2.6528738503326902e-05
-180.79607107174616,2.6381228894414934e-05
-180.48174004349818,2.6199011142229555e-05
-180.16740901525017,2.5982085246770756e-05
-179.8530779870022,2.5730451208038566e-05
-179.53874695875422,2.5444109026032975e-05
-179.22441593050624,2.512305870075398e-05
-178.91008490225823,2.4767300232201546e-05
-178.59575387401026,2.4376833620375743e-05
-178.28142284576228,2.3951658865276534e-05
-177.9670918175143,2.349177596690392e-05
-177.6527607892663,2.299718492525785e-05
-177.33842976101832,2.2467885740338425e-05
-177.02409873277034,2.19038784121456e-05
-176.70976770452233,2.130516294067931e-05
